College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639348204,1-44639348204,U-0391,GOVERNMENT POLYTCHNIC,Active,Telangana,Adilabad,Adilabad,NEAR NEW BUS STAND,500845,19.681977,78.514938,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B,No,,Tier 3,http://www.polytchnic.ac.in,info@polytchnic.ac.in,admissions@polytchnic.ac.in,placement@polytchnic.ac.in,+91-80-093-7355,Other Engineering Branches,Diploma,60,180,1984,Rural,No,Yes
1-44639348204,1-44639348204,U-0391,GOVERNMENT POLYTCHNIC,Active,Telangana,Adilabad,Adilabad,NEAR NEW BUS STAND,500845,19.681977,78.514938,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B,No,,Tier 3,http://www.polytchnic.ac.in,info@polytchnic.ac.in,admissions@polytchnic.ac.in,placement@polytchnic.ac.in,+91-80-093-7355,Electrical & Electronics Engineering (EEE),Diploma,60,180,1984,Rural,No,Yes
1-44639348204,1-44639348204,U-0391,GOVERNMENT POLYTCHNIC,Active,Telangana,Adilabad,Adilabad,NEAR NEW BUS STAND,500845,19.681977,78.514938,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B,No,,Tier 3,http://www.polytchnic.ac.in,info@polytchnic.ac.in,admissions@polytchnic.ac.in,placement@polytchnic.ac.in,+91-80-093-7355,Mining Engineering,Diploma,60,180,1984,Rural,No,Yes
1-44640059200,1-44640059200,U-0391,SANJAY GANDHI GOVERNMENT POLYTECHNIC,Active,Telangana,Adilabad,Adilabad,KAILAS NAGAR,500845,19.671792,78.517585,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.sanjaygandhi.ac.in,info@sanjaygandhi.ac.in,admissions@sanjaygandhi.ac.in,placement@sanjaygandhi.ac.in,+91-80-666-5500,Civil Engineering,Diploma,60,240,2016,Rural,Yes,Yes
1-44640059200,1-44640059200,U-0391,SANJAY GANDHI GOVERNMENT POLYTECHNIC,Active,Telangana,Adilabad,Adilabad,KAILAS NAGAR,500845,19.671792,78.517585,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.sanjaygandhi.ac.in,info@sanjaygandhi.ac.in,admissions@sanjaygandhi.ac.in,placement@sanjaygandhi.ac.in,+91-80-666-5500,Electrical & Electronics Engineering (EEE),Diploma,60,240,2016,Rural,Yes,Yes
1-44640059200,1-44640059200,U-0391,SANJAY GANDHI GOVERNMENT POLYTECHNIC,Active,Telangana,Adilabad,Adilabad,KAILAS NAGAR,500845,19.671792,78.517585,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.sanjaygandhi.ac.in,info@sanjaygandhi.ac.in,admissions@sanjaygandhi.ac.in,placement@sanjaygandhi.ac.in,+91-80-666-5500,Mechanical Engineering,Diploma,60,240,2016,Rural,Yes,Yes
1-44640059200,1-44640059200,U-0391,SANJAY GANDHI GOVERNMENT POLYTECHNIC,Active,Telangana,Adilabad,Adilabad,KAILAS NAGAR,500845,19.671792,78.517585,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.sanjaygandhi.ac.in,info@sanjaygandhi.ac.in,admissions@sanjaygandhi.ac.in,placement@sanjaygandhi.ac.in,+91-80-666-5500,Computer Science Engineering (CSE),Diploma,60,240,2016,Rural,Yes,Yes
1-44639801261,1-44639801261,U-0391,SINGARENI COLLIERIES POLYTECHNIC,Active,Telangana,Adilabad,Adilabad,"COAL CHEMICAL COMPLEX(CCC),NASPUR(V)",500845,19.683046,78.533203,Private-Self Financing,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.singarenicollieries.ac.in,info@singarenicollieries.ac.in,admissions@singarenicollieries.ac.in,placement@singarenicollieries.ac.in,+91-80-138-5984,Civil Engineering,Diploma,60,360,2007,Urban,No,Yes
1-44639801261,1-44639801261,U-0391,SINGARENI COLLIERIES POLYTECHNIC,Active,Telangana,Adilabad,Adilabad,"COAL CHEMICAL COMPLEX(CCC),NASPUR(V)",500845,19.683046,78.533203,Private-Self Financing,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.singarenicollieries.ac.in,info@singarenicollieries.ac.in,admissions@singarenicollieries.ac.in,placement@singarenicollieries.ac.in,+91-80-138-5984,Mechanical Engineering,Diploma,60,360,2007,Urban,No,Yes
1-44639801261,1-44639801261,U-0391,SINGARENI COLLIERIES POLYTECHNIC,Active,Telangana,Adilabad,Adilabad,"COAL CHEMICAL COMPLEX(CCC),NASPUR(V)",500845,19.683046,78.533203,Private-Self Financing,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,B++,Yes,,Tier 3,http://www.singarenicollieries.ac.in,info@singarenicollieries.ac.in,admissions@singarenicollieries.ac.in,placement@singarenicollieries.ac.in,+91-80-138-5984,Electrical & Electronics Engineering (EEE),Diploma,60,360,2007,Urban,No,Yes
