College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638620714,1-44638620714,U-0449,GOVERNMENT POLYTECHNIC SHAMSHABAD AGRA,Active,Uttar Pradesh,Agra,Agra,VILAAGE KOLARA KALAN POST DAUKI  FATEHABAD ROAD AGRA  283111,283111,27.18762,78.027931,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.shamshabadagra.ac.in,info@shamshabadagra.ac.in,admissions@shamshabadagra.ac.in,placement@shamshabadagra.ac.in,+91-80-296-8958,Mechanical Engineering,Diploma,60,180,2007,Urban,Yes,No
1-44638620714,1-44638620714,U-0449,GOVERNMENT POLYTECHNIC SHAMSHABAD AGRA,Active,Uttar Pradesh,Agra,Agra,VILAAGE KOLARA KALAN POST DAUKI  FATEHABAD ROAD AGRA  283111,283111,27.18762,78.027931,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.shamshabadagra.ac.in,info@shamshabadagra.ac.in,admissions@shamshabadagra.ac.in,placement@shamshabadagra.ac.in,+91-80-296-8958,Computer Science Engineering (CSE),Diploma,60,180,2007,Urban,Yes,No
1-44638620714,1-44638620714,U-0449,GOVERNMENT POLYTECHNIC SHAMSHABAD AGRA,Active,Uttar Pradesh,Agra,Agra,VILAAGE KOLARA KALAN POST DAUKI  FATEHABAD ROAD AGRA  283111,283111,27.18762,78.027931,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.shamshabadagra.ac.in,info@shamshabadagra.ac.in,admissions@shamshabadagra.ac.in,placement@shamshabadagra.ac.in,+91-80-296-8958,Other Engineering Branches,Diploma,60,180,2007,Urban,Yes,No
1-44638757555,1-44638757555,U-0992,"INSTITUTE OF ENGINEERING & TECHNOLOGY,AGRA",Active,Uttar Pradesh,Agra,Agra,KHANDARI CAMPUS  AGRA,201257,27.173591,77.990305,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.technologyagra.ac.in,info@technologyagra.ac.in,admissions@technologyagra.ac.in,placement@technologyagra.ac.in,+91-80-708-4558,Computer Science Engineering (CSE),B.Tech,60,180,1989,Rural,Yes,Yes
1-44638757555,1-44638757555,U-0992,"INSTITUTE OF ENGINEERING & TECHNOLOGY,AGRA",Active,Uttar Pradesh,Agra,Agra,KHANDARI CAMPUS  AGRA,201257,27.173591,77.990305,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.technologyagra.ac.in,info@technologyagra.ac.in,admissions@technologyagra.ac.in,placement@technologyagra.ac.in,+91-80-708-4558,Mechanical Engineering,B.Tech,60,180,1989,Rural,Yes,Yes
1-44638757555,1-44638757555,U-0992,"INSTITUTE OF ENGINEERING & TECHNOLOGY,AGRA",Active,Uttar Pradesh,Agra,Agra,KHANDARI CAMPUS  AGRA,201257,27.173591,77.990305,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.technologyagra.ac.in,info@technologyagra.ac.in,admissions@technologyagra.ac.in,placement@technologyagra.ac.in,+91-80-708-4558,Electronics & Communication Engineering (ECE),B.Tech,60,180,1989,Rural,Yes,Yes
1-44637271980,1-44637271980,U-0992,DR. BHIMRAO AMBEDKAR UNIVERSITY,Active,Uttar Pradesh,Agra,Agra,KHANDARI CAMPUS,201257,27.196565,77.999614,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.drbhimraoambedkar.ac.in,info@drbhimraoambedkar.ac.in,admissions@drbhimraoambedkar.ac.in,placement@drbhimraoambedkar.ac.in,+91-80-672-0457,Computer Science Engineering (CSE),B.Tech,60,540,2020,Rural,No,Yes
1-44637271980,1-44637271980,U-0992,DR. BHIMRAO AMBEDKAR UNIVERSITY,Active,Uttar Pradesh,Agra,Agra,KHANDARI CAMPUS,201257,27.196565,77.999614,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.drbhimraoambedkar.ac.in,info@drbhimraoambedkar.ac.in,admissions@drbhimraoambedkar.ac.in,placement@drbhimraoambedkar.ac.in,+91-80-672-0457,Mechanical Engineering,B.Tech,60,540,2020,Rural,No,Yes
1-44637271980,1-44637271980,U-0992,DR. BHIMRAO AMBEDKAR UNIVERSITY,Active,Uttar Pradesh,Agra,Agra,KHANDARI CAMPUS,201257,27.196565,77.999614,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.drbhimraoambedkar.ac.in,info@drbhimraoambedkar.ac.in,admissions@drbhimraoambedkar.ac.in,placement@drbhimraoambedkar.ac.in,+91-80-672-0457,Electronics & Communication Engineering (ECE),B.Tech,60,540,2020,Rural,No,Yes
1-44637271980,1-44637271980,U-0992,DR. BHIMRAO AMBEDKAR UNIVERSITY,Active,Uttar Pradesh,Agra,Agra,KHANDARI CAMPUS,201257,27.196565,77.999614,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.drbhimraoambedkar.ac.in,info@drbhimraoambedkar.ac.in,admissions@drbhimraoambedkar.ac.in,placement@drbhimraoambedkar.ac.in,+91-80-672-0457,Electrical Engineering,B.Tech,60,540,2020,Rural,No,Yes
