College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Other Engineering Branches,M.Tech,42,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Civil Engineering,B.Tech,60,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Electrical Engineering,B.Tech,60,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Electronics & Communication Engineering (ECE),B.Tech,60,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Mechanical Engineering,B.Tech,60,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Information Technology (IT),B.Tech,90,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Computer Science Engineering (CSE),B.Tech,150,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Other Engineering Branches,B.Tech,60,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Data Science,B.Tech,60,666,2000,Rural,Yes,Yes
1-44642802320,1-44642802320,U-0986,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,Active,Maharashtra,Ahilyanagar,Ahilyanagar,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",414111,19.75732,75.711274,Private-Self Financing,"Savitribai Phule Pune University, Pune",Approved,Approved,B+,No,,Tier 3,http://www.drvithalraovikhe.ac.in,info@drvithalraovikhe.ac.in,admissions@drvithalraovikhe.ac.in,placement@drvithalraovikhe.ac.in,+91-80-082-9679,Data Science,M.Tech,12,666,2000,Rural,Yes,Yes
