College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638423233,1-44638423233,U-0992,GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"SABARMATI-KOBA HIGHWAY, NR. VISAT CIRCLE, CHANDKHEDA, AHMEDABAD",380670,23.041124,72.576884,State Government University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.gujarattechnologicalschool.ac.in,info@gujarattechnologicalschool.ac.in,admissions@gujarattechnologicalschool.ac.in,placement@gujarattechnologicalschool.ac.in,+91-80-620-0099,Cyber Security,M.Tech,30,174,2022,Urban,Yes,Yes
1-44638423233,1-44638423233,U-0992,GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"SABARMATI-KOBA HIGHWAY, NR. VISAT CIRCLE, CHANDKHEDA, AHMEDABAD",380670,23.041124,72.576884,State Government University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.gujarattechnologicalschool.ac.in,info@gujarattechnologicalschool.ac.in,admissions@gujarattechnologicalschool.ac.in,placement@gujarattechnologicalschool.ac.in,+91-80-620-0099,Data Science,M.Tech,18,174,2022,Urban,Yes,Yes
1-44638423233,1-44638423233,U-0992,GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"SABARMATI-KOBA HIGHWAY, NR. VISAT CIRCLE, CHANDKHEDA, AHMEDABAD",380670,23.041124,72.576884,State Government University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.gujarattechnologicalschool.ac.in,info@gujarattechnologicalschool.ac.in,admissions@gujarattechnologicalschool.ac.in,placement@gujarattechnologicalschool.ac.in,+91-80-620-0099,Civil Engineering,M.Tech,18,174,2022,Urban,Yes,Yes
1-44638423233,1-44638423233,U-0992,GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"SABARMATI-KOBA HIGHWAY, NR. VISAT CIRCLE, CHANDKHEDA, AHMEDABAD",380670,23.041124,72.576884,State Government University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.gujarattechnologicalschool.ac.in,info@gujarattechnologicalschool.ac.in,admissions@gujarattechnologicalschool.ac.in,placement@gujarattechnologicalschool.ac.in,+91-80-620-0099,Computer Science Engineering (CSE),B.Tech,60,174,2022,Urban,Yes,Yes
1-44638423233,1-44638423233,U-0992,GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"SABARMATI-KOBA HIGHWAY, NR. VISAT CIRCLE, CHANDKHEDA, AHMEDABAD",380670,23.041124,72.576884,State Government University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.gujarattechnologicalschool.ac.in,info@gujarattechnologicalschool.ac.in,admissions@gujarattechnologicalschool.ac.in,placement@gujarattechnologicalschool.ac.in,+91-80-620-0099,Electronics & Communication Engineering (ECE),B.Tech,30,174,2022,Urban,Yes,Yes
1-44638423233,1-44638423233,U-0992,GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"SABARMATI-KOBA HIGHWAY, NR. VISAT CIRCLE, CHANDKHEDA, AHMEDABAD",380670,23.041124,72.576884,State Government University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.gujarattechnologicalschool.ac.in,info@gujarattechnologicalschool.ac.in,admissions@gujarattechnologicalschool.ac.in,placement@gujarattechnologicalschool.ac.in,+91-80-620-0099,Electronics & Communication Engineering (ECE),M.Tech,18,174,2022,Urban,Yes,Yes
1-44638230051,1-44638230051,U-0183,NEW L J INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"FP 372, TP 50, BODAKDEV, GHATLODIA, BEHIND RAJPATH CLUB, S.G. HIGHWAY",380670,23.035029,72.553825,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.newlj.ac.in,info@newlj.ac.in,admissions@newlj.ac.in,placement@newlj.ac.in,+91-80-364-3535,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,180,420,1999,Rural,No,Yes
1-44638230051,1-44638230051,U-0183,NEW L J INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"FP 372, TP 50, BODAKDEV, GHATLODIA, BEHIND RAJPATH CLUB, S.G. HIGHWAY",380670,23.035029,72.553825,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.newlj.ac.in,info@newlj.ac.in,admissions@newlj.ac.in,placement@newlj.ac.in,+91-80-364-3535,Computer Science Engineering (CSE),B.Tech,180,420,1999,Rural,No,Yes
1-44638230051,1-44638230051,U-0183,NEW L J INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Ahmedabad,Ahmedabad,"FP 372, TP 50, BODAKDEV, GHATLODIA, BEHIND RAJPATH CLUB, S.G. HIGHWAY",380670,23.035029,72.553825,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.newlj.ac.in,info@newlj.ac.in,admissions@newlj.ac.in,placement@newlj.ac.in,+91-80-364-3535,Data Science,B.Tech,60,420,1999,Rural,No,Yes
1-44638117344,1-44638117344,U-0183,SAL INSTITUTE OF DIPLOMA STUDIES,Active,Gujarat,Ahmedabad,Ahmedabad,"OPP. SCIENCE CITY, SOLA ROAD,",380670,23.035301,72.578598,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.saldiplomastudies.ac.in,info@saldiplomastudies.ac.in,admissions@saldiplomastudies.ac.in,placement@saldiplomastudies.ac.in,+91-80-375-7870,Computer Science Engineering (CSE),Diploma,240,360,1984,Urban,Yes,Yes
1-44638117344,1-44638117344,U-0183,SAL INSTITUTE OF DIPLOMA STUDIES,Active,Gujarat,Ahmedabad,Ahmedabad,"OPP. SCIENCE CITY, SOLA ROAD,",380670,23.035301,72.578598,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.saldiplomastudies.ac.in,info@saldiplomastudies.ac.in,admissions@saldiplomastudies.ac.in,placement@saldiplomastudies.ac.in,+91-80-375-7870,Information Technology (IT),Diploma,120,360,1984,Urban,Yes,Yes
1-44639396469,1-44639396469,U-0183,GOVERNMENT POLYTECHNIC FOR GIRLS,Active,Gujarat,Ahmedabad,Ahmedabad,"OPP. PHYSICAL RESEARCH LABORATORY, NR. ATIRA NAVRANGPURA",380670,23.006912,72.571375,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.girls.ac.in,info@girls.ac.in,admissions@girls.ac.in,placement@girls.ac.in,+91-80-185-0495,Civil Engineering,Diploma,60,510,2001,Urban,Yes,No
1-44639396469,1-44639396469,U-0183,GOVERNMENT POLYTECHNIC FOR GIRLS,Active,Gujarat,Ahmedabad,Ahmedabad,"OPP. PHYSICAL RESEARCH LABORATORY, NR. ATIRA NAVRANGPURA",380670,23.006912,72.571375,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.girls.ac.in,info@girls.ac.in,admissions@girls.ac.in,placement@girls.ac.in,+91-80-185-0495,Computer Science Engineering (CSE),Diploma,120,510,2001,Urban,Yes,No
1-44639396469,1-44639396469,U-0183,GOVERNMENT POLYTECHNIC FOR GIRLS,Active,Gujarat,Ahmedabad,Ahmedabad,"OPP. PHYSICAL RESEARCH LABORATORY, NR. ATIRA NAVRANGPURA",380670,23.006912,72.571375,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.girls.ac.in,info@girls.ac.in,admissions@girls.ac.in,placement@girls.ac.in,+91-80-185-0495,Information Technology (IT),Diploma,120,510,2001,Urban,Yes,No
1-44639396469,1-44639396469,U-0183,GOVERNMENT POLYTECHNIC FOR GIRLS,Active,Gujarat,Ahmedabad,Ahmedabad,"OPP. PHYSICAL RESEARCH LABORATORY, NR. ATIRA NAVRANGPURA",380670,23.006912,72.571375,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.girls.ac.in,info@girls.ac.in,admissions@girls.ac.in,placement@girls.ac.in,+91-80-185-0495,Other Engineering Branches,Diploma,180,510,2001,Urban,Yes,No
1-44639396469,1-44639396469,U-0183,GOVERNMENT POLYTECHNIC FOR GIRLS,Active,Gujarat,Ahmedabad,Ahmedabad,"OPP. PHYSICAL RESEARCH LABORATORY, NR. ATIRA NAVRANGPURA",380670,23.006912,72.571375,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,No,,Tier 3,http://www.girls.ac.in,info@girls.ac.in,admissions@girls.ac.in,placement@girls.ac.in,+91-80-185-0495,Electronics & Communication Engineering (ECE),Diploma,30,510,2001,Urban,Yes,No
1-44639658589,1-44639658589,U-0388,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT,Active,Gujarat,Ahmedabad,Ahmedabad,"352, 353A, NEAR BHAVIK PUBLICATION, OPP. BHAGWAT VIDHYAPITH, GOTA CROSS  ROAD, S. G. HIGHWAY, AHMEDABAD",380670,23.010479,72.551426,State Private University,SILVER OAK UNIVERSITY,Approved,Approved,B,Yes,,Tier 3,http://www.adityasilveroak.ac.in,info@adityasilveroak.ac.in,admissions@adityasilveroak.ac.in,placement@adityasilveroak.ac.in,+91-80-334-6688,Mechanical Engineering,B.Tech,60,390,1980,Urban,Yes,Yes
1-44639658589,1-44639658589,U-0388,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT,Active,Gujarat,Ahmedabad,Ahmedabad,"352, 353A, NEAR BHAVIK PUBLICATION, OPP. BHAGWAT VIDHYAPITH, GOTA CROSS  ROAD, S. G. HIGHWAY, AHMEDABAD",380670,23.010479,72.551426,State Private University,SILVER OAK UNIVERSITY,Approved,Approved,B,Yes,,Tier 3,http://www.adityasilveroak.ac.in,info@adityasilveroak.ac.in,admissions@adityasilveroak.ac.in,placement@adityasilveroak.ac.in,+91-80-334-6688,Electrical Engineering,B.Tech,30,390,1980,Urban,Yes,Yes
1-44639658589,1-44639658589,U-0388,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT,Active,Gujarat,Ahmedabad,Ahmedabad,"352, 353A, NEAR BHAVIK PUBLICATION, OPP. BHAGWAT VIDHYAPITH, GOTA CROSS  ROAD, S. G. HIGHWAY, AHMEDABAD",380670,23.010479,72.551426,State Private University,SILVER OAK UNIVERSITY,Approved,Approved,B,Yes,,Tier 3,http://www.adityasilveroak.ac.in,info@adityasilveroak.ac.in,admissions@adityasilveroak.ac.in,placement@adityasilveroak.ac.in,+91-80-334-6688,Computer Science Engineering (CSE),B.Tech,60,390,1980,Urban,Yes,Yes
1-44639658589,1-44639658589,U-0388,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT,Active,Gujarat,Ahmedabad,Ahmedabad,"352, 353A, NEAR BHAVIK PUBLICATION, OPP. BHAGWAT VIDHYAPITH, GOTA CROSS  ROAD, S. G. HIGHWAY, AHMEDABAD",380670,23.010479,72.551426,State Private University,SILVER OAK UNIVERSITY,Approved,Approved,B,Yes,,Tier 3,http://www.adityasilveroak.ac.in,info@adityasilveroak.ac.in,admissions@adityasilveroak.ac.in,placement@adityasilveroak.ac.in,+91-80-334-6688,Chemical Engineering,B.Tech,60,390,1980,Urban,Yes,Yes
1-44639658589,1-44639658589,U-0388,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT,Active,Gujarat,Ahmedabad,Ahmedabad,"352, 353A, NEAR BHAVIK PUBLICATION, OPP. BHAGWAT VIDHYAPITH, GOTA CROSS  ROAD, S. G. HIGHWAY, AHMEDABAD",380670,23.010479,72.551426,State Private University,SILVER OAK UNIVERSITY,Approved,Approved,B,Yes,,Tier 3,http://www.adityasilveroak.ac.in,info@adityasilveroak.ac.in,admissions@adityasilveroak.ac.in,placement@adityasilveroak.ac.in,+91-80-334-6688,Information Technology (IT),B.Tech,60,390,1980,Urban,Yes,Yes
1-44639658589,1-44639658589,U-0388,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT,Active,Gujarat,Ahmedabad,Ahmedabad,"352, 353A, NEAR BHAVIK PUBLICATION, OPP. BHAGWAT VIDHYAPITH, GOTA CROSS  ROAD, S. G. HIGHWAY, AHMEDABAD",380670,23.010479,72.551426,State Private University,SILVER OAK UNIVERSITY,Approved,Approved,B,Yes,,Tier 3,http://www.adityasilveroak.ac.in,info@adityasilveroak.ac.in,admissions@adityasilveroak.ac.in,placement@adityasilveroak.ac.in,+91-80-334-6688,Chemical Engineering,Diploma,60,390,1980,Urban,Yes,Yes
1-44639658589,1-44639658589,U-0388,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT,Active,Gujarat,Ahmedabad,Ahmedabad,"352, 353A, NEAR BHAVIK PUBLICATION, OPP. BHAGWAT VIDHYAPITH, GOTA CROSS  ROAD, S. G. HIGHWAY, AHMEDABAD",380670,23.010479,72.551426,State Private University,SILVER OAK UNIVERSITY,Approved,Approved,B,Yes,,Tier 3,http://www.adityasilveroak.ac.in,info@adityasilveroak.ac.in,admissions@adityasilveroak.ac.in,placement@adityasilveroak.ac.in,+91-80-334-6688,Information Technology (IT),Diploma,60,390,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Information Technology (IT),Diploma,120,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Electrical Engineering,Diploma,60,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Computer Science Engineering (CSE),Diploma,240,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Electronics & Communication Engineering (ECE),Diploma,60,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Mechanical Engineering,Diploma,60,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Automobile Engineering,Diploma,60,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Civil Engineering,Diploma,60,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Other Engineering Branches,Diploma,120,900,1980,Urban,Yes,Yes
1-44640095554,1-44640095554,U-0992,L.J. POLYTECHNIC,Active,Gujarat,Ahmedabad,Ahmedabad,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",380670,23.036098,72.58796,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.lj.ac.in,info@lj.ac.in,admissions@lj.ac.in,placement@lj.ac.in,+91-80-409-2009,Robotics,Diploma,60,900,1980,Urban,Yes,Yes
