College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638554773,1-44638554773,U-0164,ABHAY MEMORIAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Allahabad,Allahabad,"366 AKBARPUR, SALLAPUR",201302,25.420318,81.850869,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.abhaymemorial.ac.in,info@abhaymemorial.ac.in,admissions@abhaymemorial.ac.in,placement@abhaymemorial.ac.in,+91-80-189-5069,Civil Engineering,Diploma,120,300,2012,Urban,Yes,Yes
1-44638554773,1-44638554773,U-0164,ABHAY MEMORIAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Allahabad,Allahabad,"366 AKBARPUR, SALLAPUR",201302,25.420318,81.850869,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.abhaymemorial.ac.in,info@abhaymemorial.ac.in,admissions@abhaymemorial.ac.in,placement@abhaymemorial.ac.in,+91-80-189-5069,Mechanical Engineering,Diploma,120,300,2012,Urban,Yes,Yes
1-44638554773,1-44638554773,U-0164,ABHAY MEMORIAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Allahabad,Allahabad,"366 AKBARPUR, SALLAPUR",201302,25.420318,81.850869,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.abhaymemorial.ac.in,info@abhaymemorial.ac.in,admissions@abhaymemorial.ac.in,placement@abhaymemorial.ac.in,+91-80-189-5069,Electrical & Electronics Engineering (EEE),Diploma,60,300,2012,Urban,Yes,Yes
1-44638143442,1-44638143442,U-0164,PRAYAG INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Allahabad,Allahabad,"ALLAHABAD - MIRZAPUR ROAD BENDO, KARCHHANA",201302,25.421468,81.835909,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.prayagmanagement.ac.in,info@prayagmanagement.ac.in,admissions@prayagmanagement.ac.in,placement@prayagmanagement.ac.in,+91-80-237-7277,Civil Engineering,B.Tech,120,630,2001,Urban,Yes,Yes
1-44638143442,1-44638143442,U-0164,PRAYAG INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Allahabad,Allahabad,"ALLAHABAD - MIRZAPUR ROAD BENDO, KARCHHANA",201302,25.421468,81.835909,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.prayagmanagement.ac.in,info@prayagmanagement.ac.in,admissions@prayagmanagement.ac.in,placement@prayagmanagement.ac.in,+91-80-237-7277,Mechanical Engineering,B.Tech,120,630,2001,Urban,Yes,Yes
1-44638143442,1-44638143442,U-0164,PRAYAG INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Allahabad,Allahabad,"ALLAHABAD - MIRZAPUR ROAD BENDO, KARCHHANA",201302,25.421468,81.835909,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.prayagmanagement.ac.in,info@prayagmanagement.ac.in,admissions@prayagmanagement.ac.in,placement@prayagmanagement.ac.in,+91-80-237-7277,Electrical Engineering,B.Tech,60,630,2001,Urban,Yes,Yes
1-44638143442,1-44638143442,U-0164,PRAYAG INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Allahabad,Allahabad,"ALLAHABAD - MIRZAPUR ROAD BENDO, KARCHHANA",201302,25.421468,81.835909,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.prayagmanagement.ac.in,info@prayagmanagement.ac.in,admissions@prayagmanagement.ac.in,placement@prayagmanagement.ac.in,+91-80-237-7277,Electronics & Communication Engineering (ECE),B.Tech,30,630,2001,Urban,Yes,Yes
1-44638143442,1-44638143442,U-0164,PRAYAG INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Allahabad,Allahabad,"ALLAHABAD - MIRZAPUR ROAD BENDO, KARCHHANA",201302,25.421468,81.835909,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.prayagmanagement.ac.in,info@prayagmanagement.ac.in,admissions@prayagmanagement.ac.in,placement@prayagmanagement.ac.in,+91-80-237-7277,Computer Science Engineering (CSE),B.Tech,60,630,2001,Urban,Yes,Yes
1-44638143442,1-44638143442,U-0164,PRAYAG INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Allahabad,Allahabad,"ALLAHABAD - MIRZAPUR ROAD BENDO, KARCHHANA",201302,25.421468,81.835909,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.prayagmanagement.ac.in,info@prayagmanagement.ac.in,admissions@prayagmanagement.ac.in,placement@prayagmanagement.ac.in,+91-80-237-7277,Mechanical Engineering,Diploma,120,630,2001,Urban,Yes,Yes
1-44638143442,1-44638143442,U-0164,PRAYAG INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Allahabad,Allahabad,"ALLAHABAD - MIRZAPUR ROAD BENDO, KARCHHANA",201302,25.421468,81.835909,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.prayagmanagement.ac.in,info@prayagmanagement.ac.in,admissions@prayagmanagement.ac.in,placement@prayagmanagement.ac.in,+91-80-237-7277,Electrical Engineering,Diploma,120,630,2001,Urban,Yes,Yes
