College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638246401,1-44638246401,U-0197,MSME TECHNOLOGY CENTRE BHIWADI,Active,Rajasthan,Alwar,Alwar,"PLOT NO.871 (A),872,RIICO INDUSTRIAL ESTATE PATHREDI, BHIWADI",302505,27.003878,74.235781,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.msmecentrebhiwadi.ac.in,info@msmecentrebhiwadi.ac.in,admissions@msmecentrebhiwadi.ac.in,placement@msmecentrebhiwadi.ac.in,+91-80-003-2754,Mechanical Engineering,Diploma,60,180,1987,Urban,Yes,Yes
1-44638246401,1-44638246401,U-0197,MSME TECHNOLOGY CENTRE BHIWADI,Active,Rajasthan,Alwar,Alwar,"PLOT NO.871 (A),872,RIICO INDUSTRIAL ESTATE PATHREDI, BHIWADI",302505,27.003878,74.235781,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.msmecentrebhiwadi.ac.in,info@msmecentrebhiwadi.ac.in,admissions@msmecentrebhiwadi.ac.in,placement@msmecentrebhiwadi.ac.in,+91-80-003-2754,Other Engineering Branches,Diploma,120,180,1987,Urban,Yes,Yes
1-44638769792,1-44638769792,U-0197,NORTHERN INSTITUTE OF ENGINEERING TECHNICAL CAMPUS,Active,Rajasthan,Alwar,Alwar,"VILLAGE: BALDEVBAS, PANCHAYAT: CHIKANI, TEHSIL: BAHADURPUR,",302505,27.007635,74.227675,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.northerntechnicalcampus.ac.in,info@northerntechnicalcampus.ac.in,admissions@northerntechnicalcampus.ac.in,placement@northerntechnicalcampus.ac.in,+91-80-160-8638,Mechanical Engineering,Diploma,30,240,1985,Rural,Yes,Yes
1-44638769792,1-44638769792,U-0197,NORTHERN INSTITUTE OF ENGINEERING TECHNICAL CAMPUS,Active,Rajasthan,Alwar,Alwar,"VILLAGE: BALDEVBAS, PANCHAYAT: CHIKANI, TEHSIL: BAHADURPUR,",302505,27.007635,74.227675,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.northerntechnicalcampus.ac.in,info@northerntechnicalcampus.ac.in,admissions@northerntechnicalcampus.ac.in,placement@northerntechnicalcampus.ac.in,+91-80-160-8638,Civil Engineering,B.Tech,30,240,1985,Rural,Yes,Yes
1-44638769792,1-44638769792,U-0197,NORTHERN INSTITUTE OF ENGINEERING TECHNICAL CAMPUS,Active,Rajasthan,Alwar,Alwar,"VILLAGE: BALDEVBAS, PANCHAYAT: CHIKANI, TEHSIL: BAHADURPUR,",302505,27.007635,74.227675,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.northerntechnicalcampus.ac.in,info@northerntechnicalcampus.ac.in,admissions@northerntechnicalcampus.ac.in,placement@northerntechnicalcampus.ac.in,+91-80-160-8638,Computer Science Engineering (CSE),B.Tech,60,240,1985,Rural,Yes,Yes
1-44638769792,1-44638769792,U-0197,NORTHERN INSTITUTE OF ENGINEERING TECHNICAL CAMPUS,Active,Rajasthan,Alwar,Alwar,"VILLAGE: BALDEVBAS, PANCHAYAT: CHIKANI, TEHSIL: BAHADURPUR,",302505,27.007635,74.227675,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.northerntechnicalcampus.ac.in,info@northerntechnicalcampus.ac.in,admissions@northerntechnicalcampus.ac.in,placement@northerntechnicalcampus.ac.in,+91-80-160-8638,Electrical Engineering,B.Tech,30,240,1985,Rural,Yes,Yes
1-44638769792,1-44638769792,U-0197,NORTHERN INSTITUTE OF ENGINEERING TECHNICAL CAMPUS,Active,Rajasthan,Alwar,Alwar,"VILLAGE: BALDEVBAS, PANCHAYAT: CHIKANI, TEHSIL: BAHADURPUR,",302505,27.007635,74.227675,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.northerntechnicalcampus.ac.in,info@northerntechnicalcampus.ac.in,admissions@northerntechnicalcampus.ac.in,placement@northerntechnicalcampus.ac.in,+91-80-160-8638,Mechanical Engineering,B.Tech,30,240,1985,Rural,Yes,Yes
1-44638769792,1-44638769792,U-0197,NORTHERN INSTITUTE OF ENGINEERING TECHNICAL CAMPUS,Active,Rajasthan,Alwar,Alwar,"VILLAGE: BALDEVBAS, PANCHAYAT: CHIKANI, TEHSIL: BAHADURPUR,",302505,27.007635,74.227675,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.northerntechnicalcampus.ac.in,info@northerntechnicalcampus.ac.in,admissions@northerntechnicalcampus.ac.in,placement@northerntechnicalcampus.ac.in,+91-80-160-8638,Electrical Engineering,Diploma,30,240,1985,Rural,Yes,Yes
1-44638769792,1-44638769792,U-0197,NORTHERN INSTITUTE OF ENGINEERING TECHNICAL CAMPUS,Active,Rajasthan,Alwar,Alwar,"VILLAGE: BALDEVBAS, PANCHAYAT: CHIKANI, TEHSIL: BAHADURPUR,",302505,27.007635,74.227675,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.northerntechnicalcampus.ac.in,info@northerntechnicalcampus.ac.in,admissions@northerntechnicalcampus.ac.in,placement@northerntechnicalcampus.ac.in,+91-80-160-8638,Civil Engineering,Diploma,30,240,1985,Rural,Yes,Yes
1-44639340151,1-44639340151,U-0197,GOVERNMENT POLYTECHNIC COLLEGE NEEMRANA,Active,Rajasthan,Alwar,Alwar,VILLAGE -KUNDAN  SINGH PURA  PANCHAYAT -NEEMRANA TEHSIL -BEHROR,302505,27.006546,74.218299,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.neemrana.ac.in,info@neemrana.ac.in,admissions@neemrana.ac.in,placement@neemrana.ac.in,+91-80-115-1874,Automobile Engineering,Diploma,44,164,2003,Urban,Yes,Yes
