College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638238444,1-44638238444,U-0164,"RAJKIYA ENGINEERING COLLEGE, AMBEDKAR NAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"KATARIYA YAKOOBPUR NEAR HAWAI PATTI AKBARPUR, DIST. - AMBEDKAR NAGAR (U.P.) - 224122",224122,26.850248,80.94128,Govt aided,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.rajkiyaambedkarnagar.ac.in,info@rajkiyaambedkarnagar.ac.in,admissions@rajkiyaambedkarnagar.ac.in,placement@rajkiyaambedkarnagar.ac.in,+91-80-987-6576,Electrical Engineering,B.Tech,60,180,1983,Urban,No,No
1-44638238444,1-44638238444,U-0164,"RAJKIYA ENGINEERING COLLEGE, AMBEDKAR NAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"KATARIYA YAKOOBPUR NEAR HAWAI PATTI AKBARPUR, DIST. - AMBEDKAR NAGAR (U.P.) - 224122",224122,26.850248,80.94128,Govt aided,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.rajkiyaambedkarnagar.ac.in,info@rajkiyaambedkarnagar.ac.in,admissions@rajkiyaambedkarnagar.ac.in,placement@rajkiyaambedkarnagar.ac.in,+91-80-987-6576,Information Technology (IT),B.Tech,60,180,1983,Urban,No,No
1-44638238444,1-44638238444,U-0164,"RAJKIYA ENGINEERING COLLEGE, AMBEDKAR NAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"KATARIYA YAKOOBPUR NEAR HAWAI PATTI AKBARPUR, DIST. - AMBEDKAR NAGAR (U.P.) - 224122",224122,26.850248,80.94128,Govt aided,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.rajkiyaambedkarnagar.ac.in,info@rajkiyaambedkarnagar.ac.in,admissions@rajkiyaambedkarnagar.ac.in,placement@rajkiyaambedkarnagar.ac.in,+91-80-987-6576,Civil Engineering,B.Tech,60,180,1983,Urban,No,No
1-44640275232,1-44640275232,U-0449,"CHHATRAPATI SAHUJI MAHARAJ GOVERNMENT POLYTECHNIC,AMBEDKARNAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"FAIZABAD ROAD SHIVBABA,AKBARPUR,AMBEDKARNAGAR",201009,26.834175,80.938195,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.chhatrapatisahujimaharaj.ac.in,info@chhatrapatisahujimaharaj.ac.in,admissions@chhatrapatisahujimaharaj.ac.in,placement@chhatrapatisahujimaharaj.ac.in,+91-80-313-5308,Information Technology (IT),Diploma,60,240,2014,Urban,Yes,Yes
1-44640275232,1-44640275232,U-0449,"CHHATRAPATI SAHUJI MAHARAJ GOVERNMENT POLYTECHNIC,AMBEDKARNAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"FAIZABAD ROAD SHIVBABA,AKBARPUR,AMBEDKARNAGAR",201009,26.834175,80.938195,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.chhatrapatisahujimaharaj.ac.in,info@chhatrapatisahujimaharaj.ac.in,admissions@chhatrapatisahujimaharaj.ac.in,placement@chhatrapatisahujimaharaj.ac.in,+91-80-313-5308,Other Engineering Branches,Diploma,60,240,2014,Urban,Yes,Yes
1-44640275232,1-44640275232,U-0449,"CHHATRAPATI SAHUJI MAHARAJ GOVERNMENT POLYTECHNIC,AMBEDKARNAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"FAIZABAD ROAD SHIVBABA,AKBARPUR,AMBEDKARNAGAR",201009,26.834175,80.938195,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.chhatrapatisahujimaharaj.ac.in,info@chhatrapatisahujimaharaj.ac.in,admissions@chhatrapatisahujimaharaj.ac.in,placement@chhatrapatisahujimaharaj.ac.in,+91-80-313-5308,Electrical Engineering,Diploma,60,240,2014,Urban,Yes,Yes
1-44640275232,1-44640275232,U-0449,"CHHATRAPATI SAHUJI MAHARAJ GOVERNMENT POLYTECHNIC,AMBEDKARNAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"FAIZABAD ROAD SHIVBABA,AKBARPUR,AMBEDKARNAGAR",201009,26.834175,80.938195,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.chhatrapatisahujimaharaj.ac.in,info@chhatrapatisahujimaharaj.ac.in,admissions@chhatrapatisahujimaharaj.ac.in,placement@chhatrapatisahujimaharaj.ac.in,+91-80-313-5308,Computer Science Engineering (CSE),Diploma,60,240,2014,Urban,Yes,Yes
1-44640792712,1-44640792712,U-0449,"GOVERNMENT POLYTECHNIC BAIJPUR BHITI,AMBEDKARNAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"BAIJPUR NEAR SHRVAN CHHETRA,BHITI,AMBEDKARNAGAR",201009,26.864411,80.965554,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.baijpurbhitiambedkarnagar.ac.in,info@baijpurbhitiambedkarnagar.ac.in,admissions@baijpurbhitiambedkarnagar.ac.in,placement@baijpurbhitiambedkarnagar.ac.in,+91-80-581-6955,Civil Engineering,Diploma,60,180,2014,Urban,Yes,Yes
1-44640792712,1-44640792712,U-0449,"GOVERNMENT POLYTECHNIC BAIJPUR BHITI,AMBEDKARNAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"BAIJPUR NEAR SHRVAN CHHETRA,BHITI,AMBEDKARNAGAR",201009,26.864411,80.965554,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.baijpurbhitiambedkarnagar.ac.in,info@baijpurbhitiambedkarnagar.ac.in,admissions@baijpurbhitiambedkarnagar.ac.in,placement@baijpurbhitiambedkarnagar.ac.in,+91-80-581-6955,Electrical Engineering,Diploma,60,180,2014,Urban,Yes,Yes
1-44640792712,1-44640792712,U-0449,"GOVERNMENT POLYTECHNIC BAIJPUR BHITI,AMBEDKARNAGAR",Active,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,"BAIJPUR NEAR SHRVAN CHHETRA,BHITI,AMBEDKARNAGAR",201009,26.864411,80.965554,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.baijpurbhitiambedkarnagar.ac.in,info@baijpurbhitiambedkarnagar.ac.in,admissions@baijpurbhitiambedkarnagar.ac.in,placement@baijpurbhitiambedkarnagar.ac.in,+91-80-581-6955,Mechanical Engineering,Diploma,60,180,2014,Urban,Yes,Yes
