College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638417896,1-44638417896,U-0569,DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH,Active,Gujarat,Anand,Anand,"CHARUSAT CAMPUS-CHANGA, OFF. NADIAD-PETLAD HIGHWAY, GUJARAT-388421",388421,22.561439,72.924427,Private-Self Financing,"Charotar University of Science and Technology, Anand",Approved,Approved,Not Accredited,No,,Tier 3,http://www.devangpateladvance.ac.in,info@devangpateladvance.ac.in,admissions@devangpateladvance.ac.in,placement@devangpateladvance.ac.in,+91-80-710-4611,Computer Science Engineering (CSE),B.Tech,240,300,1994,Urban,Yes,Yes
1-44638417896,1-44638417896,U-0569,DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH,Active,Gujarat,Anand,Anand,"CHARUSAT CAMPUS-CHANGA, OFF. NADIAD-PETLAD HIGHWAY, GUJARAT-388421",388421,22.561439,72.924427,Private-Self Financing,"Charotar University of Science and Technology, Anand",Approved,Approved,Not Accredited,No,,Tier 3,http://www.devangpateladvance.ac.in,info@devangpateladvance.ac.in,admissions@devangpateladvance.ac.in,placement@devangpateladvance.ac.in,+91-80-710-4611,Information Technology (IT),B.Tech,60,300,1994,Urban,Yes,Yes
1-44638803128,1-44638803128,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY,Active,Gujarat,Anand,Anand," NH 8, NEAR SANKARA EYE HOSPITAL,",380610,22.550848,72.919763,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-266-2725,Electrical Engineering,M.Tech,6,162,1985,Urban,No,Yes
1-44638803128,1-44638803128,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY,Active,Gujarat,Anand,Anand," NH 8, NEAR SANKARA EYE HOSPITAL,",380610,22.550848,72.919763,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-266-2725,Mechanical Engineering,M.Tech,6,162,1985,Urban,No,Yes
1-44638803128,1-44638803128,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY,Active,Gujarat,Anand,Anand," NH 8, NEAR SANKARA EYE HOSPITAL,",380610,22.550848,72.919763,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-266-2725,Computer Science Engineering (CSE),B.Tech,30,162,1985,Urban,No,Yes
1-44638803128,1-44638803128,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY,Active,Gujarat,Anand,Anand," NH 8, NEAR SANKARA EYE HOSPITAL,",380610,22.550848,72.919763,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-266-2725,Electrical Engineering,B.Tech,30,162,1985,Urban,No,Yes
1-44638803128,1-44638803128,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY,Active,Gujarat,Anand,Anand," NH 8, NEAR SANKARA EYE HOSPITAL,",380610,22.550848,72.919763,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-266-2725,Civil Engineering,B.Tech,30,162,1985,Urban,No,Yes
1-44638803128,1-44638803128,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY,Active,Gujarat,Anand,Anand," NH 8, NEAR SANKARA EYE HOSPITAL,",380610,22.550848,72.919763,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-266-2725,Mechanical Engineering,B.Tech,30,162,1985,Urban,No,Yes
1-44638803128,1-44638803128,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF TECHNOLOGY,Active,Gujarat,Anand,Anand," NH 8, NEAR SANKARA EYE HOSPITAL,",380610,22.550848,72.919763,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-266-2725,Information Technology (IT),B.Tech,30,162,1985,Urban,No,Yes
1-44638880562,1-44638880562,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF POLYTECHNIC,Active,Gujarat,Anand,Anand,"DJMIT COLLEGE CAMPUS, NH-8, NR. SANKARA EYE HOSPITAL, MOGAR, ANAND",380610,22.578193,72.938428,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-413-1900,Computer Science Engineering (CSE),Diploma,60,180,1990,Urban,No,No
1-44638880562,1-44638880562,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF POLYTECHNIC,Active,Gujarat,Anand,Anand,"DJMIT COLLEGE CAMPUS, NH-8, NR. SANKARA EYE HOSPITAL, MOGAR, ANAND",380610,22.578193,72.938428,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-413-1900,Mechanical Engineering,Diploma,60,180,1990,Urban,No,No
1-44638880562,1-44638880562,U-0183,DR. JIVRAJ MEHTA INSTITUTE OF POLYTECHNIC,Active,Gujarat,Anand,Anand,"DJMIT COLLEGE CAMPUS, NH-8, NR. SANKARA EYE HOSPITAL, MOGAR, ANAND",380610,22.578193,72.938428,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B,Yes,,Tier 3,http://www.drjivrajmehta.ac.in,info@drjivrajmehta.ac.in,admissions@drjivrajmehta.ac.in,placement@drjivrajmehta.ac.in,+91-80-413-1900,Civil Engineering,Diploma,60,180,1990,Urban,No,No
1-44639772141,1-44639772141,U-0569,CHANDUBHAI S. PATEL INSTITUTE OF TECHNOLOGY,Active,Gujarat,Anand,Anand,EDUCATION CAMPUS AT & PO: CHANGA TA:PETLAD DIST:ANAND PIN:388421,388421,22.559208,72.927896,Private-Self Financing,"Charotar University of Science and Technology, Anand",Approved,Approved,B+,No,,Tier 3,http://www.chandubhaispatel.ac.in,info@chandubhaispatel.ac.in,admissions@chandubhaispatel.ac.in,placement@chandubhaispatel.ac.in,+91-80-616-9209,Computer Science Engineering (CSE),B.Tech,210,663,1981,Rural,Yes,Yes
