College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Other Engineering Branches,M.Tech,36,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Mechanical Engineering,Diploma,60,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Electrical & Electronics Engineering (EEE),Diploma,60,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Electrical & Electronics Engineering (EEE),B.Tech,30,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Electronics & Communication Engineering (ECE),B.Tech,90,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Civil Engineering,B.Tech,30,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Mechanical Engineering,B.Tech,30,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Computer Science Engineering (CSE),B.Tech,180,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Computer Science Engineering (CSE),M.Tech,18,792,1993,Urban,Yes,Yes
1-44638414775,1-44638414775,U-0853,TADIPATRI ENGINEERING COLLEGE,Active,Andhra Pradesh,Anantapur,Anantapur,"KADAPA ROAD, VEERAPURAM (V),TADIPATRI(M).",500961,14.686383,77.585715,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,Yes,,Tier 3,http://www.tadipatri.ac.in,info@tadipatri.ac.in,admissions@tadipatri.ac.in,placement@tadipatri.ac.in,+91-80-026-8704,Information Technology (IT),M.Tech,18,792,1993,Urban,Yes,Yes
