College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639351669,1-44639351669,U-0949,GOVT.POLYTECHNIC ANGUL,Active,Odisha,Angul,Angul,AT-KUSASINGA PO-RANTALEI,751220,20.956059,85.081078,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicangul.ac.in,info@govtpolytechnicangul.ac.in,admissions@govtpolytechnicangul.ac.in,placement@govtpolytechnicangul.ac.in,+91-80-021-6720,Civil Engineering,Diploma,60,300,1980,Rural,Yes,Yes
1-44639351669,1-44639351669,U-0949,GOVT.POLYTECHNIC ANGUL,Active,Odisha,Angul,Angul,AT-KUSASINGA PO-RANTALEI,751220,20.956059,85.081078,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicangul.ac.in,info@govtpolytechnicangul.ac.in,admissions@govtpolytechnicangul.ac.in,placement@govtpolytechnicangul.ac.in,+91-80-021-6720,Electrical Engineering,Diploma,60,300,1980,Rural,Yes,Yes
1-44639351669,1-44639351669,U-0949,GOVT.POLYTECHNIC ANGUL,Active,Odisha,Angul,Angul,AT-KUSASINGA PO-RANTALEI,751220,20.956059,85.081078,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicangul.ac.in,info@govtpolytechnicangul.ac.in,admissions@govtpolytechnicangul.ac.in,placement@govtpolytechnicangul.ac.in,+91-80-021-6720,Mechanical Engineering,Diploma,60,300,1980,Rural,Yes,Yes
1-44639351669,1-44639351669,U-0949,GOVT.POLYTECHNIC ANGUL,Active,Odisha,Angul,Angul,AT-KUSASINGA PO-RANTALEI,751220,20.956059,85.081078,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicangul.ac.in,info@govtpolytechnicangul.ac.in,admissions@govtpolytechnicangul.ac.in,placement@govtpolytechnicangul.ac.in,+91-80-021-6720,Mining Engineering,Diploma,60,300,1980,Rural,Yes,Yes
1-44639351669,1-44639351669,U-0949,GOVT.POLYTECHNIC ANGUL,Active,Odisha,Angul,Angul,AT-KUSASINGA PO-RANTALEI,751220,20.956059,85.081078,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicangul.ac.in,info@govtpolytechnicangul.ac.in,admissions@govtpolytechnicangul.ac.in,placement@govtpolytechnicangul.ac.in,+91-80-021-6720,Other Engineering Branches,Diploma,30,300,1980,Rural,Yes,Yes
1-44639351669,1-44639351669,U-0949,GOVT.POLYTECHNIC ANGUL,Active,Odisha,Angul,Angul,AT-KUSASINGA PO-RANTALEI,751220,20.956059,85.081078,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicangul.ac.in,info@govtpolytechnicangul.ac.in,admissions@govtpolytechnicangul.ac.in,placement@govtpolytechnicangul.ac.in,+91-80-021-6720,IoT,Diploma,30,300,1980,Rural,Yes,Yes
1-44639992864,1-44639992864,U-0949,PATHANI SAMANTA INSTITUTE OF ENGINEERING  & TECHNOLOGY,Active,Odisha,Angul,Angul,AT-KARANDA PO-KARANDA VIA-GUDIAKATENI DIST-DHENKANAL,751220,20.97126,85.098523,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,Yes,,Tier 3,http://www.pathanisamanta.ac.in,info@pathanisamanta.ac.in,admissions@pathanisamanta.ac.in,placement@pathanisamanta.ac.in,+91-80-659-2512,Electronics & Communication Engineering (ECE),Diploma,23,316,1988,Urban,Yes,Yes
1-44639992864,1-44639992864,U-0949,PATHANI SAMANTA INSTITUTE OF ENGINEERING  & TECHNOLOGY,Active,Odisha,Angul,Angul,AT-KARANDA PO-KARANDA VIA-GUDIAKATENI DIST-DHENKANAL,751220,20.97126,85.098523,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,Yes,,Tier 3,http://www.pathanisamanta.ac.in,info@pathanisamanta.ac.in,admissions@pathanisamanta.ac.in,placement@pathanisamanta.ac.in,+91-80-659-2512,Mechanical Engineering,Diploma,90,316,1988,Urban,Yes,Yes
1-44639992864,1-44639992864,U-0949,PATHANI SAMANTA INSTITUTE OF ENGINEERING  & TECHNOLOGY,Active,Odisha,Angul,Angul,AT-KARANDA PO-KARANDA VIA-GUDIAKATENI DIST-DHENKANAL,751220,20.97126,85.098523,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,Yes,,Tier 3,http://www.pathanisamanta.ac.in,info@pathanisamanta.ac.in,admissions@pathanisamanta.ac.in,placement@pathanisamanta.ac.in,+91-80-659-2512,Electrical Engineering,Diploma,90,316,1988,Urban,Yes,Yes
1-44639992864,1-44639992864,U-0949,PATHANI SAMANTA INSTITUTE OF ENGINEERING  & TECHNOLOGY,Active,Odisha,Angul,Angul,AT-KARANDA PO-KARANDA VIA-GUDIAKATENI DIST-DHENKANAL,751220,20.97126,85.098523,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,Yes,,Tier 3,http://www.pathanisamanta.ac.in,info@pathanisamanta.ac.in,admissions@pathanisamanta.ac.in,placement@pathanisamanta.ac.in,+91-80-659-2512,Civil Engineering,Diploma,45,316,1988,Urban,Yes,Yes
1-44639992864,1-44639992864,U-0949,PATHANI SAMANTA INSTITUTE OF ENGINEERING  & TECHNOLOGY,Active,Odisha,Angul,Angul,AT-KARANDA PO-KARANDA VIA-GUDIAKATENI DIST-DHENKANAL,751220,20.97126,85.098523,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,Yes,,Tier 3,http://www.pathanisamanta.ac.in,info@pathanisamanta.ac.in,admissions@pathanisamanta.ac.in,placement@pathanisamanta.ac.in,+91-80-659-2512,Computer Science Engineering (CSE),Diploma,23,316,1988,Urban,Yes,Yes
