College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638504151,1-44638504151,U-0831,"SHRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA",Active,Bihar,Araria,Araria,"SRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA, AT + PO- SIMRAHA, BLOCK - FORBESGANJ",800469,25.092718,85.324643,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A,No,,Tier 2,http://www.shriphanishwarnath.ac.in,info@shriphanishwarnath.ac.in,admissions@shriphanishwarnath.ac.in,placement@shriphanishwarnath.ac.in,+91-80-697-0057,Civil Engineering,B.Tech,60,420,2004,Urban,Yes,Yes
1-44638504151,1-44638504151,U-0831,"SHRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA",Active,Bihar,Araria,Araria,"SRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA, AT + PO- SIMRAHA, BLOCK - FORBESGANJ",800469,25.092718,85.324643,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A,No,,Tier 2,http://www.shriphanishwarnath.ac.in,info@shriphanishwarnath.ac.in,admissions@shriphanishwarnath.ac.in,placement@shriphanishwarnath.ac.in,+91-80-697-0057,Mechanical Engineering,B.Tech,60,420,2004,Urban,Yes,Yes
1-44638504151,1-44638504151,U-0831,"SHRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA",Active,Bihar,Araria,Araria,"SRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA, AT + PO- SIMRAHA, BLOCK - FORBESGANJ",800469,25.092718,85.324643,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A,No,,Tier 2,http://www.shriphanishwarnath.ac.in,info@shriphanishwarnath.ac.in,admissions@shriphanishwarnath.ac.in,placement@shriphanishwarnath.ac.in,+91-80-697-0057,Electrical Engineering,B.Tech,60,420,2004,Urban,Yes,Yes
1-44638504151,1-44638504151,U-0831,"SHRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA",Active,Bihar,Araria,Araria,"SRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA, AT + PO- SIMRAHA, BLOCK - FORBESGANJ",800469,25.092718,85.324643,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A,No,,Tier 2,http://www.shriphanishwarnath.ac.in,info@shriphanishwarnath.ac.in,admissions@shriphanishwarnath.ac.in,placement@shriphanishwarnath.ac.in,+91-80-697-0057,Electronics & Communication Engineering (ECE),B.Tech,60,420,2004,Urban,Yes,Yes
1-44638504151,1-44638504151,U-0831,"SHRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA",Active,Bihar,Araria,Araria,"SRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA, AT + PO- SIMRAHA, BLOCK - FORBESGANJ",800469,25.092718,85.324643,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A,No,,Tier 2,http://www.shriphanishwarnath.ac.in,info@shriphanishwarnath.ac.in,admissions@shriphanishwarnath.ac.in,placement@shriphanishwarnath.ac.in,+91-80-697-0057,Computer Science Engineering (CSE),B.Tech,120,420,2004,Urban,Yes,Yes
1-44638504151,1-44638504151,U-0831,"SHRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA",Active,Bihar,Araria,Araria,"SRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA, AT + PO- SIMRAHA, BLOCK - FORBESGANJ",800469,25.092718,85.324643,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A,No,,Tier 2,http://www.shriphanishwarnath.ac.in,info@shriphanishwarnath.ac.in,admissions@shriphanishwarnath.ac.in,placement@shriphanishwarnath.ac.in,+91-80-697-0057,Electronics & Communication Engineering (ECE),M.Tech,30,420,2004,Urban,Yes,Yes
1-44638504151,1-44638504151,U-0831,"SHRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA",Active,Bihar,Araria,Araria,"SRI PHANISHWAR NATH RENU ENGINEERING COLLEGE, ARARIA, AT + PO- SIMRAHA, BLOCK - FORBESGANJ",800469,25.092718,85.324643,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A,No,,Tier 2,http://www.shriphanishwarnath.ac.in,info@shriphanishwarnath.ac.in,admissions@shriphanishwarnath.ac.in,placement@shriphanishwarnath.ac.in,+91-80-697-0057,Electrical Engineering,M.Tech,30,420,2004,Urban,Yes,Yes
1-44638271836,1-44638271836,U-0698,GOVT. POLYTECHNIC ARARIA,Active,Bihar,Araria,Araria,RAMPUR KODARKATTI ARARIA,800469,25.081328,85.309013,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.govtararia.ac.in,info@govtararia.ac.in,admissions@govtararia.ac.in,placement@govtararia.ac.in,+91-80-219-2997,Civil Engineering,Diploma,90,360,1999,Urban,Yes,Yes
1-44638271836,1-44638271836,U-0698,GOVT. POLYTECHNIC ARARIA,Active,Bihar,Araria,Araria,RAMPUR KODARKATTI ARARIA,800469,25.081328,85.309013,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.govtararia.ac.in,info@govtararia.ac.in,admissions@govtararia.ac.in,placement@govtararia.ac.in,+91-80-219-2997,Mechanical Engineering,Diploma,60,360,1999,Urban,Yes,Yes
1-44638271836,1-44638271836,U-0698,GOVT. POLYTECHNIC ARARIA,Active,Bihar,Araria,Araria,RAMPUR KODARKATTI ARARIA,800469,25.081328,85.309013,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.govtararia.ac.in,info@govtararia.ac.in,admissions@govtararia.ac.in,placement@govtararia.ac.in,+91-80-219-2997,Electrical Engineering,Diploma,90,360,1999,Urban,Yes,Yes
