College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638215563,1-44638215563,U-0449,NC POLYTECHNIC,Active,Uttar Pradesh,Azamgarh,Azamgarh,VILL BAGHWAR LATGHAT RAUNAPAR ROAD AZAMGARH,201008,26.853496,80.930625,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.nc.ac.in,info@nc.ac.in,admissions@nc.ac.in,placement@nc.ac.in,+91-80-123-8940,Mechanical Engineering,Diploma,60,300,2014,Rural,Yes,No
1-44638215563,1-44638215563,U-0449,NC POLYTECHNIC,Active,Uttar Pradesh,Azamgarh,Azamgarh,VILL BAGHWAR LATGHAT RAUNAPAR ROAD AZAMGARH,201008,26.853496,80.930625,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.nc.ac.in,info@nc.ac.in,admissions@nc.ac.in,placement@nc.ac.in,+91-80-123-8940,Electrical Engineering,Diploma,120,300,2014,Rural,Yes,No
1-44638215563,1-44638215563,U-0449,NC POLYTECHNIC,Active,Uttar Pradesh,Azamgarh,Azamgarh,VILL BAGHWAR LATGHAT RAUNAPAR ROAD AZAMGARH,201008,26.853496,80.930625,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.nc.ac.in,info@nc.ac.in,admissions@nc.ac.in,placement@nc.ac.in,+91-80-123-8940,Civil Engineering,Diploma,120,300,2014,Rural,Yes,No
1-44638083856,1-44638083856,U-0449,RUDRA POLYTECHNIC,Active,Uttar Pradesh,Azamgarh,Azamgarh,"VILLAGE & POST- GAURA, TEHSIL- MEHNAGAR",201008,26.838634,80.9574,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.rudra.ac.in,info@rudra.ac.in,admissions@rudra.ac.in,placement@rudra.ac.in,+91-80-500-5511,Mechanical Engineering,Diploma,120,300,1998,Urban,Yes,Yes
1-44638083856,1-44638083856,U-0449,RUDRA POLYTECHNIC,Active,Uttar Pradesh,Azamgarh,Azamgarh,"VILLAGE & POST- GAURA, TEHSIL- MEHNAGAR",201008,26.838634,80.9574,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.rudra.ac.in,info@rudra.ac.in,admissions@rudra.ac.in,placement@rudra.ac.in,+91-80-500-5511,Civil Engineering,Diploma,120,300,1998,Urban,Yes,Yes
1-44638083856,1-44638083856,U-0449,RUDRA POLYTECHNIC,Active,Uttar Pradesh,Azamgarh,Azamgarh,"VILLAGE & POST- GAURA, TEHSIL- MEHNAGAR",201008,26.838634,80.9574,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.rudra.ac.in,info@rudra.ac.in,admissions@rudra.ac.in,placement@rudra.ac.in,+91-80-500-5511,Electrical Engineering,Diploma,60,300,1998,Urban,Yes,Yes
1-44638181204,1-44638181204,U-0449,BAIJNATH RAMNARESH COLLEGE OF TECHNOLOGY,Active,Uttar Pradesh,Azamgarh,Azamgarh,"VILL- TELHUA CHAKWALLI KAZIPUR, POST- CHIRRIAYAKOT",201008,26.831646,80.943369,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.baijnathramnaresh.ac.in,info@baijnathramnaresh.ac.in,admissions@baijnathramnaresh.ac.in,placement@baijnathramnaresh.ac.in,+91-80-207-4733,Civil Engineering,Diploma,60,360,2013,Rural,Yes,Yes
1-44638181204,1-44638181204,U-0449,BAIJNATH RAMNARESH COLLEGE OF TECHNOLOGY,Active,Uttar Pradesh,Azamgarh,Azamgarh,"VILL- TELHUA CHAKWALLI KAZIPUR, POST- CHIRRIAYAKOT",201008,26.831646,80.943369,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.baijnathramnaresh.ac.in,info@baijnathramnaresh.ac.in,admissions@baijnathramnaresh.ac.in,placement@baijnathramnaresh.ac.in,+91-80-207-4733,Electrical Engineering,Diploma,120,360,2013,Rural,Yes,Yes
1-44638181204,1-44638181204,U-0449,BAIJNATH RAMNARESH COLLEGE OF TECHNOLOGY,Active,Uttar Pradesh,Azamgarh,Azamgarh,"VILL- TELHUA CHAKWALLI KAZIPUR, POST- CHIRRIAYAKOT",201008,26.831646,80.943369,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.baijnathramnaresh.ac.in,info@baijnathramnaresh.ac.in,admissions@baijnathramnaresh.ac.in,placement@baijnathramnaresh.ac.in,+91-80-207-4733,Mechanical Engineering,Diploma,120,360,2013,Rural,Yes,Yes
1-44638181204,1-44638181204,U-0449,BAIJNATH RAMNARESH COLLEGE OF TECHNOLOGY,Active,Uttar Pradesh,Azamgarh,Azamgarh,"VILL- TELHUA CHAKWALLI KAZIPUR, POST- CHIRRIAYAKOT",201008,26.831646,80.943369,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.baijnathramnaresh.ac.in,info@baijnathramnaresh.ac.in,admissions@baijnathramnaresh.ac.in,placement@baijnathramnaresh.ac.in,+91-80-207-4733,Computer Science Engineering (CSE),Diploma,60,360,2013,Rural,Yes,Yes
