College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639543155,1-44639543155,U-0294,"GOVT.POLYTECHNIC,BAGALKOT",Active,Karnataka,Bagalkot,Bagalkot,"SECTOR NO.43,NAVANAGAR BAGALKOT-587103",587103,16.186505,75.704665,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicbagalkot.ac.in,info@govtpolytechnicbagalkot.ac.in,admissions@govtpolytechnicbagalkot.ac.in,placement@govtpolytechnicbagalkot.ac.in,+91-80-040-4024,Civil Engineering,Diploma,60,240,1983,Urban,Yes,Yes
1-44639543155,1-44639543155,U-0294,"GOVT.POLYTECHNIC,BAGALKOT",Active,Karnataka,Bagalkot,Bagalkot,"SECTOR NO.43,NAVANAGAR BAGALKOT-587103",587103,16.186505,75.704665,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicbagalkot.ac.in,info@govtpolytechnicbagalkot.ac.in,admissions@govtpolytechnicbagalkot.ac.in,placement@govtpolytechnicbagalkot.ac.in,+91-80-040-4024,Computer Science Engineering (CSE),Diploma,60,240,1983,Urban,Yes,Yes
1-44639543155,1-44639543155,U-0294,"GOVT.POLYTECHNIC,BAGALKOT",Active,Karnataka,Bagalkot,Bagalkot,"SECTOR NO.43,NAVANAGAR BAGALKOT-587103",587103,16.186505,75.704665,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicbagalkot.ac.in,info@govtpolytechnicbagalkot.ac.in,admissions@govtpolytechnicbagalkot.ac.in,placement@govtpolytechnicbagalkot.ac.in,+91-80-040-4024,Mechanical Engineering,Diploma,60,240,1983,Urban,Yes,Yes
1-44639543155,1-44639543155,U-0294,"GOVT.POLYTECHNIC,BAGALKOT",Active,Karnataka,Bagalkot,Bagalkot,"SECTOR NO.43,NAVANAGAR BAGALKOT-587103",587103,16.186505,75.704665,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicbagalkot.ac.in,info@govtpolytechnicbagalkot.ac.in,admissions@govtpolytechnicbagalkot.ac.in,placement@govtpolytechnicbagalkot.ac.in,+91-80-040-4024,Electronics & Communication Engineering (ECE),Diploma,60,240,1983,Urban,Yes,Yes
1-44639838190,1-44639838190,U-0294,GOVERNMENT POLYTECHNIC RABAKAVIBANAHATTI,Active,Karnataka,Bagalkot,Bagalkot,"64/B, NEAR ASHRAY COLONY, RABKAVI , BAGALKOT DISTRICT, KARNATAKA 587314",587314,16.185391,75.707193,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.rabakavibanahatti.ac.in,info@rabakavibanahatti.ac.in,admissions@rabakavibanahatti.ac.in,placement@rabakavibanahatti.ac.in,+91-80-993-6584,Civil Engineering,Diploma,60,240,1997,Urban,Yes,Yes
1-44639838190,1-44639838190,U-0294,GOVERNMENT POLYTECHNIC RABAKAVIBANAHATTI,Active,Karnataka,Bagalkot,Bagalkot,"64/B, NEAR ASHRAY COLONY, RABKAVI , BAGALKOT DISTRICT, KARNATAKA 587314",587314,16.185391,75.707193,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.rabakavibanahatti.ac.in,info@rabakavibanahatti.ac.in,admissions@rabakavibanahatti.ac.in,placement@rabakavibanahatti.ac.in,+91-80-993-6584,Computer Science Engineering (CSE),Diploma,30,240,1997,Urban,Yes,Yes
1-44639838190,1-44639838190,U-0294,GOVERNMENT POLYTECHNIC RABAKAVIBANAHATTI,Active,Karnataka,Bagalkot,Bagalkot,"64/B, NEAR ASHRAY COLONY, RABKAVI , BAGALKOT DISTRICT, KARNATAKA 587314",587314,16.185391,75.707193,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.rabakavibanahatti.ac.in,info@rabakavibanahatti.ac.in,admissions@rabakavibanahatti.ac.in,placement@rabakavibanahatti.ac.in,+91-80-993-6584,Electronics & Communication Engineering (ECE),Diploma,60,240,1997,Urban,Yes,Yes
1-44639838190,1-44639838190,U-0294,GOVERNMENT POLYTECHNIC RABAKAVIBANAHATTI,Active,Karnataka,Bagalkot,Bagalkot,"64/B, NEAR ASHRAY COLONY, RABKAVI , BAGALKOT DISTRICT, KARNATAKA 587314",587314,16.185391,75.707193,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.rabakavibanahatti.ac.in,info@rabakavibanahatti.ac.in,admissions@rabakavibanahatti.ac.in,placement@rabakavibanahatti.ac.in,+91-80-993-6584,Mechanical Engineering,Diploma,60,240,1997,Urban,Yes,Yes
1-44639838190,1-44639838190,U-0294,GOVERNMENT POLYTECHNIC RABAKAVIBANAHATTI,Active,Karnataka,Bagalkot,Bagalkot,"64/B, NEAR ASHRAY COLONY, RABKAVI , BAGALKOT DISTRICT, KARNATAKA 587314",587314,16.185391,75.707193,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.rabakavibanahatti.ac.in,info@rabakavibanahatti.ac.in,admissions@rabakavibanahatti.ac.in,placement@rabakavibanahatti.ac.in,+91-80-993-6584,Other Engineering Branches,Diploma,30,240,1997,Urban,Yes,Yes
1-44640070078,1-44640070078,U-0294,GOVERNMENT POLYTECHNIC BILAGI,Active,Karnataka,Bagalkot,Bagalkot,"GOVERNMENT POLYTECHNIC BILAGI OPPOSITE TO GOVERNMENT HOSPITAL, BILAGI-587116 DIST. BAGALKOT",587116,16.192197,75.713258,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.bilagi.ac.in,info@bilagi.ac.in,admissions@bilagi.ac.in,placement@bilagi.ac.in,+91-80-279-1279,Civil Engineering,Diploma,60,210,2006,Rural,Yes,Yes
