College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638483233,1-44638483233,U-0449,GOVERNMENT POLYTECHNIC KIRTHAL CHAPRAULI BAGPHAT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC,KIRTHAL,CHAPRAULI,TEHSIL- BARAUT, DISTRICT-BAGHPAT UP 250617",250617,26.860855,80.933079,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kirthalchapraulibagphat.ac.in,info@kirthalchapraulibagphat.ac.in,admissions@kirthalchapraulibagphat.ac.in,placement@kirthalchapraulibagphat.ac.in,+91-80-432-5292,Mechanical Engineering,Diploma,60,180,1994,Urban,No,Yes
1-44638483233,1-44638483233,U-0449,GOVERNMENT POLYTECHNIC KIRTHAL CHAPRAULI BAGPHAT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC,KIRTHAL,CHAPRAULI,TEHSIL- BARAUT, DISTRICT-BAGHPAT UP 250617",250617,26.860855,80.933079,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kirthalchapraulibagphat.ac.in,info@kirthalchapraulibagphat.ac.in,admissions@kirthalchapraulibagphat.ac.in,placement@kirthalchapraulibagphat.ac.in,+91-80-432-5292,Electrical Engineering,Diploma,60,180,1994,Urban,No,Yes
1-44638483233,1-44638483233,U-0449,GOVERNMENT POLYTECHNIC KIRTHAL CHAPRAULI BAGPHAT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC,KIRTHAL,CHAPRAULI,TEHSIL- BARAUT, DISTRICT-BAGHPAT UP 250617",250617,26.860855,80.933079,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kirthalchapraulibagphat.ac.in,info@kirthalchapraulibagphat.ac.in,admissions@kirthalchapraulibagphat.ac.in,placement@kirthalchapraulibagphat.ac.in,+91-80-432-5292,Other Engineering Branches,Diploma,60,180,1994,Urban,No,Yes
1-44638276869,1-44638276869,U-0449,GOVERNMENT POLYTECHNIC KUTANA BARAUT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC KUTANA, BARAUT- BAGPAT",201473,26.838849,80.959413,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kutanabaraut.ac.in,info@kutanabaraut.ac.in,admissions@kutanabaraut.ac.in,placement@kutanabaraut.ac.in,+91-80-509-5636,Civil Engineering,Diploma,60,180,2020,Urban,Yes,Yes
1-44638276869,1-44638276869,U-0449,GOVERNMENT POLYTECHNIC KUTANA BARAUT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC KUTANA, BARAUT- BAGPAT",201473,26.838849,80.959413,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kutanabaraut.ac.in,info@kutanabaraut.ac.in,admissions@kutanabaraut.ac.in,placement@kutanabaraut.ac.in,+91-80-509-5636,Other Engineering Branches,Diploma,60,180,2020,Urban,Yes,Yes
1-44638276869,1-44638276869,U-0449,GOVERNMENT POLYTECHNIC KUTANA BARAUT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC KUTANA, BARAUT- BAGPAT",201473,26.838849,80.959413,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kutanabaraut.ac.in,info@kutanabaraut.ac.in,admissions@kutanabaraut.ac.in,placement@kutanabaraut.ac.in,+91-80-509-5636,Mechanical Engineering,Diploma,60,180,2020,Urban,Yes,Yes
1-44638750175,1-44638750175,U-0449,SHRI GOPICHAND INSTITUTE OF MANAGEMENT & TECHNOLOGY,Active,Uttar Pradesh,Bagpat,Bagpat,"GOPI NAGAR, AHERA POST - BAGHPAT, DISTT. - BAGHPAT (U.P) 250609",250609,26.841203,80.944081,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.shrigopichandmanagement.ac.in,info@shrigopichandmanagement.ac.in,admissions@shrigopichandmanagement.ac.in,placement@shrigopichandmanagement.ac.in,+91-80-608-3186,Electrical Engineering,Diploma,30,60,2003,Urban,Yes,Yes
1-44638750175,1-44638750175,U-0449,SHRI GOPICHAND INSTITUTE OF MANAGEMENT & TECHNOLOGY,Active,Uttar Pradesh,Bagpat,Bagpat,"GOPI NAGAR, AHERA POST - BAGHPAT, DISTT. - BAGHPAT (U.P) 250609",250609,26.841203,80.944081,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.shrigopichandmanagement.ac.in,info@shrigopichandmanagement.ac.in,admissions@shrigopichandmanagement.ac.in,placement@shrigopichandmanagement.ac.in,+91-80-608-3186,Mechanical Engineering,Diploma,30,60,2003,Urban,Yes,Yes
1-44640346443,1-44640346443,U-0449,DIGAMBER JAIN POLYTECHNIC BARAUT,Active,Uttar Pradesh,Bagpat,Bagpat,"BARKA ROAD,  BARAUT BAGHPAT",201473,26.846708,80.965394,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.digamberjainbaraut.ac.in,info@digamberjainbaraut.ac.in,admissions@digamberjainbaraut.ac.in,placement@digamberjainbaraut.ac.in,+91-80-839-2186,Mechanical Engineering,Diploma,120,450,2007,Urban,Yes,Yes
1-44640346443,1-44640346443,U-0449,DIGAMBER JAIN POLYTECHNIC BARAUT,Active,Uttar Pradesh,Bagpat,Bagpat,"BARKA ROAD,  BARAUT BAGHPAT",201473,26.846708,80.965394,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.digamberjainbaraut.ac.in,info@digamberjainbaraut.ac.in,admissions@digamberjainbaraut.ac.in,placement@digamberjainbaraut.ac.in,+91-80-839-2186,Civil Engineering,Diploma,150,450,2007,Urban,Yes,Yes
