College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638440178,1-44638440178,U-0449,"GOVERNMENT GIRLS POLYTECHNIC, RISIA, NANPARA, BAHRAICH",Active,Uttar Pradesh,Bahraich,Bahraich,"GOVERNMENT GIRLS POLYTECHNIC, RISIA, NANPARA, BAHRAICH",201791,26.840049,80.936929,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girlsrisiananpara.ac.in,info@girlsrisiananpara.ac.in,admissions@girlsrisiananpara.ac.in,placement@girlsrisiananpara.ac.in,+91-80-559-9044,Civil Engineering,Diploma,60,180,2013,Urban,Yes,Yes
1-44638440178,1-44638440178,U-0449,"GOVERNMENT GIRLS POLYTECHNIC, RISIA, NANPARA, BAHRAICH",Active,Uttar Pradesh,Bahraich,Bahraich,"GOVERNMENT GIRLS POLYTECHNIC, RISIA, NANPARA, BAHRAICH",201791,26.840049,80.936929,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girlsrisiananpara.ac.in,info@girlsrisiananpara.ac.in,admissions@girlsrisiananpara.ac.in,placement@girlsrisiananpara.ac.in,+91-80-559-9044,Computer Science Engineering (CSE),Diploma,60,180,2013,Urban,Yes,Yes
1-44638440178,1-44638440178,U-0449,"GOVERNMENT GIRLS POLYTECHNIC, RISIA, NANPARA, BAHRAICH",Active,Uttar Pradesh,Bahraich,Bahraich,"GOVERNMENT GIRLS POLYTECHNIC, RISIA, NANPARA, BAHRAICH",201791,26.840049,80.936929,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girlsrisiananpara.ac.in,info@girlsrisiananpara.ac.in,admissions@girlsrisiananpara.ac.in,placement@girlsrisiananpara.ac.in,+91-80-559-9044,Mechanical Engineering,Diploma,60,180,2013,Urban,Yes,Yes
1-44639851372,1-44639851372,U-0449,"GOVERNMENT POLYTECHNIC MOHAMMAD PUR (GITI CAMPUS), BAHRAICH",Active,Uttar Pradesh,Bahraich,Bahraich,"GOVERNMENT POLYTECHNIC MOHAMMAD PUR (GITI CAMPUS), NANPARA ROAD,  BAHRAICH",201791,26.838146,80.949859,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.mohammadpurgiti.ac.in,info@mohammadpurgiti.ac.in,admissions@mohammadpurgiti.ac.in,placement@mohammadpurgiti.ac.in,+91-80-480-0919,Mechanical Engineering,Diploma,60,180,1991,Urban,Yes,Yes
1-44639851372,1-44639851372,U-0449,"GOVERNMENT POLYTECHNIC MOHAMMAD PUR (GITI CAMPUS), BAHRAICH",Active,Uttar Pradesh,Bahraich,Bahraich,"GOVERNMENT POLYTECHNIC MOHAMMAD PUR (GITI CAMPUS), NANPARA ROAD,  BAHRAICH",201791,26.838146,80.949859,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.mohammadpurgiti.ac.in,info@mohammadpurgiti.ac.in,admissions@mohammadpurgiti.ac.in,placement@mohammadpurgiti.ac.in,+91-80-480-0919,Chemical Engineering,Diploma,120,180,1991,Urban,Yes,Yes
1-44641126046,1-44641126046,U-0449,GOVERNMENT POLYTECHNIC BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"ASSAM CHAURAHA, BHINGA ROAD, KALPIPARA",201791,26.840301,80.947503,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.bahraich.ac.in,info@bahraich.ac.in,admissions@bahraich.ac.in,placement@bahraich.ac.in,+91-80-570-4840,Civil Engineering,Diploma,60,180,1996,Urban,Yes,Yes
1-44641126046,1-44641126046,U-0449,GOVERNMENT POLYTECHNIC BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"ASSAM CHAURAHA, BHINGA ROAD, KALPIPARA",201791,26.840301,80.947503,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.bahraich.ac.in,info@bahraich.ac.in,admissions@bahraich.ac.in,placement@bahraich.ac.in,+91-80-570-4840,Electrical Engineering,Diploma,60,180,1996,Urban,Yes,Yes
1-44641126046,1-44641126046,U-0449,GOVERNMENT POLYTECHNIC BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"ASSAM CHAURAHA, BHINGA ROAD, KALPIPARA",201791,26.840301,80.947503,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.bahraich.ac.in,info@bahraich.ac.in,admissions@bahraich.ac.in,placement@bahraich.ac.in,+91-80-570-4840,Other Engineering Branches,Diploma,60,180,1996,Urban,Yes,Yes
1-44756149124,1-44756149124,U-0675,GOVERNMENT POLYTECHNIC MAHASI BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"GATA NO.263, VILLAGE BHIRWA, MAHASI, BAHRAICH",201791,26.845109,80.939925,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,B,No,,Tier 3,http://www.mahasibahraich.ac.in,info@mahasibahraich.ac.in,admissions@mahasibahraich.ac.in,placement@mahasibahraich.ac.in,+91-80-772-1303,Civil Engineering,Diploma,60,240,2016,Urban,Yes,No
1-44756149124,1-44756149124,U-0675,GOVERNMENT POLYTECHNIC MAHASI BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"GATA NO.263, VILLAGE BHIRWA, MAHASI, BAHRAICH",201791,26.845109,80.939925,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,B,No,,Tier 3,http://www.mahasibahraich.ac.in,info@mahasibahraich.ac.in,admissions@mahasibahraich.ac.in,placement@mahasibahraich.ac.in,+91-80-772-1303,Electrical & Electronics Engineering (EEE),Diploma,60,240,2016,Urban,Yes,No
1-44756149124,1-44756149124,U-0675,GOVERNMENT POLYTECHNIC MAHASI BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"GATA NO.263, VILLAGE BHIRWA, MAHASI, BAHRAICH",201791,26.845109,80.939925,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,B,No,,Tier 3,http://www.mahasibahraich.ac.in,info@mahasibahraich.ac.in,admissions@mahasibahraich.ac.in,placement@mahasibahraich.ac.in,+91-80-772-1303,Computer Science Engineering (CSE),Diploma,60,240,2016,Urban,Yes,No
1-44756149124,1-44756149124,U-0675,GOVERNMENT POLYTECHNIC MAHASI BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"GATA NO.263, VILLAGE BHIRWA, MAHASI, BAHRAICH",201791,26.845109,80.939925,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,B,No,,Tier 3,http://www.mahasibahraich.ac.in,info@mahasibahraich.ac.in,admissions@mahasibahraich.ac.in,placement@mahasibahraich.ac.in,+91-80-772-1303,Mechanical Engineering,Diploma,60,240,2016,Urban,Yes,No
1-44790142733,1-44790142733,U-0086,GOVERNMENT GIRLS POLYTECHNIC BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"BESIDE GOVT. POLYTECHNIC BAHRAICH, ASSAM CHAURAHA, SALARPUR, BAHRAICH",201791,26.852511,80.933869,Government,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A,No,,Tier 2,http://www.girlsbahraich.ac.in,info@girlsbahraich.ac.in,admissions@girlsbahraich.ac.in,placement@girlsbahraich.ac.in,+91-80-082-5777,Computer Science Engineering (CSE),Diploma,60,240,2000,Urban,Yes,No
1-44790142733,1-44790142733,U-0086,GOVERNMENT GIRLS POLYTECHNIC BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"BESIDE GOVT. POLYTECHNIC BAHRAICH, ASSAM CHAURAHA, SALARPUR, BAHRAICH",201791,26.852511,80.933869,Government,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A,No,,Tier 2,http://www.girlsbahraich.ac.in,info@girlsbahraich.ac.in,admissions@girlsbahraich.ac.in,placement@girlsbahraich.ac.in,+91-80-082-5777,Electronics & Communication Engineering (ECE),Diploma,60,240,2000,Urban,Yes,No
1-44790142733,1-44790142733,U-0086,GOVERNMENT GIRLS POLYTECHNIC BAHRAICH,Active,Uttar Pradesh,Bahraich,Bahraich,"BESIDE GOVT. POLYTECHNIC BAHRAICH, ASSAM CHAURAHA, SALARPUR, BAHRAICH",201791,26.852511,80.933869,Government,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A,No,,Tier 2,http://www.girlsbahraich.ac.in,info@girlsbahraich.ac.in,admissions@girlsbahraich.ac.in,placement@girlsbahraich.ac.in,+91-80-082-5777,Other Engineering Branches,Diploma,120,240,2000,Urban,Yes,No
