College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Civil Engineering,Diploma,60,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Mining Engineering,Diploma,120,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Mechanical Engineering,Diploma,120,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Electrical Engineering,Diploma,120,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Computer Science Engineering (CSE),B.Tech,180,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Mining Engineering,B.Tech,120,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Civil Engineering,B.Tech,60,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Mechanical Engineering,B.Tech,60,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Electrical Engineering,B.Tech,60,960,1995,Urban,No,Yes
1-44638200483,1-44638200483,U-0441,SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Madhya Pradesh,Balaghat,Balaghat,"LALBURRA ROAD MANJHAPUR, (GARRA) BALAGHAT",452705,22.975389,78.676772,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.satpuda.ac.in,info@satpuda.ac.in,admissions@satpuda.ac.in,placement@satpuda.ac.in,+91-80-922-2911,Computer Science Engineering (CSE),Diploma,60,960,1995,Urban,No,Yes
1-44640140753,1-44640140753,U-0297,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Balaghat,Balaghat,"VILLAGE DONGARIYA(WARASEONI ROAD), POST CHILLOD,TH LALBURRA,DIST BALAGHAT(MP)",452705,22.976569,78.649747,Private-Self Financing,SARDAR PATEL UNIVERSITY BALAGHAT,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Civil Engineering,Diploma,60,330,1987,Urban,Yes,Yes
1-44640140753,1-44640140753,U-0297,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Balaghat,Balaghat,"VILLAGE DONGARIYA(WARASEONI ROAD), POST CHILLOD,TH LALBURRA,DIST BALAGHAT(MP)",452705,22.976569,78.649747,Private-Self Financing,SARDAR PATEL UNIVERSITY BALAGHAT,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Electronics & Communication Engineering (ECE),Diploma,30,330,1987,Urban,Yes,Yes
1-44640140753,1-44640140753,U-0297,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Balaghat,Balaghat,"VILLAGE DONGARIYA(WARASEONI ROAD), POST CHILLOD,TH LALBURRA,DIST BALAGHAT(MP)",452705,22.976569,78.649747,Private-Self Financing,SARDAR PATEL UNIVERSITY BALAGHAT,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Mechanical Engineering,B.Tech,60,330,1987,Urban,Yes,Yes
1-44640140753,1-44640140753,U-0297,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Balaghat,Balaghat,"VILLAGE DONGARIYA(WARASEONI ROAD), POST CHILLOD,TH LALBURRA,DIST BALAGHAT(MP)",452705,22.976569,78.649747,Private-Self Financing,SARDAR PATEL UNIVERSITY BALAGHAT,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Civil Engineering,B.Tech,60,330,1987,Urban,Yes,Yes
1-44640140753,1-44640140753,U-0297,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Balaghat,Balaghat,"VILLAGE DONGARIYA(WARASEONI ROAD), POST CHILLOD,TH LALBURRA,DIST BALAGHAT(MP)",452705,22.976569,78.649747,Private-Self Financing,SARDAR PATEL UNIVERSITY BALAGHAT,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Computer Science Engineering (CSE),B.Tech,60,330,1987,Urban,Yes,Yes
1-44640140753,1-44640140753,U-0297,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Balaghat,Balaghat,"VILLAGE DONGARIYA(WARASEONI ROAD), POST CHILLOD,TH LALBURRA,DIST BALAGHAT(MP)",452705,22.976569,78.649747,Private-Self Financing,SARDAR PATEL UNIVERSITY BALAGHAT,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Electronics & Communication Engineering (ECE),B.Tech,30,330,1987,Urban,Yes,Yes
1-44640140753,1-44640140753,U-0297,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Balaghat,Balaghat,"VILLAGE DONGARIYA(WARASEONI ROAD), POST CHILLOD,TH LALBURRA,DIST BALAGHAT(MP)",452705,22.976569,78.649747,Private-Self Financing,SARDAR PATEL UNIVERSITY BALAGHAT,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Information Technology (IT),B.Tech,30,330,1987,Urban,Yes,Yes
1-44639988037,1-44639988037,U-0441,GOVERNMENT POLYTECHNIC COLLEGE BALAGHAT,Active,Madhya Pradesh,Balaghat,Balaghat,JAGPUR ROAD,452705,22.967266,78.659132,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.balaghat.ac.in,info@balaghat.ac.in,admissions@balaghat.ac.in,placement@balaghat.ac.in,+91-80-581-5950,Civil Engineering,Diploma,60,240,1980,Rural,Yes,Yes
