College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639628189,1-44639628189,U-0949,SUSHREE INSTITUTE OF TECHNICAL EDUCATION (SITE),Active,Odisha,Balangir,Balangir,AT-PALLISHREE VIHAR PO-SADAIPALI VIA-CHANDANBHATI DIST-BALANGIR PIN-767065 STATE-ORISSA,767065,20.970747,85.090362,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushreetechnicaleducation.ac.in,info@sushreetechnicaleducation.ac.in,admissions@sushreetechnicaleducation.ac.in,placement@sushreetechnicaleducation.ac.in,+91-80-637-7163,Civil Engineering,Diploma,60,390,2022,Urban,No,Yes
1-44639628189,1-44639628189,U-0949,SUSHREE INSTITUTE OF TECHNICAL EDUCATION (SITE),Active,Odisha,Balangir,Balangir,AT-PALLISHREE VIHAR PO-SADAIPALI VIA-CHANDANBHATI DIST-BALANGIR PIN-767065 STATE-ORISSA,767065,20.970747,85.090362,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushreetechnicaleducation.ac.in,info@sushreetechnicaleducation.ac.in,admissions@sushreetechnicaleducation.ac.in,placement@sushreetechnicaleducation.ac.in,+91-80-637-7163,Electrical Engineering,Diploma,90,390,2022,Urban,No,Yes
1-44639628189,1-44639628189,U-0949,SUSHREE INSTITUTE OF TECHNICAL EDUCATION (SITE),Active,Odisha,Balangir,Balangir,AT-PALLISHREE VIHAR PO-SADAIPALI VIA-CHANDANBHATI DIST-BALANGIR PIN-767065 STATE-ORISSA,767065,20.970747,85.090362,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushreetechnicaleducation.ac.in,info@sushreetechnicaleducation.ac.in,admissions@sushreetechnicaleducation.ac.in,placement@sushreetechnicaleducation.ac.in,+91-80-637-7163,Electronics & Communication Engineering (ECE),Diploma,60,390,2022,Urban,No,Yes
1-44639628189,1-44639628189,U-0949,SUSHREE INSTITUTE OF TECHNICAL EDUCATION (SITE),Active,Odisha,Balangir,Balangir,AT-PALLISHREE VIHAR PO-SADAIPALI VIA-CHANDANBHATI DIST-BALANGIR PIN-767065 STATE-ORISSA,767065,20.970747,85.090362,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushreetechnicaleducation.ac.in,info@sushreetechnicaleducation.ac.in,admissions@sushreetechnicaleducation.ac.in,placement@sushreetechnicaleducation.ac.in,+91-80-637-7163,Mechanical Engineering,Diploma,120,390,2022,Urban,No,Yes
1-44639628189,1-44639628189,U-0949,SUSHREE INSTITUTE OF TECHNICAL EDUCATION (SITE),Active,Odisha,Balangir,Balangir,AT-PALLISHREE VIHAR PO-SADAIPALI VIA-CHANDANBHATI DIST-BALANGIR PIN-767065 STATE-ORISSA,767065,20.970747,85.090362,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushreetechnicaleducation.ac.in,info@sushreetechnicaleducation.ac.in,admissions@sushreetechnicaleducation.ac.in,placement@sushreetechnicaleducation.ac.in,+91-80-637-7163,Information Technology (IT),Diploma,30,390,2022,Urban,No,Yes
1-44639628189,1-44639628189,U-0949,SUSHREE INSTITUTE OF TECHNICAL EDUCATION (SITE),Active,Odisha,Balangir,Balangir,AT-PALLISHREE VIHAR PO-SADAIPALI VIA-CHANDANBHATI DIST-BALANGIR PIN-767065 STATE-ORISSA,767065,20.970747,85.090362,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushreetechnicaleducation.ac.in,info@sushreetechnicaleducation.ac.in,admissions@sushreetechnicaleducation.ac.in,placement@sushreetechnicaleducation.ac.in,+91-80-637-7163,Computer Science Engineering (CSE),Diploma,30,390,2022,Urban,No,Yes
1-44639623837,1-44639623837,U-0949,"GOVERNMENT POLYTECHNIC, BOLANGIR",Active,Odisha,Balangir,Balangir,AT- LARKIPALI PO- RAJENDRA COLLEGE,751971,20.953649,85.101024,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bolangir.ac.in,info@bolangir.ac.in,admissions@bolangir.ac.in,placement@bolangir.ac.in,+91-80-920-6160,Automobile Engineering,Diploma,60,270,1991,Rural,Yes,Yes
1-44639623837,1-44639623837,U-0949,"GOVERNMENT POLYTECHNIC, BOLANGIR",Active,Odisha,Balangir,Balangir,AT- LARKIPALI PO- RAJENDRA COLLEGE,751971,20.953649,85.101024,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bolangir.ac.in,info@bolangir.ac.in,admissions@bolangir.ac.in,placement@bolangir.ac.in,+91-80-920-6160,Civil Engineering,Diploma,60,270,1991,Rural,Yes,Yes
1-44639623837,1-44639623837,U-0949,"GOVERNMENT POLYTECHNIC, BOLANGIR",Active,Odisha,Balangir,Balangir,AT- LARKIPALI PO- RAJENDRA COLLEGE,751971,20.953649,85.101024,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bolangir.ac.in,info@bolangir.ac.in,admissions@bolangir.ac.in,placement@bolangir.ac.in,+91-80-920-6160,Electrical Engineering,Diploma,60,270,1991,Rural,Yes,Yes
1-44639623837,1-44639623837,U-0949,"GOVERNMENT POLYTECHNIC, BOLANGIR",Active,Odisha,Balangir,Balangir,AT- LARKIPALI PO- RAJENDRA COLLEGE,751971,20.953649,85.101024,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bolangir.ac.in,info@bolangir.ac.in,admissions@bolangir.ac.in,placement@bolangir.ac.in,+91-80-920-6160,Mechanical Engineering,Diploma,60,270,1991,Rural,Yes,Yes
