College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638159683,1-44638159683,U-0440,GOVERNMENT ENGINEERING COLLEGE BANKA,Active,Bihar,Banka,Banka,"GOVERNMENT ENGINEERING COLLEGE BANKA, VILL- LAKRIKOLA, P.O.- MANJIRA, P.S.- BANKA, DIST- BANKA -",800424,25.093724,85.32578,Government,Bihar Engineering University,Approved,Approved,A,No,,Tier 2,http://www.banka.ac.in,info@banka.ac.in,admissions@banka.ac.in,placement@banka.ac.in,+91-80-739-1953,Civil Engineering,B.Tech,60,360,2021,Rural,Yes,Yes
1-44638159683,1-44638159683,U-0440,GOVERNMENT ENGINEERING COLLEGE BANKA,Active,Bihar,Banka,Banka,"GOVERNMENT ENGINEERING COLLEGE BANKA, VILL- LAKRIKOLA, P.O.- MANJIRA, P.S.- BANKA, DIST- BANKA -",800424,25.093724,85.32578,Government,Bihar Engineering University,Approved,Approved,A,No,,Tier 2,http://www.banka.ac.in,info@banka.ac.in,admissions@banka.ac.in,placement@banka.ac.in,+91-80-739-1953,Mechanical Engineering,B.Tech,60,360,2021,Rural,Yes,Yes
1-44638159683,1-44638159683,U-0440,GOVERNMENT ENGINEERING COLLEGE BANKA,Active,Bihar,Banka,Banka,"GOVERNMENT ENGINEERING COLLEGE BANKA, VILL- LAKRIKOLA, P.O.- MANJIRA, P.S.- BANKA, DIST- BANKA -",800424,25.093724,85.32578,Government,Bihar Engineering University,Approved,Approved,A,No,,Tier 2,http://www.banka.ac.in,info@banka.ac.in,admissions@banka.ac.in,placement@banka.ac.in,+91-80-739-1953,Electrical Engineering,B.Tech,60,360,2021,Rural,Yes,Yes
1-44638159683,1-44638159683,U-0440,GOVERNMENT ENGINEERING COLLEGE BANKA,Active,Bihar,Banka,Banka,"GOVERNMENT ENGINEERING COLLEGE BANKA, VILL- LAKRIKOLA, P.O.- MANJIRA, P.S.- BANKA, DIST- BANKA -",800424,25.093724,85.32578,Government,Bihar Engineering University,Approved,Approved,A,No,,Tier 2,http://www.banka.ac.in,info@banka.ac.in,admissions@banka.ac.in,placement@banka.ac.in,+91-80-739-1953,Electronics & Communication Engineering (ECE),B.Tech,60,360,2021,Rural,Yes,Yes
1-44638159683,1-44638159683,U-0440,GOVERNMENT ENGINEERING COLLEGE BANKA,Active,Bihar,Banka,Banka,"GOVERNMENT ENGINEERING COLLEGE BANKA, VILL- LAKRIKOLA, P.O.- MANJIRA, P.S.- BANKA, DIST- BANKA -",800424,25.093724,85.32578,Government,Bihar Engineering University,Approved,Approved,A,No,,Tier 2,http://www.banka.ac.in,info@banka.ac.in,admissions@banka.ac.in,placement@banka.ac.in,+91-80-739-1953,Computer Science Engineering (CSE),B.Tech,60,360,2021,Rural,Yes,Yes
1-44638159683,1-44638159683,U-0440,GOVERNMENT ENGINEERING COLLEGE BANKA,Active,Bihar,Banka,Banka,"GOVERNMENT ENGINEERING COLLEGE BANKA, VILL- LAKRIKOLA, P.O.- MANJIRA, P.S.- BANKA, DIST- BANKA -",800424,25.093724,85.32578,Government,Bihar Engineering University,Approved,Approved,A,No,,Tier 2,http://www.banka.ac.in,info@banka.ac.in,admissions@banka.ac.in,placement@banka.ac.in,+91-80-739-1953,IoT,B.Tech,60,360,2021,Rural,Yes,Yes
1-44638237538,1-44638237538,U-0698,"GOVT. POLYTECHNIC, BANKA",Active,Bihar,Banka,Banka,"PRINCIPAL GOVT. POLYTECHNIC, BANKA VILL- KOTWALI, PO-HARCHANDI DIST- BANKA PIN-813105",813105,25.085789,85.314439,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbanka.ac.in,info@govtbanka.ac.in,admissions@govtbanka.ac.in,placement@govtbanka.ac.in,+91-80-406-3880,Civil Engineering,Diploma,120,360,1983,Rural,Yes,Yes
1-44638237538,1-44638237538,U-0698,"GOVT. POLYTECHNIC, BANKA",Active,Bihar,Banka,Banka,"PRINCIPAL GOVT. POLYTECHNIC, BANKA VILL- KOTWALI, PO-HARCHANDI DIST- BANKA PIN-813105",813105,25.085789,85.314439,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbanka.ac.in,info@govtbanka.ac.in,admissions@govtbanka.ac.in,placement@govtbanka.ac.in,+91-80-406-3880,Electrical Engineering,Diploma,60,360,1983,Rural,Yes,Yes
1-44638237538,1-44638237538,U-0698,"GOVT. POLYTECHNIC, BANKA",Active,Bihar,Banka,Banka,"PRINCIPAL GOVT. POLYTECHNIC, BANKA VILL- KOTWALI, PO-HARCHANDI DIST- BANKA PIN-813105",813105,25.085789,85.314439,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbanka.ac.in,info@govtbanka.ac.in,admissions@govtbanka.ac.in,placement@govtbanka.ac.in,+91-80-406-3880,Other Engineering Branches,Diploma,60,360,1983,Rural,Yes,Yes
1-44638237538,1-44638237538,U-0698,"GOVT. POLYTECHNIC, BANKA",Active,Bihar,Banka,Banka,"PRINCIPAL GOVT. POLYTECHNIC, BANKA VILL- KOTWALI, PO-HARCHANDI DIST- BANKA PIN-813105",813105,25.085789,85.314439,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbanka.ac.in,info@govtbanka.ac.in,admissions@govtbanka.ac.in,placement@govtbanka.ac.in,+91-80-406-3880,Mechanical Engineering,Diploma,60,360,1983,Rural,Yes,Yes
1-44638237538,1-44638237538,U-0698,"GOVT. POLYTECHNIC, BANKA",Active,Bihar,Banka,Banka,"PRINCIPAL GOVT. POLYTECHNIC, BANKA VILL- KOTWALI, PO-HARCHANDI DIST- BANKA PIN-813105",813105,25.085789,85.314439,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbanka.ac.in,info@govtbanka.ac.in,admissions@govtbanka.ac.in,placement@govtbanka.ac.in,+91-80-406-3880,Computer Science Engineering (CSE),Diploma,60,360,1983,Rural,Yes,Yes
1-44640134602,1-44640134602,U-0440,ADWAITA MISSION INSTITUTE OF TECHNOLOGY,Active,Bihar,Banka,Banka,"AT-SHIVDHAM,PO-MANIYARPUR VIA-BOUNSI,DIST-BANKA,BIHAR-813104",813104,25.107386,85.303864,Private-Self Financing,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.adwaitamission.ac.in,info@adwaitamission.ac.in,admissions@adwaitamission.ac.in,placement@adwaitamission.ac.in,+91-80-312-2116,Electronics & Communication Engineering (ECE),B.Tech,30,246,2001,Rural,Yes,Yes
1-44640134602,1-44640134602,U-0440,ADWAITA MISSION INSTITUTE OF TECHNOLOGY,Active,Bihar,Banka,Banka,"AT-SHIVDHAM,PO-MANIYARPUR VIA-BOUNSI,DIST-BANKA,BIHAR-813104",813104,25.107386,85.303864,Private-Self Financing,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.adwaitamission.ac.in,info@adwaitamission.ac.in,admissions@adwaitamission.ac.in,placement@adwaitamission.ac.in,+91-80-312-2116,Computer Science Engineering (CSE),B.Tech,54,246,2001,Rural,Yes,Yes
1-44640134602,1-44640134602,U-0440,ADWAITA MISSION INSTITUTE OF TECHNOLOGY,Active,Bihar,Banka,Banka,"AT-SHIVDHAM,PO-MANIYARPUR VIA-BOUNSI,DIST-BANKA,BIHAR-813104",813104,25.107386,85.303864,Private-Self Financing,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.adwaitamission.ac.in,info@adwaitamission.ac.in,admissions@adwaitamission.ac.in,placement@adwaitamission.ac.in,+91-80-312-2116,Civil Engineering,B.Tech,54,246,2001,Rural,Yes,Yes
1-44640134602,1-44640134602,U-0440,ADWAITA MISSION INSTITUTE OF TECHNOLOGY,Active,Bihar,Banka,Banka,"AT-SHIVDHAM,PO-MANIYARPUR VIA-BOUNSI,DIST-BANKA,BIHAR-813104",813104,25.107386,85.303864,Private-Self Financing,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.adwaitamission.ac.in,info@adwaitamission.ac.in,admissions@adwaitamission.ac.in,placement@adwaitamission.ac.in,+91-80-312-2116,Mechanical Engineering,B.Tech,54,246,2001,Rural,Yes,Yes
1-44640134602,1-44640134602,U-0440,ADWAITA MISSION INSTITUTE OF TECHNOLOGY,Active,Bihar,Banka,Banka,"AT-SHIVDHAM,PO-MANIYARPUR VIA-BOUNSI,DIST-BANKA,BIHAR-813104",813104,25.107386,85.303864,Private-Self Financing,Bihar Engineering University,Approved,Approved,A+,Yes,,Tier 2,http://www.adwaitamission.ac.in,info@adwaitamission.ac.in,admissions@adwaitamission.ac.in,placement@adwaitamission.ac.in,+91-80-312-2116,Electrical Engineering,B.Tech,54,246,2001,Rural,Yes,Yes
