College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638188784,1-44638188784,U-0339,RAIPUR GOVERNMENT POLYTECHNIC,Active,West Bengal,Bankura,Bankura," PO-SIROMANIPUR,PS-RAIPUR,DIST-BANKURA, PIN-722134",722134,23.002325,87.869849,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.raipur.ac.in,info@raipur.ac.in,admissions@raipur.ac.in,placement@raipur.ac.in,+91-80-490-0447,Electrical Engineering,Diploma,60,180,2005,Urban,No,Yes
1-44638188784,1-44638188784,U-0339,RAIPUR GOVERNMENT POLYTECHNIC,Active,West Bengal,Bankura,Bankura," PO-SIROMANIPUR,PS-RAIPUR,DIST-BANKURA, PIN-722134",722134,23.002325,87.869849,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.raipur.ac.in,info@raipur.ac.in,admissions@raipur.ac.in,placement@raipur.ac.in,+91-80-490-0447,Civil Engineering,Diploma,60,180,2005,Urban,No,Yes
1-44638188784,1-44638188784,U-0339,RAIPUR GOVERNMENT POLYTECHNIC,Active,West Bengal,Bankura,Bankura," PO-SIROMANIPUR,PS-RAIPUR,DIST-BANKURA, PIN-722134",722134,23.002325,87.869849,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.raipur.ac.in,info@raipur.ac.in,admissions@raipur.ac.in,placement@raipur.ac.in,+91-80-490-0447,Mechanical Engineering,Diploma,60,180,2005,Urban,No,Yes
1-44639546368,1-44639546368,U-0339,BISHNUPUR PUBLIC INSTITUTE OF ENGINEERING (POLYTECHNIC),Active,West Bengal,Bankura,Bankura,"VILL : SIROMONIPUR, P.O. & P.S. BISHNUPUR",700644,22.981128,87.851513,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bishnupurpublic.ac.in,info@bishnupurpublic.ac.in,admissions@bishnupurpublic.ac.in,placement@bishnupurpublic.ac.in,+91-80-600-9449,Civil Engineering,Diploma,180,600,1985,Urban,Yes,Yes
1-44639546368,1-44639546368,U-0339,BISHNUPUR PUBLIC INSTITUTE OF ENGINEERING (POLYTECHNIC),Active,West Bengal,Bankura,Bankura,"VILL : SIROMONIPUR, P.O. & P.S. BISHNUPUR",700644,22.981128,87.851513,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bishnupurpublic.ac.in,info@bishnupurpublic.ac.in,admissions@bishnupurpublic.ac.in,placement@bishnupurpublic.ac.in,+91-80-600-9449,Mechanical Engineering,Diploma,180,600,1985,Urban,Yes,Yes
1-44639546368,1-44639546368,U-0339,BISHNUPUR PUBLIC INSTITUTE OF ENGINEERING (POLYTECHNIC),Active,West Bengal,Bankura,Bankura,"VILL : SIROMONIPUR, P.O. & P.S. BISHNUPUR",700644,22.981128,87.851513,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bishnupurpublic.ac.in,info@bishnupurpublic.ac.in,admissions@bishnupurpublic.ac.in,placement@bishnupurpublic.ac.in,+91-80-600-9449,Electrical Engineering,Diploma,120,600,1985,Urban,Yes,Yes
1-44639546368,1-44639546368,U-0339,BISHNUPUR PUBLIC INSTITUTE OF ENGINEERING (POLYTECHNIC),Active,West Bengal,Bankura,Bankura,"VILL : SIROMONIPUR, P.O. & P.S. BISHNUPUR",700644,22.981128,87.851513,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bishnupurpublic.ac.in,info@bishnupurpublic.ac.in,admissions@bishnupurpublic.ac.in,placement@bishnupurpublic.ac.in,+91-80-600-9449,Electronics & Communication Engineering (ECE),Diploma,60,600,1985,Urban,Yes,Yes
1-44639546368,1-44639546368,U-0339,BISHNUPUR PUBLIC INSTITUTE OF ENGINEERING (POLYTECHNIC),Active,West Bengal,Bankura,Bankura,"VILL : SIROMONIPUR, P.O. & P.S. BISHNUPUR",700644,22.981128,87.851513,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bishnupurpublic.ac.in,info@bishnupurpublic.ac.in,admissions@bishnupurpublic.ac.in,placement@bishnupurpublic.ac.in,+91-80-600-9449,Computer Science Engineering (CSE),Diploma,60,600,1985,Urban,Yes,Yes
1-44639512369,1-44639512369,U-0339,MALLABHUM INSTITUTE OF POLYTECHNIC,Active,West Bengal,Bankura,Bankura,"BRAJA RADHA NAGAR, P.O- GOSAIPUR. P.S -BISHNUPUR,DIST -BANKURA",700644,22.987129,87.870708,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,Yes,,Tier 3,http://www.mallabhum.ac.in,info@mallabhum.ac.in,admissions@mallabhum.ac.in,placement@mallabhum.ac.in,+91-80-852-6564,Mechanical Engineering,Diploma,120,360,1997,Urban,Yes,Yes
1-44639512369,1-44639512369,U-0339,MALLABHUM INSTITUTE OF POLYTECHNIC,Active,West Bengal,Bankura,Bankura,"BRAJA RADHA NAGAR, P.O- GOSAIPUR. P.S -BISHNUPUR,DIST -BANKURA",700644,22.987129,87.870708,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,Yes,,Tier 3,http://www.mallabhum.ac.in,info@mallabhum.ac.in,admissions@mallabhum.ac.in,placement@mallabhum.ac.in,+91-80-852-6564,Civil Engineering,Diploma,60,360,1997,Urban,Yes,Yes
