College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Computer Science Engineering (CSE),B.Tech,60,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Electronics & Communication Engineering (ECE),B.Tech,30,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Electrical Engineering,B.Tech,60,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Mechanical Engineering,B.Tech,60,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Information Technology (IT),B.Tech,30,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Civil Engineering,B.Tech,60,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Mechanical Engineering,M.Tech,18,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Civil Engineering,Diploma,60,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Mechanical Engineering,Diploma,60,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Electrical Engineering,Diploma,60,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Computer Science Engineering (CSE),M.Tech,18,636,2011,Urban,No,Yes
1-44639421385,1-44639421385,U-0164,SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Uttar Pradesh,Barabanki,Barabanki,"6TH KM STONE, FAIZABAD ROAD, BARABANKI.",201745,26.862702,80.927976,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sagarmanagement.ac.in,info@sagarmanagement.ac.in,admissions@sagarmanagement.ac.in,placement@sagarmanagement.ac.in,+91-80-510-0171,Computer Science Engineering (CSE),Diploma,60,636,2011,Urban,No,Yes
1-44638843558,1-44638843558,U-0449,GOVERNMENT POLYTECHNIC JAMUNIA DEEH HARAKH (BARABANKI),Active,Uttar Pradesh,Barabanki,Barabanki,GOVERNMENT POLYTECHNIC JAMUNIA DEEH HARAKH BARABANKI,201745,26.848596,80.940571,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.jamuniadeehharakh.ac.in,info@jamuniadeehharakh.ac.in,admissions@jamuniadeehharakh.ac.in,placement@jamuniadeehharakh.ac.in,+91-80-918-3835,Electrical Engineering,Diploma,60,180,1986,Rural,Yes,Yes
1-44638843558,1-44638843558,U-0449,GOVERNMENT POLYTECHNIC JAMUNIA DEEH HARAKH (BARABANKI),Active,Uttar Pradesh,Barabanki,Barabanki,GOVERNMENT POLYTECHNIC JAMUNIA DEEH HARAKH BARABANKI,201745,26.848596,80.940571,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.jamuniadeehharakh.ac.in,info@jamuniadeehharakh.ac.in,admissions@jamuniadeehharakh.ac.in,placement@jamuniadeehharakh.ac.in,+91-80-918-3835,Automobile Engineering,Diploma,60,180,1986,Rural,Yes,Yes
1-44638843558,1-44638843558,U-0449,GOVERNMENT POLYTECHNIC JAMUNIA DEEH HARAKH (BARABANKI),Active,Uttar Pradesh,Barabanki,Barabanki,GOVERNMENT POLYTECHNIC JAMUNIA DEEH HARAKH BARABANKI,201745,26.848596,80.940571,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.jamuniadeehharakh.ac.in,info@jamuniadeehharakh.ac.in,admissions@jamuniadeehharakh.ac.in,placement@jamuniadeehharakh.ac.in,+91-80-918-3835,Chemical Engineering,Diploma,60,180,1986,Rural,Yes,Yes
1-44640149102,1-44640149102,U-0449,GOVERNMENT POLYTECHNIC BARABANKI,Active,Uttar Pradesh,Barabanki,Barabanki,JAHANGIRABAD RD. SOMMIYANAGAR BARABANKI,201745,26.839621,80.94061,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.barabanki.ac.in,info@barabanki.ac.in,admissions@barabanki.ac.in,placement@barabanki.ac.in,+91-80-541-9356,Other Engineering Branches,Diploma,120,120,2013,Rural,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Civil Engineering,B.Tech,30,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Mechanical Engineering,B.Tech,30,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Computer Science Engineering (CSE),B.Tech,150,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Electrical Engineering,B.Tech,30,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Biotechnology,B.Tech,60,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Electrical Engineering,Diploma,60,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Mechanical Engineering,Diploma,60,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Agricultural Engineering,B.Tech,30,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Civil Engineering,Diploma,60,570,2004,Urban,Yes,Yes
1-44639435204,1-44639435204,U-0164,SETH VISHAMBHAR NATH INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"19TH KM MILE STONE DANIYAL PUR, SAFEDABAD. BARABANKI-225003",225003,26.834914,80.955405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sethvishambharnath.ac.in,info@sethvishambharnath.ac.in,admissions@sethvishambharnath.ac.in,placement@sethvishambharnath.ac.in,+91-80-344-5178,Computer Science Engineering (CSE),Diploma,60,570,2004,Urban,Yes,Yes
1-44640239352,1-44640239352,U-0449,EMERALD-9 INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"11TH KM STONE, LUCKNOW-DEVA ROAD",201745,26.85977,80.963931,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.emerald9management.ac.in,info@emerald9management.ac.in,admissions@emerald9management.ac.in,placement@emerald9management.ac.in,+91-80-387-0577,Mechanical Engineering,Diploma,120,540,2012,Rural,Yes,Yes
1-44640239352,1-44640239352,U-0449,EMERALD-9 INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"11TH KM STONE, LUCKNOW-DEVA ROAD",201745,26.85977,80.963931,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.emerald9management.ac.in,info@emerald9management.ac.in,admissions@emerald9management.ac.in,placement@emerald9management.ac.in,+91-80-387-0577,Electrical Engineering,Diploma,60,540,2012,Rural,Yes,Yes
1-44640239352,1-44640239352,U-0449,EMERALD-9 INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"11TH KM STONE, LUCKNOW-DEVA ROAD",201745,26.85977,80.963931,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.emerald9management.ac.in,info@emerald9management.ac.in,admissions@emerald9management.ac.in,placement@emerald9management.ac.in,+91-80-387-0577,Computer Science Engineering (CSE),Diploma,60,540,2012,Rural,Yes,Yes
1-44640239352,1-44640239352,U-0449,EMERALD-9 INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"11TH KM STONE, LUCKNOW-DEVA ROAD",201745,26.85977,80.963931,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.emerald9management.ac.in,info@emerald9management.ac.in,admissions@emerald9management.ac.in,placement@emerald9management.ac.in,+91-80-387-0577,Other Engineering Branches,Diploma,60,540,2012,Rural,Yes,Yes
1-44640239352,1-44640239352,U-0449,EMERALD-9 INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"11TH KM STONE, LUCKNOW-DEVA ROAD",201745,26.85977,80.963931,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.emerald9management.ac.in,info@emerald9management.ac.in,admissions@emerald9management.ac.in,placement@emerald9management.ac.in,+91-80-387-0577,Civil Engineering,Diploma,180,540,2012,Rural,Yes,Yes
1-44640239352,1-44640239352,U-0449,EMERALD-9 INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Active,Uttar Pradesh,Barabanki,Barabanki,"11TH KM STONE, LUCKNOW-DEVA ROAD",201745,26.85977,80.963931,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.emerald9management.ac.in,info@emerald9management.ac.in,admissions@emerald9management.ac.in,placement@emerald9management.ac.in,+91-80-387-0577,Automobile Engineering,Diploma,60,540,2012,Rural,Yes,Yes
1-44641060943,1-44641060943,U-0449,"GOVERNMENT POLYTECHNIC,KURSI ROAD,BARABANKI",Active,Uttar Pradesh,Barabanki,Barabanki,KURSI ROAD FATEHPUR BARABANKI,201745,26.850784,80.944051,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechnickursiroadbarabanki.ac.in,info@polytechnickursiroadbarabanki.ac.in,admissions@polytechnickursiroadbarabanki.ac.in,placement@polytechnickursiroadbarabanki.ac.in,+91-80-010-1618,Civil Engineering,Diploma,60,180,1995,Rural,Yes,No
1-44641060943,1-44641060943,U-0449,"GOVERNMENT POLYTECHNIC,KURSI ROAD,BARABANKI",Active,Uttar Pradesh,Barabanki,Barabanki,KURSI ROAD FATEHPUR BARABANKI,201745,26.850784,80.944051,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechnickursiroadbarabanki.ac.in,info@polytechnickursiroadbarabanki.ac.in,admissions@polytechnickursiroadbarabanki.ac.in,placement@polytechnickursiroadbarabanki.ac.in,+91-80-010-1618,Electrical Engineering,Diploma,60,180,1995,Rural,Yes,No
1-44641060943,1-44641060943,U-0449,"GOVERNMENT POLYTECHNIC,KURSI ROAD,BARABANKI",Active,Uttar Pradesh,Barabanki,Barabanki,KURSI ROAD FATEHPUR BARABANKI,201745,26.850784,80.944051,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechnickursiroadbarabanki.ac.in,info@polytechnickursiroadbarabanki.ac.in,admissions@polytechnickursiroadbarabanki.ac.in,placement@polytechnickursiroadbarabanki.ac.in,+91-80-010-1618,Mechanical Engineering,Diploma,60,180,1995,Rural,Yes,No
1-44641969492,1-44641969492,U-0164,JAHANGIRABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Barabanki,Barabanki,"JAHANGIRABAD FORT, JAHANGIRABAD,BARABANKI,UP-225203",225203,26.849888,80.937405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.jahangirabadeducational.ac.in,info@jahangirabadeducational.ac.in,admissions@jahangirabadeducational.ac.in,placement@jahangirabadeducational.ac.in,+91-80-972-5767,Civil Engineering,B.Tech,30,450,1989,Rural,Yes,Yes
1-44641969492,1-44641969492,U-0164,JAHANGIRABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Barabanki,Barabanki,"JAHANGIRABAD FORT, JAHANGIRABAD,BARABANKI,UP-225203",225203,26.849888,80.937405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.jahangirabadeducational.ac.in,info@jahangirabadeducational.ac.in,admissions@jahangirabadeducational.ac.in,placement@jahangirabadeducational.ac.in,+91-80-972-5767,Computer Science Engineering (CSE),B.Tech,60,450,1989,Rural,Yes,Yes
1-44641969492,1-44641969492,U-0164,JAHANGIRABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Barabanki,Barabanki,"JAHANGIRABAD FORT, JAHANGIRABAD,BARABANKI,UP-225203",225203,26.849888,80.937405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.jahangirabadeducational.ac.in,info@jahangirabadeducational.ac.in,admissions@jahangirabadeducational.ac.in,placement@jahangirabadeducational.ac.in,+91-80-972-5767,Electrical Engineering,B.Tech,30,450,1989,Rural,Yes,Yes
1-44641969492,1-44641969492,U-0164,JAHANGIRABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Barabanki,Barabanki,"JAHANGIRABAD FORT, JAHANGIRABAD,BARABANKI,UP-225203",225203,26.849888,80.937405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.jahangirabadeducational.ac.in,info@jahangirabadeducational.ac.in,admissions@jahangirabadeducational.ac.in,placement@jahangirabadeducational.ac.in,+91-80-972-5767,Mechanical Engineering,B.Tech,30,450,1989,Rural,Yes,Yes
1-44641969492,1-44641969492,U-0164,JAHANGIRABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Barabanki,Barabanki,"JAHANGIRABAD FORT, JAHANGIRABAD,BARABANKI,UP-225203",225203,26.849888,80.937405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.jahangirabadeducational.ac.in,info@jahangirabadeducational.ac.in,admissions@jahangirabadeducational.ac.in,placement@jahangirabadeducational.ac.in,+91-80-972-5767,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,450,1989,Rural,Yes,Yes
1-44641969492,1-44641969492,U-0164,JAHANGIRABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Barabanki,Barabanki,"JAHANGIRABAD FORT, JAHANGIRABAD,BARABANKI,UP-225203",225203,26.849888,80.937405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.jahangirabadeducational.ac.in,info@jahangirabadeducational.ac.in,admissions@jahangirabadeducational.ac.in,placement@jahangirabadeducational.ac.in,+91-80-972-5767,Mechanical Engineering,Diploma,60,450,1989,Rural,Yes,Yes
1-44641969492,1-44641969492,U-0164,JAHANGIRABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Barabanki,Barabanki,"JAHANGIRABAD FORT, JAHANGIRABAD,BARABANKI,UP-225203",225203,26.849888,80.937405,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.jahangirabadeducational.ac.in,info@jahangirabadeducational.ac.in,admissions@jahangirabadeducational.ac.in,placement@jahangirabadeducational.ac.in,+91-80-972-5767,Civil Engineering,Diploma,60,450,1989,Rural,Yes,Yes
