College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638562080,1-44638562080,U-0098,KAZI NAZRUL UNIVERSITY,Active,West Bengal,Bardhaman,Bardhaman,"NAZRUL ROAD, KALLA BYPASS MORE, P.O.KALLA C.H., P.S.ASANSOL, BURDWAN, WEST BENGAL 713340",713340,22.995538,87.841656,Government,kazi Nazrul University,Approved,Approved,B++,Yes,,Tier 3,http://www.kazinazrul.ac.in,info@kazinazrul.ac.in,admissions@kazinazrul.ac.in,placement@kazinazrul.ac.in,+91-80-205-3546,Other Engineering Branches,Diploma,30,150,1998,Rural,Yes,Yes
1-44638562080,1-44638562080,U-0098,KAZI NAZRUL UNIVERSITY,Active,West Bengal,Bardhaman,Bardhaman,"NAZRUL ROAD, KALLA BYPASS MORE, P.O.KALLA C.H., P.S.ASANSOL, BURDWAN, WEST BENGAL 713340",713340,22.995538,87.841656,Government,kazi Nazrul University,Approved,Approved,B++,Yes,,Tier 3,http://www.kazinazrul.ac.in,info@kazinazrul.ac.in,admissions@kazinazrul.ac.in,placement@kazinazrul.ac.in,+91-80-205-3546,Mining Engineering,Diploma,30,150,1998,Rural,Yes,Yes
1-44638562080,1-44638562080,U-0098,KAZI NAZRUL UNIVERSITY,Active,West Bengal,Bardhaman,Bardhaman,"NAZRUL ROAD, KALLA BYPASS MORE, P.O.KALLA C.H., P.S.ASANSOL, BURDWAN, WEST BENGAL 713340",713340,22.995538,87.841656,Government,kazi Nazrul University,Approved,Approved,B++,Yes,,Tier 3,http://www.kazinazrul.ac.in,info@kazinazrul.ac.in,admissions@kazinazrul.ac.in,placement@kazinazrul.ac.in,+91-80-205-3546,Other Engineering Branches,B.Tech,30,150,1998,Rural,Yes,Yes
1-44638562080,1-44638562080,U-0098,KAZI NAZRUL UNIVERSITY,Active,West Bengal,Bardhaman,Bardhaman,"NAZRUL ROAD, KALLA BYPASS MORE, P.O.KALLA C.H., P.S.ASANSOL, BURDWAN, WEST BENGAL 713340",713340,22.995538,87.841656,Government,kazi Nazrul University,Approved,Approved,B++,Yes,,Tier 3,http://www.kazinazrul.ac.in,info@kazinazrul.ac.in,admissions@kazinazrul.ac.in,placement@kazinazrul.ac.in,+91-80-205-3546,Mining Engineering,B.Tech,30,150,1998,Rural,Yes,Yes
1-44638562080,1-44638562080,U-0098,KAZI NAZRUL UNIVERSITY,Active,West Bengal,Bardhaman,Bardhaman,"NAZRUL ROAD, KALLA BYPASS MORE, P.O.KALLA C.H., P.S.ASANSOL, BURDWAN, WEST BENGAL 713340",713340,22.995538,87.841656,Government,kazi Nazrul University,Approved,Approved,B++,Yes,,Tier 3,http://www.kazinazrul.ac.in,info@kazinazrul.ac.in,admissions@kazinazrul.ac.in,placement@kazinazrul.ac.in,+91-80-205-3546,Data Science,B.Tech,30,150,1998,Rural,Yes,Yes
1-44638348514,1-44638348514,U-0365,SANAKA EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Active,West Bengal,Bardhaman,Bardhaman,"INSTITUTE OF ENGINEERING & INDUSTRIAL TECHNOLOGY P.O.-MALANDIGHI, DURGAPUR DIST.- BURDWAN WEST BENGAL",700635,22.972981,87.838713,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A,No,,Tier 3,http://www.sanakaeducationaltrusts.ac.in,info@sanakaeducationaltrusts.ac.in,admissions@sanakaeducationaltrusts.ac.in,placement@sanakaeducationaltrusts.ac.in,+91-80-259-2279,Civil Engineering,B.Tech,60,480,2010,Urban,Yes,Yes
1-44638348514,1-44638348514,U-0365,SANAKA EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Active,West Bengal,Bardhaman,Bardhaman,"INSTITUTE OF ENGINEERING & INDUSTRIAL TECHNOLOGY P.O.-MALANDIGHI, DURGAPUR DIST.- BURDWAN WEST BENGAL",700635,22.972981,87.838713,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A,No,,Tier 3,http://www.sanakaeducationaltrusts.ac.in,info@sanakaeducationaltrusts.ac.in,admissions@sanakaeducationaltrusts.ac.in,placement@sanakaeducationaltrusts.ac.in,+91-80-259-2279,Mechanical Engineering,B.Tech,60,480,2010,Urban,Yes,Yes
1-44638348514,1-44638348514,U-0365,SANAKA EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Active,West Bengal,Bardhaman,Bardhaman,"INSTITUTE OF ENGINEERING & INDUSTRIAL TECHNOLOGY P.O.-MALANDIGHI, DURGAPUR DIST.- BURDWAN WEST BENGAL",700635,22.972981,87.838713,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A,No,,Tier 3,http://www.sanakaeducationaltrusts.ac.in,info@sanakaeducationaltrusts.ac.in,admissions@sanakaeducationaltrusts.ac.in,placement@sanakaeducationaltrusts.ac.in,+91-80-259-2279,Electrical Engineering,B.Tech,60,480,2010,Urban,Yes,Yes
1-44638348514,1-44638348514,U-0365,SANAKA EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Active,West Bengal,Bardhaman,Bardhaman,"INSTITUTE OF ENGINEERING & INDUSTRIAL TECHNOLOGY P.O.-MALANDIGHI, DURGAPUR DIST.- BURDWAN WEST BENGAL",700635,22.972981,87.838713,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A,No,,Tier 3,http://www.sanakaeducationaltrusts.ac.in,info@sanakaeducationaltrusts.ac.in,admissions@sanakaeducationaltrusts.ac.in,placement@sanakaeducationaltrusts.ac.in,+91-80-259-2279,Electronics & Communication Engineering (ECE),B.Tech,30,480,2010,Urban,Yes,Yes
1-44638348514,1-44638348514,U-0365,SANAKA EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Active,West Bengal,Bardhaman,Bardhaman,"INSTITUTE OF ENGINEERING & INDUSTRIAL TECHNOLOGY P.O.-MALANDIGHI, DURGAPUR DIST.- BURDWAN WEST BENGAL",700635,22.972981,87.838713,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A,No,,Tier 3,http://www.sanakaeducationaltrusts.ac.in,info@sanakaeducationaltrusts.ac.in,admissions@sanakaeducationaltrusts.ac.in,placement@sanakaeducationaltrusts.ac.in,+91-80-259-2279,Electrical & Electronics Engineering (EEE),B.Tech,30,480,2010,Urban,Yes,Yes
