College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638192303,1-44638192303,U-0449,GOVERNMENT POLYTECHNIC ROORKEE BAHERI  BAREILLY,Active,Uttar Pradesh,Bareilly,Bareilly,GOVT.POLY.ROORKEE BAHERI BAREILLY,201922,28.352361,79.41373,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.roorkeebaheribareilly.ac.in,info@roorkeebaheribareilly.ac.in,admissions@roorkeebaheribareilly.ac.in,placement@roorkeebaheribareilly.ac.in,+91-80-224-8469,Computer Science Engineering (CSE),Diploma,60,180,2012,Rural,Yes,Yes
1-44638192303,1-44638192303,U-0449,GOVERNMENT POLYTECHNIC ROORKEE BAHERI  BAREILLY,Active,Uttar Pradesh,Bareilly,Bareilly,GOVT.POLY.ROORKEE BAHERI BAREILLY,201922,28.352361,79.41373,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.roorkeebaheribareilly.ac.in,info@roorkeebaheribareilly.ac.in,admissions@roorkeebaheribareilly.ac.in,placement@roorkeebaheribareilly.ac.in,+91-80-224-8469,Mechanical Engineering,Diploma,60,180,2012,Rural,Yes,Yes
1-44638192303,1-44638192303,U-0449,GOVERNMENT POLYTECHNIC ROORKEE BAHERI  BAREILLY,Active,Uttar Pradesh,Bareilly,Bareilly,GOVT.POLY.ROORKEE BAHERI BAREILLY,201922,28.352361,79.41373,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.roorkeebaheribareilly.ac.in,info@roorkeebaheribareilly.ac.in,admissions@roorkeebaheribareilly.ac.in,placement@roorkeebaheribareilly.ac.in,+91-80-224-8469,Other Engineering Branches,Diploma,60,180,2012,Rural,Yes,Yes
1-44638600217,1-44638600217,U-0164,KCMT CAMPUS 2 PREM PRAKASH GUPTA INSTITUTE OF ENGINEERING,Active,Uttar Pradesh,Bareilly,Bareilly,"16.1 KM.STONE, BAREILLY LUCKNOW ROAD",201922,28.358847,79.444752,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kcmtcampus2.ac.in,info@kcmtcampus2.ac.in,admissions@kcmtcampus2.ac.in,placement@kcmtcampus2.ac.in,+91-80-496-9179,Computer Science Engineering (CSE),B.Tech,60,240,1989,Urban,Yes,Yes
1-44638600217,1-44638600217,U-0164,KCMT CAMPUS 2 PREM PRAKASH GUPTA INSTITUTE OF ENGINEERING,Active,Uttar Pradesh,Bareilly,Bareilly,"16.1 KM.STONE, BAREILLY LUCKNOW ROAD",201922,28.358847,79.444752,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kcmtcampus2.ac.in,info@kcmtcampus2.ac.in,admissions@kcmtcampus2.ac.in,placement@kcmtcampus2.ac.in,+91-80-496-9179,Mechanical Engineering,B.Tech,60,240,1989,Urban,Yes,Yes
1-44638600217,1-44638600217,U-0164,KCMT CAMPUS 2 PREM PRAKASH GUPTA INSTITUTE OF ENGINEERING,Active,Uttar Pradesh,Bareilly,Bareilly,"16.1 KM.STONE, BAREILLY LUCKNOW ROAD",201922,28.358847,79.444752,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kcmtcampus2.ac.in,info@kcmtcampus2.ac.in,admissions@kcmtcampus2.ac.in,placement@kcmtcampus2.ac.in,+91-80-496-9179,Civil Engineering,Diploma,60,240,1989,Urban,Yes,Yes
1-44638600217,1-44638600217,U-0164,KCMT CAMPUS 2 PREM PRAKASH GUPTA INSTITUTE OF ENGINEERING,Active,Uttar Pradesh,Bareilly,Bareilly,"16.1 KM.STONE, BAREILLY LUCKNOW ROAD",201922,28.358847,79.444752,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kcmtcampus2.ac.in,info@kcmtcampus2.ac.in,admissions@kcmtcampus2.ac.in,placement@kcmtcampus2.ac.in,+91-80-496-9179,Mechanical Engineering,Diploma,60,240,1989,Urban,Yes,Yes
1-44639759946,1-44639759946,U-0449,GOVERNMENT POLYTECHNIC BAREILLY,Active,Uttar Pradesh,Bareilly,Bareilly,C. B. GANJ,201922,28.35363,79.416849,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.bareilly.ac.in,info@bareilly.ac.in,admissions@bareilly.ac.in,placement@bareilly.ac.in,+91-80-278-0969,Civil Engineering,Diploma,60,240,2013,Urban,Yes,Yes
1-44639759946,1-44639759946,U-0449,GOVERNMENT POLYTECHNIC BAREILLY,Active,Uttar Pradesh,Bareilly,Bareilly,C. B. GANJ,201922,28.35363,79.416849,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.bareilly.ac.in,info@bareilly.ac.in,admissions@bareilly.ac.in,placement@bareilly.ac.in,+91-80-278-0969,Electrical Engineering,Diploma,60,240,2013,Urban,Yes,Yes
1-44639759946,1-44639759946,U-0449,GOVERNMENT POLYTECHNIC BAREILLY,Active,Uttar Pradesh,Bareilly,Bareilly,C. B. GANJ,201922,28.35363,79.416849,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.bareilly.ac.in,info@bareilly.ac.in,admissions@bareilly.ac.in,placement@bareilly.ac.in,+91-80-278-0969,Automobile Engineering,Diploma,60,240,2013,Urban,Yes,Yes
