College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638667982,1-44638667982,U-0329,"GOVT. CO. ED. POLYTECHNIC, KONDAGAON",Active,Chhattisgarh,Bastar,Bastar,GOVERNMENT CO-ED POLYTECHNIC KONDAGAON VILLAGE CHIKHALPUTI BEHIND NEW CIRCUIT HOUSE KONDAGAON CHHATTISGARH 494226,494226,21.290126,81.847159,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B++,Yes,,Tier 3,http://www.govtcoed.ac.in,info@govtcoed.ac.in,admissions@govtcoed.ac.in,placement@govtcoed.ac.in,+91-80-318-0934,Mechanical Engineering,Diploma,60,180,2016,Rural,Yes,Yes
1-44638667982,1-44638667982,U-0329,"GOVT. CO. ED. POLYTECHNIC, KONDAGAON",Active,Chhattisgarh,Bastar,Bastar,GOVERNMENT CO-ED POLYTECHNIC KONDAGAON VILLAGE CHIKHALPUTI BEHIND NEW CIRCUIT HOUSE KONDAGAON CHHATTISGARH 494226,494226,21.290126,81.847159,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B++,Yes,,Tier 3,http://www.govtcoed.ac.in,info@govtcoed.ac.in,admissions@govtcoed.ac.in,placement@govtcoed.ac.in,+91-80-318-0934,Electrical Engineering,Diploma,60,180,2016,Rural,Yes,Yes
1-44638667982,1-44638667982,U-0329,"GOVT. CO. ED. POLYTECHNIC, KONDAGAON",Active,Chhattisgarh,Bastar,Bastar,GOVERNMENT CO-ED POLYTECHNIC KONDAGAON VILLAGE CHIKHALPUTI BEHIND NEW CIRCUIT HOUSE KONDAGAON CHHATTISGARH 494226,494226,21.290126,81.847159,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B++,Yes,,Tier 3,http://www.govtcoed.ac.in,info@govtcoed.ac.in,admissions@govtcoed.ac.in,placement@govtcoed.ac.in,+91-80-318-0934,Civil Engineering,Diploma,60,180,2016,Rural,Yes,Yes
1-44639404694,1-44639404694,U-0329,GOVT. POLYTECHNIC BIJAPUR(C.G.),Active,Chhattisgarh,Bastar,Bastar,"GOVERNMENT POLYTECHNIC , TUMNAR ROAD MANJHIPARA, BIJAPUR,  DIST. BIJAPUR , CHHATTISGARH  P.NO  494444",494444,21.273568,81.858866,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A,No,,Tier 2,http://www.govtbijapurcg.ac.in,info@govtbijapurcg.ac.in,admissions@govtbijapurcg.ac.in,placement@govtbijapurcg.ac.in,+91-80-623-5985,Civil Engineering,Diploma,30,75,1997,Urban,Yes,Yes
1-44639404694,1-44639404694,U-0329,GOVT. POLYTECHNIC BIJAPUR(C.G.),Active,Chhattisgarh,Bastar,Bastar,"GOVERNMENT POLYTECHNIC , TUMNAR ROAD MANJHIPARA, BIJAPUR,  DIST. BIJAPUR , CHHATTISGARH  P.NO  494444",494444,21.273568,81.858866,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A,No,,Tier 2,http://www.govtbijapurcg.ac.in,info@govtbijapurcg.ac.in,admissions@govtbijapurcg.ac.in,placement@govtbijapurcg.ac.in,+91-80-623-5985,Mechanical Engineering,Diploma,15,75,1997,Urban,Yes,Yes
1-44639404694,1-44639404694,U-0329,GOVT. POLYTECHNIC BIJAPUR(C.G.),Active,Chhattisgarh,Bastar,Bastar,"GOVERNMENT POLYTECHNIC , TUMNAR ROAD MANJHIPARA, BIJAPUR,  DIST. BIJAPUR , CHHATTISGARH  P.NO  494444",494444,21.273568,81.858866,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A,No,,Tier 2,http://www.govtbijapurcg.ac.in,info@govtbijapurcg.ac.in,admissions@govtbijapurcg.ac.in,placement@govtbijapurcg.ac.in,+91-80-623-5985,Electrical Engineering,Diploma,30,75,1997,Urban,Yes,Yes
1-44640009717,1-44640009717,U-0329,DHARMU MAHRA GOVERMENT GIRLS POLYTECHNIC JAGDALPUR,Active,Chhattisgarh,Bastar,Bastar,KALIPUR ROAD DHARAMPURA-2 JAGDALPUR,492305,21.281156,81.873444,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B,No,,Tier 3,http://www.dharmumahragoverment.ac.in,info@dharmumahragoverment.ac.in,admissions@dharmumahragoverment.ac.in,placement@dharmumahragoverment.ac.in,+91-80-941-8927,Information Technology (IT),Diploma,30,105,2000,Rural,Yes,Yes
1-44640009717,1-44640009717,U-0329,DHARMU MAHRA GOVERMENT GIRLS POLYTECHNIC JAGDALPUR,Active,Chhattisgarh,Bastar,Bastar,KALIPUR ROAD DHARAMPURA-2 JAGDALPUR,492305,21.281156,81.873444,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B,No,,Tier 3,http://www.dharmumahragoverment.ac.in,info@dharmumahragoverment.ac.in,admissions@dharmumahragoverment.ac.in,placement@dharmumahragoverment.ac.in,+91-80-941-8927,Electronics & Communication Engineering (ECE),Diploma,45,105,2000,Rural,Yes,Yes
1-44640009717,1-44640009717,U-0329,DHARMU MAHRA GOVERMENT GIRLS POLYTECHNIC JAGDALPUR,Active,Chhattisgarh,Bastar,Bastar,KALIPUR ROAD DHARAMPURA-2 JAGDALPUR,492305,21.281156,81.873444,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B,No,,Tier 3,http://www.dharmumahragoverment.ac.in,info@dharmumahragoverment.ac.in,admissions@dharmumahragoverment.ac.in,placement@dharmumahragoverment.ac.in,+91-80-941-8927,Other Engineering Branches,Diploma,30,105,2000,Rural,Yes,Yes
1-44640523382,1-44640523382,U-0329,GOVERNMENT POLYTECHNIC SUKMA,Active,Chhattisgarh,Bastar,Bastar,"GOVT. POLYTECHNIC SUKMA, KUMHARRAS, DIST - SUKMA  (C.G.) PIN - 494111",494111,21.298426,81.853181,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A,No,,Tier 2,http://www.sukma.ac.in,info@sukma.ac.in,admissions@sukma.ac.in,placement@sukma.ac.in,+91-80-666-2061,Electrical Engineering,Diploma,60,120,2005,Urban,Yes,Yes
