College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639707241,1-44639707241,U-0449,GOVT. POLYTECHNIC BASTI,Active,Uttar Pradesh,Basti,Basti,BANSI ROAD HATHIAGARH BASTI,201441,26.827152,80.951285,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbasti.ac.in,info@govtbasti.ac.in,admissions@govtbasti.ac.in,placement@govtbasti.ac.in,+91-80-018-9856,Civil Engineering,Diploma,60,180,1983,Rural,No,Yes
1-44639707241,1-44639707241,U-0449,GOVT. POLYTECHNIC BASTI,Active,Uttar Pradesh,Basti,Basti,BANSI ROAD HATHIAGARH BASTI,201441,26.827152,80.951285,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbasti.ac.in,info@govtbasti.ac.in,admissions@govtbasti.ac.in,placement@govtbasti.ac.in,+91-80-018-9856,Electrical Engineering,Diploma,60,180,1983,Rural,No,Yes
1-44639707241,1-44639707241,U-0449,GOVT. POLYTECHNIC BASTI,Active,Uttar Pradesh,Basti,Basti,BANSI ROAD HATHIAGARH BASTI,201441,26.827152,80.951285,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbasti.ac.in,info@govtbasti.ac.in,admissions@govtbasti.ac.in,placement@govtbasti.ac.in,+91-80-018-9856,Mechanical Engineering,Diploma,60,180,1983,Rural,No,Yes
1-44640313650,1-44640313650,U-0449,GOVT. POLYTECHNIC CHHABILHAKHOR SADAR BASTI,Active,Uttar Pradesh,Basti,Basti,GOVT. POLYTECHNIC CHHABILHAKHOR BASTI,201441,26.83417,80.939652,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.govtchhabilhakhorsadar.ac.in,info@govtchhabilhakhorsadar.ac.in,admissions@govtchhabilhakhorsadar.ac.in,placement@govtchhabilhakhorsadar.ac.in,+91-80-313-3270,Electrical & Electronics Engineering (EEE),Diploma,60,180,2013,Urban,Yes,Yes
1-44640313650,1-44640313650,U-0449,GOVT. POLYTECHNIC CHHABILHAKHOR SADAR BASTI,Active,Uttar Pradesh,Basti,Basti,GOVT. POLYTECHNIC CHHABILHAKHOR BASTI,201441,26.83417,80.939652,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.govtchhabilhakhorsadar.ac.in,info@govtchhabilhakhorsadar.ac.in,admissions@govtchhabilhakhorsadar.ac.in,placement@govtchhabilhakhorsadar.ac.in,+91-80-313-3270,Mechanical Engineering,Diploma,60,180,2013,Urban,Yes,Yes
1-44640313650,1-44640313650,U-0449,GOVT. POLYTECHNIC CHHABILHAKHOR SADAR BASTI,Active,Uttar Pradesh,Basti,Basti,GOVT. POLYTECHNIC CHHABILHAKHOR BASTI,201441,26.83417,80.939652,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.govtchhabilhakhorsadar.ac.in,info@govtchhabilhakhorsadar.ac.in,admissions@govtchhabilhakhorsadar.ac.in,placement@govtchhabilhakhorsadar.ac.in,+91-80-313-3270,Other Engineering Branches,Diploma,60,180,2013,Urban,Yes,Yes
1-44644942791,1-44644942791,U-0164,RAJKIYA ENGINEERING COLLEGE BASTI,Active,Uttar Pradesh,Basti,Basti,"BANSI ROAD, BASTI",201441,26.863363,80.950003,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rajkiyabasti.ac.in,info@rajkiyabasti.ac.in,admissions@rajkiyabasti.ac.in,placement@rajkiyabasti.ac.in,+91-80-537-7560,Civil Engineering,B.Tech,60,240,1993,Rural,Yes,No
1-44644942791,1-44644942791,U-0164,RAJKIYA ENGINEERING COLLEGE BASTI,Active,Uttar Pradesh,Basti,Basti,"BANSI ROAD, BASTI",201441,26.863363,80.950003,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rajkiyabasti.ac.in,info@rajkiyabasti.ac.in,admissions@rajkiyabasti.ac.in,placement@rajkiyabasti.ac.in,+91-80-537-7560,Computer Science Engineering (CSE),B.Tech,60,240,1993,Rural,Yes,No
1-44644942791,1-44644942791,U-0164,RAJKIYA ENGINEERING COLLEGE BASTI,Active,Uttar Pradesh,Basti,Basti,"BANSI ROAD, BASTI",201441,26.863363,80.950003,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rajkiyabasti.ac.in,info@rajkiyabasti.ac.in,admissions@rajkiyabasti.ac.in,placement@rajkiyabasti.ac.in,+91-80-537-7560,Electrical Engineering,B.Tech,60,240,1993,Rural,Yes,No
1-44644942791,1-44644942791,U-0164,RAJKIYA ENGINEERING COLLEGE BASTI,Active,Uttar Pradesh,Basti,Basti,"BANSI ROAD, BASTI",201441,26.863363,80.950003,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rajkiyabasti.ac.in,info@rajkiyabasti.ac.in,admissions@rajkiyabasti.ac.in,placement@rajkiyabasti.ac.in,+91-80-537-7560,Other Engineering Branches,B.Tech,60,240,1993,Rural,Yes,No
