College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638460261,1-44638460261,U-0553,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, BEGUSARAI",Active,Bihar,Begusarai,Begusarai,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, POST-ULAO, SINGHAUL, BEGUSARAI, BIHAR, PIN - 851134",851134,25.094267,85.295301,Government,"Bihar Engineering University,Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.rashtrakaviramdharisingh.ac.in,info@rashtrakaviramdharisingh.ac.in,admissions@rashtrakaviramdharisingh.ac.in,placement@rashtrakaviramdharisingh.ac.in,+91-80-761-9598,Civil Engineering,B.Tech,60,360,1991,Rural,Yes,Yes
1-44638460261,1-44638460261,U-0553,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, BEGUSARAI",Active,Bihar,Begusarai,Begusarai,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, POST-ULAO, SINGHAUL, BEGUSARAI, BIHAR, PIN - 851134",851134,25.094267,85.295301,Government,"Bihar Engineering University,Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.rashtrakaviramdharisingh.ac.in,info@rashtrakaviramdharisingh.ac.in,admissions@rashtrakaviramdharisingh.ac.in,placement@rashtrakaviramdharisingh.ac.in,+91-80-761-9598,Computer Science Engineering (CSE),B.Tech,60,360,1991,Rural,Yes,Yes
1-44638460261,1-44638460261,U-0553,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, BEGUSARAI",Active,Bihar,Begusarai,Begusarai,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, POST-ULAO, SINGHAUL, BEGUSARAI, BIHAR, PIN - 851134",851134,25.094267,85.295301,Government,"Bihar Engineering University,Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.rashtrakaviramdharisingh.ac.in,info@rashtrakaviramdharisingh.ac.in,admissions@rashtrakaviramdharisingh.ac.in,placement@rashtrakaviramdharisingh.ac.in,+91-80-761-9598,Electrical & Electronics Engineering (EEE),B.Tech,60,360,1991,Rural,Yes,Yes
1-44638460261,1-44638460261,U-0553,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, BEGUSARAI",Active,Bihar,Begusarai,Begusarai,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, POST-ULAO, SINGHAUL, BEGUSARAI, BIHAR, PIN - 851134",851134,25.094267,85.295301,Government,"Bihar Engineering University,Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.rashtrakaviramdharisingh.ac.in,info@rashtrakaviramdharisingh.ac.in,admissions@rashtrakaviramdharisingh.ac.in,placement@rashtrakaviramdharisingh.ac.in,+91-80-761-9598,Mechanical Engineering,B.Tech,60,360,1991,Rural,Yes,Yes
1-44638460261,1-44638460261,U-0553,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, BEGUSARAI",Active,Bihar,Begusarai,Begusarai,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, POST-ULAO, SINGHAUL, BEGUSARAI, BIHAR, PIN - 851134",851134,25.094267,85.295301,Government,"Bihar Engineering University,Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.rashtrakaviramdharisingh.ac.in,info@rashtrakaviramdharisingh.ac.in,admissions@rashtrakaviramdharisingh.ac.in,placement@rashtrakaviramdharisingh.ac.in,+91-80-761-9598,Chemical Engineering,B.Tech,60,360,1991,Rural,Yes,Yes
1-44638460261,1-44638460261,U-0553,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, BEGUSARAI",Active,Bihar,Begusarai,Begusarai,"RASHTRAKAVI RAMDHARI SINGH DINKAR COLLEGE OF ENGINEERING, POST-ULAO, SINGHAUL, BEGUSARAI, BIHAR, PIN - 851134",851134,25.094267,85.295301,Government,"Bihar Engineering University,Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.rashtrakaviramdharisingh.ac.in,info@rashtrakaviramdharisingh.ac.in,admissions@rashtrakaviramdharisingh.ac.in,placement@rashtrakaviramdharisingh.ac.in,+91-80-761-9598,Data Science,B.Tech,60,360,1991,Rural,Yes,Yes
1-44640362720,1-44640362720,U-0698,"GOVERNMENT POLYTECHNIC, BARAUNI, BEGUSARAI,BIHAR",Active,Bihar,Begusarai,Begusarai,"PO- ULAO DIST- BEGUSARAI,BIHAR",800869,25.103069,85.315981,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.baraunibegusaraibihar.ac.in,info@baraunibegusaraibihar.ac.in,admissions@baraunibegusaraibihar.ac.in,placement@baraunibegusaraibihar.ac.in,+91-80-131-1506,Civil Engineering,Diploma,120,360,1989,Urban,No,No
1-44640362720,1-44640362720,U-0698,"GOVERNMENT POLYTECHNIC, BARAUNI, BEGUSARAI,BIHAR",Active,Bihar,Begusarai,Begusarai,"PO- ULAO DIST- BEGUSARAI,BIHAR",800869,25.103069,85.315981,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.baraunibegusaraibihar.ac.in,info@baraunibegusaraibihar.ac.in,admissions@baraunibegusaraibihar.ac.in,placement@baraunibegusaraibihar.ac.in,+91-80-131-1506,Computer Science Engineering (CSE),Diploma,60,360,1989,Urban,No,No
1-44640362720,1-44640362720,U-0698,"GOVERNMENT POLYTECHNIC, BARAUNI, BEGUSARAI,BIHAR",Active,Bihar,Begusarai,Begusarai,"PO- ULAO DIST- BEGUSARAI,BIHAR",800869,25.103069,85.315981,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.baraunibegusaraibihar.ac.in,info@baraunibegusaraibihar.ac.in,admissions@baraunibegusaraibihar.ac.in,placement@baraunibegusaraibihar.ac.in,+91-80-131-1506,Other Engineering Branches,Diploma,120,360,1989,Urban,No,No
1-44640362720,1-44640362720,U-0698,"GOVERNMENT POLYTECHNIC, BARAUNI, BEGUSARAI,BIHAR",Active,Bihar,Begusarai,Begusarai,"PO- ULAO DIST- BEGUSARAI,BIHAR",800869,25.103069,85.315981,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.baraunibegusaraibihar.ac.in,info@baraunibegusaraibihar.ac.in,admissions@baraunibegusaraibihar.ac.in,placement@baraunibegusaraibihar.ac.in,+91-80-131-1506,Chemical Engineering,Diploma,60,360,1989,Urban,No,No
