College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638367881,1-44638367881,U-0294,GOVERNMENT POLYTECHNIC SADALGA,Active,Karnataka,Belgaum,Belgaum,"GOVERNMENT POLYTECHNIC SADALGA SURVEY NO 998,VADAGOL CROSS NAGARAL ROAD-591239",591239,15.301584,75.709195,Government,Directorate of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.sadalga.ac.in,info@sadalga.ac.in,admissions@sadalga.ac.in,placement@sadalga.ac.in,+91-80-179-6961,Civil Engineering,Diploma,60,120,1988,Rural,Yes,Yes
1-44638367881,1-44638367881,U-0294,GOVERNMENT POLYTECHNIC SADALGA,Active,Karnataka,Belgaum,Belgaum,"GOVERNMENT POLYTECHNIC SADALGA SURVEY NO 998,VADAGOL CROSS NAGARAL ROAD-591239",591239,15.301584,75.709195,Government,Directorate of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.sadalga.ac.in,info@sadalga.ac.in,admissions@sadalga.ac.in,placement@sadalga.ac.in,+91-80-179-6961,Computer Science Engineering (CSE),Diploma,60,120,1988,Rural,Yes,Yes
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Mechanical Engineering,B.Tech,30,480,2014,Urban,Yes,No
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Electronics & Communication Engineering (ECE),B.Tech,60,480,2014,Urban,Yes,No
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Computer Science Engineering (CSE),B.Tech,120,480,2014,Urban,Yes,No
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Mechanical Engineering,Diploma,60,480,2014,Urban,Yes,No
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Electronics & Communication Engineering (ECE),Diploma,60,480,2014,Urban,Yes,No
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Civil Engineering,B.Tech,30,480,2014,Urban,Yes,No
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Civil Engineering,Diploma,30,480,2014,Urban,Yes,No
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,480,2014,Urban,Yes,No
1-44638385327,1-44638385327,U-0375,VSM'S SOMASHEKHAR R. KOTHIWALE INSTITUTE OF TECHNOLOGY NIPANI,Active,Karnataka,Belgaum,Belgaum,"BASAV-VIDYA NAGAR,",560415,15.330395,75.696183,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.vsmssomashekharr.ac.in,info@vsmssomashekharr.ac.in,admissions@vsmssomashekharr.ac.in,placement@vsmssomashekharr.ac.in,+91-80-388-0846,Computer Science Engineering (CSE),Diploma,30,480,2014,Urban,Yes,No
1-44638333091,1-44638333091,U-0375,JAIN COLLEGE OF ENGINEERING AND RESEARCH,Active,Karnataka,Belgaum,Belgaum,"""SHREYAS"" CTS 1598 ADAJCENT TO TO FOUNDRY CLUSTER NEAR DUTCH INDUSTRIAL ESTATE CHANNAMMA NAGAR ANAGOL BELGAVI",560415,15.297661,75.718038,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.jainresearch.ac.in,info@jainresearch.ac.in,admissions@jainresearch.ac.in,placement@jainresearch.ac.in,+91-80-015-1450,Civil Engineering,B.Tech,30,360,2016,Urban,Yes,Yes
1-44638333091,1-44638333091,U-0375,JAIN COLLEGE OF ENGINEERING AND RESEARCH,Active,Karnataka,Belgaum,Belgaum,"""SHREYAS"" CTS 1598 ADAJCENT TO TO FOUNDRY CLUSTER NEAR DUTCH INDUSTRIAL ESTATE CHANNAMMA NAGAR ANAGOL BELGAVI",560415,15.297661,75.718038,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.jainresearch.ac.in,info@jainresearch.ac.in,admissions@jainresearch.ac.in,placement@jainresearch.ac.in,+91-80-015-1450,Computer Science Engineering (CSE),B.Tech,120,360,2016,Urban,Yes,Yes
1-44638333091,1-44638333091,U-0375,JAIN COLLEGE OF ENGINEERING AND RESEARCH,Active,Karnataka,Belgaum,Belgaum,"""SHREYAS"" CTS 1598 ADAJCENT TO TO FOUNDRY CLUSTER NEAR DUTCH INDUSTRIAL ESTATE CHANNAMMA NAGAR ANAGOL BELGAVI",560415,15.297661,75.718038,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.jainresearch.ac.in,info@jainresearch.ac.in,admissions@jainresearch.ac.in,placement@jainresearch.ac.in,+91-80-015-1450,Electronics & Communication Engineering (ECE),B.Tech,90,360,2016,Urban,Yes,Yes
1-44638333091,1-44638333091,U-0375,JAIN COLLEGE OF ENGINEERING AND RESEARCH,Active,Karnataka,Belgaum,Belgaum,"""SHREYAS"" CTS 1598 ADAJCENT TO TO FOUNDRY CLUSTER NEAR DUTCH INDUSTRIAL ESTATE CHANNAMMA NAGAR ANAGOL BELGAVI",560415,15.297661,75.718038,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.jainresearch.ac.in,info@jainresearch.ac.in,admissions@jainresearch.ac.in,placement@jainresearch.ac.in,+91-80-015-1450,Mechanical Engineering,B.Tech,60,360,2016,Urban,Yes,Yes
1-44638333091,1-44638333091,U-0375,JAIN COLLEGE OF ENGINEERING AND RESEARCH,Active,Karnataka,Belgaum,Belgaum,"""SHREYAS"" CTS 1598 ADAJCENT TO TO FOUNDRY CLUSTER NEAR DUTCH INDUSTRIAL ESTATE CHANNAMMA NAGAR ANAGOL BELGAVI",560415,15.297661,75.718038,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.jainresearch.ac.in,info@jainresearch.ac.in,admissions@jainresearch.ac.in,placement@jainresearch.ac.in,+91-80-015-1450,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,360,2016,Urban,Yes,Yes
1-44638474754,1-44638474754,U-0375,VISVESVARAYA TECHNOLOGICAL UNIVERSITY DEPARTMENT OF PG STUDIES,Active,Karnataka,Belgaum,Belgaum,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, JNANA SANGAMA, MACHHE, BELAGAVI",560415,15.308797,75.702282,Government,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 2,http://www.visvesvarayatechnologicaldepartment.ac.in,info@visvesvarayatechnologicaldepartment.ac.in,admissions@visvesvarayatechnologicaldepartment.ac.in,placement@visvesvarayatechnologicaldepartment.ac.in,+91-80-482-2069,Computer Science Engineering (CSE),M.Tech,24,702,1996,Rural,Yes,Yes
1-44638474754,1-44638474754,U-0375,VISVESVARAYA TECHNOLOGICAL UNIVERSITY DEPARTMENT OF PG STUDIES,Active,Karnataka,Belgaum,Belgaum,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, JNANA SANGAMA, MACHHE, BELAGAVI",560415,15.308797,75.702282,Government,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 2,http://www.visvesvarayatechnologicaldepartment.ac.in,info@visvesvarayatechnologicaldepartment.ac.in,admissions@visvesvarayatechnologicaldepartment.ac.in,placement@visvesvarayatechnologicaldepartment.ac.in,+91-80-482-2069,Other Engineering Branches,M.Tech,138,702,1996,Rural,Yes,Yes
1-44638474754,1-44638474754,U-0375,VISVESVARAYA TECHNOLOGICAL UNIVERSITY DEPARTMENT OF PG STUDIES,Active,Karnataka,Belgaum,Belgaum,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, JNANA SANGAMA, MACHHE, BELAGAVI",560415,15.308797,75.702282,Government,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 2,http://www.visvesvarayatechnologicaldepartment.ac.in,info@visvesvarayatechnologicaldepartment.ac.in,admissions@visvesvarayatechnologicaldepartment.ac.in,placement@visvesvarayatechnologicaldepartment.ac.in,+91-80-482-2069,Computer Science Engineering (CSE),B.Tech,300,702,1996,Rural,Yes,Yes
