College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44637335582,1-44637335582,U-0339,GOVERNMENT TOOL ROOM AND TRAININIG CENTRE DEVANAHALLI,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,"SURVEY NO 183, CHANNARAYAPATANA VILLAGE",560179,15.307033,75.703458,Government,NONE,Approved,Approved,A,No,,Tier 2,http://www.toolroomtraininig.ac.in,info@toolroomtraininig.ac.in,admissions@toolroomtraininig.ac.in,placement@toolroomtraininig.ac.in,+91-80-408-2493,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,240,1987,Rural,Yes,No
1-44637335582,1-44637335582,U-0339,GOVERNMENT TOOL ROOM AND TRAININIG CENTRE DEVANAHALLI,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,"SURVEY NO 183, CHANNARAYAPATANA VILLAGE",560179,15.307033,75.703458,Government,NONE,Approved,Approved,A,No,,Tier 2,http://www.toolroomtraininig.ac.in,info@toolroomtraininig.ac.in,admissions@toolroomtraininig.ac.in,placement@toolroomtraininig.ac.in,+91-80-408-2493,Other Engineering Branches,Diploma,60,240,1987,Rural,Yes,No
1-44637335582,1-44637335582,U-0339,GOVERNMENT TOOL ROOM AND TRAININIG CENTRE DEVANAHALLI,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,"SURVEY NO 183, CHANNARAYAPATANA VILLAGE",560179,15.307033,75.703458,Government,NONE,Approved,Approved,A,No,,Tier 2,http://www.toolroomtraininig.ac.in,info@toolroomtraininig.ac.in,admissions@toolroomtraininig.ac.in,placement@toolroomtraininig.ac.in,+91-80-408-2493,Electrical & Electronics Engineering (EEE),Diploma,60,240,1987,Rural,Yes,No
1-44637335582,1-44637335582,U-0339,GOVERNMENT TOOL ROOM AND TRAININIG CENTRE DEVANAHALLI,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,"SURVEY NO 183, CHANNARAYAPATANA VILLAGE",560179,15.307033,75.703458,Government,NONE,Approved,Approved,A,No,,Tier 2,http://www.toolroomtraininig.ac.in,info@toolroomtraininig.ac.in,admissions@toolroomtraininig.ac.in,placement@toolroomtraininig.ac.in,+91-80-408-2493,Mechanical Engineering,Diploma,60,240,1987,Rural,Yes,No
1-44638791087,1-44638791087,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM OFF CAMPUS BENGALURU,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,NAGADENEHALLI,560179,15.318851,75.707031,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-903-9188,Computer Science Engineering (CSE),B.Tech,450,1242,1993,Urban,Yes,Yes
1-44638791087,1-44638791087,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM OFF CAMPUS BENGALURU,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,NAGADENEHALLI,560179,15.318851,75.707031,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-903-9188,Electronics & Communication Engineering (ECE),B.Tech,120,1242,1993,Urban,Yes,Yes
1-44638791087,1-44638791087,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM OFF CAMPUS BENGALURU,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,NAGADENEHALLI,560179,15.318851,75.707031,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-903-9188,Mechanical Engineering,B.Tech,30,1242,1993,Urban,Yes,Yes
1-44638791087,1-44638791087,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM OFF CAMPUS BENGALURU,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,NAGADENEHALLI,560179,15.318851,75.707031,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-903-9188,Data Science,M.Tech,6,1242,1993,Urban,Yes,Yes
1-44638791087,1-44638791087,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM OFF CAMPUS BENGALURU,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,NAGADENEHALLI,560179,15.318851,75.707031,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-903-9188,Other Engineering Branches,M.Tech,6,1242,1993,Urban,Yes,Yes
1-44638791087,1-44638791087,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM OFF CAMPUS BENGALURU,Active,Karnataka,Bengaluru Rural,Bengaluru Rural,NAGADENEHALLI,560179,15.318851,75.707031,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-903-9188,Cyber Security,B.Tech,60,1242,1993,Urban,Yes,Yes
