College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Automobile Engineering,B.Tech,30,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Civil Engineering,B.Tech,30,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Mechanical Engineering,B.Tech,60,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Computer Science Engineering (CSE),B.Tech,240,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Cyber Security,B.Tech,30,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Electronics & Communication Engineering (ECE),B.Tech,60,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Electrical & Electronics Engineering (EEE),B.Tech,30,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Computer Science Engineering (CSE),M.Tech,18,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Data Science,M.Tech,18,948,2009,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Other Engineering Branches,M.Tech,90,948,2009,Urban,Yes,Yes
