College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638422248,1-44638422248,U-0949,"GOVERNMENT POLYTECHNIC,BHADRAK",Active,Odisha,Bhadrak,Bhadrak,"AT-TENTALIGADIA(SARMANGA),PO-RANDHIA,BHADRAK",751035,20.935256,85.101696,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicbhadrak.ac.in,info@polytechnicbhadrak.ac.in,admissions@polytechnicbhadrak.ac.in,placement@polytechnicbhadrak.ac.in,+91-80-149-1604,Electrical Engineering,Diploma,60,210,2000,Rural,No,Yes
1-44638422248,1-44638422248,U-0949,"GOVERNMENT POLYTECHNIC,BHADRAK",Active,Odisha,Bhadrak,Bhadrak,"AT-TENTALIGADIA(SARMANGA),PO-RANDHIA,BHADRAK",751035,20.935256,85.101696,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicbhadrak.ac.in,info@polytechnicbhadrak.ac.in,admissions@polytechnicbhadrak.ac.in,placement@polytechnicbhadrak.ac.in,+91-80-149-1604,Mechanical Engineering,Diploma,60,210,2000,Rural,No,Yes
1-44638422248,1-44638422248,U-0949,"GOVERNMENT POLYTECHNIC,BHADRAK",Active,Odisha,Bhadrak,Bhadrak,"AT-TENTALIGADIA(SARMANGA),PO-RANDHIA,BHADRAK",751035,20.935256,85.101696,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicbhadrak.ac.in,info@polytechnicbhadrak.ac.in,admissions@polytechnicbhadrak.ac.in,placement@polytechnicbhadrak.ac.in,+91-80-149-1604,Other Engineering Branches,Diploma,60,210,2000,Rural,No,Yes
1-44638422248,1-44638422248,U-0949,"GOVERNMENT POLYTECHNIC,BHADRAK",Active,Odisha,Bhadrak,Bhadrak,"AT-TENTALIGADIA(SARMANGA),PO-RANDHIA,BHADRAK",751035,20.935256,85.101696,Government,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicbhadrak.ac.in,info@polytechnicbhadrak.ac.in,admissions@polytechnicbhadrak.ac.in,placement@polytechnicbhadrak.ac.in,+91-80-149-1604,Computer Science Engineering (CSE),Diploma,30,210,2000,Rural,No,Yes
1-44640202217,1-44640202217,U-0294,BARAPADA SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,AT/PO- BARAPADA DIST- BHADRAK ORISSA PIN - 756113,756113,20.945568,85.08127,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.barapadaschool.ac.in,info@barapadaschool.ac.in,admissions@barapadaschool.ac.in,placement@barapadaschool.ac.in,+91-80-581-6593,Civil Engineering,Diploma,90,391,1981,Rural,Yes,No
1-44640202217,1-44640202217,U-0294,BARAPADA SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,AT/PO- BARAPADA DIST- BHADRAK ORISSA PIN - 756113,756113,20.945568,85.08127,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.barapadaschool.ac.in,info@barapadaschool.ac.in,admissions@barapadaschool.ac.in,placement@barapadaschool.ac.in,+91-80-581-6593,Electrical Engineering,Diploma,68,391,1981,Rural,Yes,No
1-44640202217,1-44640202217,U-0294,BARAPADA SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,AT/PO- BARAPADA DIST- BHADRAK ORISSA PIN - 756113,756113,20.945568,85.08127,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.barapadaschool.ac.in,info@barapadaschool.ac.in,admissions@barapadaschool.ac.in,placement@barapadaschool.ac.in,+91-80-581-6593,Mechanical Engineering,Diploma,90,391,1981,Rural,Yes,No
1-44640202217,1-44640202217,U-0294,BARAPADA SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,AT/PO- BARAPADA DIST- BHADRAK ORISSA PIN - 756113,756113,20.945568,85.08127,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.barapadaschool.ac.in,info@barapadaschool.ac.in,admissions@barapadaschool.ac.in,placement@barapadaschool.ac.in,+91-80-581-6593,Electronics & Communication Engineering (ECE),Diploma,68,391,1981,Rural,Yes,No
1-44640202217,1-44640202217,U-0294,BARAPADA SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,AT/PO- BARAPADA DIST- BHADRAK ORISSA PIN - 756113,756113,20.945568,85.08127,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.barapadaschool.ac.in,info@barapadaschool.ac.in,admissions@barapadaschool.ac.in,placement@barapadaschool.ac.in,+91-80-581-6593,Computer Science Engineering (CSE),Diploma,45,391,1981,Rural,Yes,No
1-44640202217,1-44640202217,U-0294,BARAPADA SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,AT/PO- BARAPADA DIST- BHADRAK ORISSA PIN - 756113,756113,20.945568,85.08127,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.barapadaschool.ac.in,info@barapadaschool.ac.in,admissions@barapadaschool.ac.in,placement@barapadaschool.ac.in,+91-80-581-6593,Information Technology (IT),Diploma,30,391,1981,Rural,Yes,No
1-44640207472,1-44640207472,U-0949,BHADRAK ENGINEERING SCHOOL AND TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,NITYANANDA VIHAR AT/PO-ASURALI BHADRAK DIST-BHADRAK ORISSA PIN-756137,756137,20.959976,85.116137,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bhadrakschool.ac.in,info@bhadrakschool.ac.in,admissions@bhadrakschool.ac.in,placement@bhadrakschool.ac.in,+91-80-185-9696,Civil Engineering,Diploma,120,420,1994,Rural,Yes,Yes
1-44640207472,1-44640207472,U-0949,BHADRAK ENGINEERING SCHOOL AND TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,NITYANANDA VIHAR AT/PO-ASURALI BHADRAK DIST-BHADRAK ORISSA PIN-756137,756137,20.959976,85.116137,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bhadrakschool.ac.in,info@bhadrakschool.ac.in,admissions@bhadrakschool.ac.in,placement@bhadrakschool.ac.in,+91-80-185-9696,Electrical Engineering,Diploma,120,420,1994,Rural,Yes,Yes
1-44640207472,1-44640207472,U-0949,BHADRAK ENGINEERING SCHOOL AND TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,NITYANANDA VIHAR AT/PO-ASURALI BHADRAK DIST-BHADRAK ORISSA PIN-756137,756137,20.959976,85.116137,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bhadrakschool.ac.in,info@bhadrakschool.ac.in,admissions@bhadrakschool.ac.in,placement@bhadrakschool.ac.in,+91-80-185-9696,Electronics & Communication Engineering (ECE),Diploma,30,420,1994,Rural,Yes,Yes
1-44640207472,1-44640207472,U-0949,BHADRAK ENGINEERING SCHOOL AND TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,NITYANANDA VIHAR AT/PO-ASURALI BHADRAK DIST-BHADRAK ORISSA PIN-756137,756137,20.959976,85.116137,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bhadrakschool.ac.in,info@bhadrakschool.ac.in,admissions@bhadrakschool.ac.in,placement@bhadrakschool.ac.in,+91-80-185-9696,Computer Science Engineering (CSE),Diploma,30,420,1994,Rural,Yes,Yes
1-44640207472,1-44640207472,U-0949,BHADRAK ENGINEERING SCHOOL AND TECHNOLOGY,Active,Odisha,Bhadrak,Bhadrak,NITYANANDA VIHAR AT/PO-ASURALI BHADRAK DIST-BHADRAK ORISSA PIN-756137,756137,20.959976,85.116137,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.bhadrakschool.ac.in,info@bhadrakschool.ac.in,admissions@bhadrakschool.ac.in,placement@bhadrakschool.ac.in,+91-80-185-9696,Mechanical Engineering,Diploma,120,420,1994,Rural,Yes,Yes
1-44641010308,1-44641010308,U-0949,HI-TECH INSTITUTE OF ENGINEERING & MANAGEMENT,Active,Odisha,Bhadrak,Bhadrak,"N.H-5, AT/PO - RANITAL DIST-BHADRAK PIN-756111 ORISSA.",756111,20.953424,85.109678,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B+,No,,Tier 3,http://www.hitechmanagement.ac.in,info@hitechmanagement.ac.in,admissions@hitechmanagement.ac.in,placement@hitechmanagement.ac.in,+91-80-911-1751,Civil Engineering,Diploma,90,360,2011,Rural,Yes,No
1-44641010308,1-44641010308,U-0949,HI-TECH INSTITUTE OF ENGINEERING & MANAGEMENT,Active,Odisha,Bhadrak,Bhadrak,"N.H-5, AT/PO - RANITAL DIST-BHADRAK PIN-756111 ORISSA.",756111,20.953424,85.109678,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B+,No,,Tier 3,http://www.hitechmanagement.ac.in,info@hitechmanagement.ac.in,admissions@hitechmanagement.ac.in,placement@hitechmanagement.ac.in,+91-80-911-1751,Electrical Engineering,Diploma,120,360,2011,Rural,Yes,No
1-44641010308,1-44641010308,U-0949,HI-TECH INSTITUTE OF ENGINEERING & MANAGEMENT,Active,Odisha,Bhadrak,Bhadrak,"N.H-5, AT/PO - RANITAL DIST-BHADRAK PIN-756111 ORISSA.",756111,20.953424,85.109678,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B+,No,,Tier 3,http://www.hitechmanagement.ac.in,info@hitechmanagement.ac.in,admissions@hitechmanagement.ac.in,placement@hitechmanagement.ac.in,+91-80-911-1751,Mechanical Engineering,Diploma,120,360,2011,Rural,Yes,No
1-44641010308,1-44641010308,U-0949,HI-TECH INSTITUTE OF ENGINEERING & MANAGEMENT,Active,Odisha,Bhadrak,Bhadrak,"N.H-5, AT/PO - RANITAL DIST-BHADRAK PIN-756111 ORISSA.",756111,20.953424,85.109678,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B+,No,,Tier 3,http://www.hitechmanagement.ac.in,info@hitechmanagement.ac.in,admissions@hitechmanagement.ac.in,placement@hitechmanagement.ac.in,+91-80-911-1751,Electronics & Communication Engineering (ECE),Diploma,30,360,2011,Rural,Yes,No
