College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638372869,1-44638372869,U-0698,GOVERNMENT POLYTECHNIC OF TEXTILE TECHNOLOGY,Active,Bihar,Bhagalpur,Bhagalpur,"LOWER NATHNAGAR,LALMATIA CHOWK ,NATHNAGAR, BHAGALPUR",800675,25.080709,85.327655,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.textile.ac.in,info@textile.ac.in,admissions@textile.ac.in,placement@textile.ac.in,+91-80-193-3277,Other Engineering Branches,Diploma,240,300,2021,Urban,Yes,Yes
1-44638372869,1-44638372869,U-0698,GOVERNMENT POLYTECHNIC OF TEXTILE TECHNOLOGY,Active,Bihar,Bhagalpur,Bhagalpur,"LOWER NATHNAGAR,LALMATIA CHOWK ,NATHNAGAR, BHAGALPUR",800675,25.080709,85.327655,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.textile.ac.in,info@textile.ac.in,admissions@textile.ac.in,placement@textile.ac.in,+91-80-193-3277,Civil Engineering,Diploma,60,300,2021,Urban,Yes,Yes
1-44640952574,1-44640952574,U-0846,"BHAGALPUR COLLEGE OF ENGINEERING , BHAGALPUR",Active,Bihar,Bhagalpur,Bhagalpur,P.O SABOUR DIST:BHAGALPUR,800675,25.089804,85.311537,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.bhagalpurbhagalpur.ac.in,info@bhagalpurbhagalpur.ac.in,admissions@bhagalpurbhagalpur.ac.in,placement@bhagalpurbhagalpur.ac.in,+91-80-574-8085,Mechanical Engineering,B.Tech,60,444,2007,Urban,Yes,Yes
1-44640952574,1-44640952574,U-0846,"BHAGALPUR COLLEGE OF ENGINEERING , BHAGALPUR",Active,Bihar,Bhagalpur,Bhagalpur,P.O SABOUR DIST:BHAGALPUR,800675,25.089804,85.311537,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.bhagalpurbhagalpur.ac.in,info@bhagalpurbhagalpur.ac.in,admissions@bhagalpurbhagalpur.ac.in,placement@bhagalpurbhagalpur.ac.in,+91-80-574-8085,Civil Engineering,B.Tech,120,444,2007,Urban,Yes,Yes
1-44640952574,1-44640952574,U-0846,"BHAGALPUR COLLEGE OF ENGINEERING , BHAGALPUR",Active,Bihar,Bhagalpur,Bhagalpur,P.O SABOUR DIST:BHAGALPUR,800675,25.089804,85.311537,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.bhagalpurbhagalpur.ac.in,info@bhagalpurbhagalpur.ac.in,admissions@bhagalpurbhagalpur.ac.in,placement@bhagalpurbhagalpur.ac.in,+91-80-574-8085,Electrical Engineering,B.Tech,60,444,2007,Urban,Yes,Yes
1-44640952574,1-44640952574,U-0846,"BHAGALPUR COLLEGE OF ENGINEERING , BHAGALPUR",Active,Bihar,Bhagalpur,Bhagalpur,P.O SABOUR DIST:BHAGALPUR,800675,25.089804,85.311537,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.bhagalpurbhagalpur.ac.in,info@bhagalpurbhagalpur.ac.in,admissions@bhagalpurbhagalpur.ac.in,placement@bhagalpurbhagalpur.ac.in,+91-80-574-8085,Computer Science Engineering (CSE),B.Tech,60,444,2007,Urban,Yes,Yes
1-44640952574,1-44640952574,U-0846,"BHAGALPUR COLLEGE OF ENGINEERING , BHAGALPUR",Active,Bihar,Bhagalpur,Bhagalpur,P.O SABOUR DIST:BHAGALPUR,800675,25.089804,85.311537,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.bhagalpurbhagalpur.ac.in,info@bhagalpurbhagalpur.ac.in,admissions@bhagalpurbhagalpur.ac.in,placement@bhagalpurbhagalpur.ac.in,+91-80-574-8085,Electronics & Communication Engineering (ECE),B.Tech,60,444,2007,Urban,Yes,Yes
1-44640952574,1-44640952574,U-0846,"BHAGALPUR COLLEGE OF ENGINEERING , BHAGALPUR",Active,Bihar,Bhagalpur,Bhagalpur,P.O SABOUR DIST:BHAGALPUR,800675,25.089804,85.311537,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.bhagalpurbhagalpur.ac.in,info@bhagalpurbhagalpur.ac.in,admissions@bhagalpurbhagalpur.ac.in,placement@bhagalpurbhagalpur.ac.in,+91-80-574-8085,Other Engineering Branches,M.Tech,84,444,2007,Urban,Yes,Yes
1-44641082754,1-44641082754,U-0698,GOVT. POLYTECHNIC BHAGALPUR,Active,Bihar,Bhagalpur,Bhagalpur,"GOVT. POLYTECHNIC, BHAGALPUR  AT+PO-BARARI BHAGALPUR",800675,25.10688,85.326527,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.govtbhagalpur.ac.in,info@govtbhagalpur.ac.in,admissions@govtbhagalpur.ac.in,placement@govtbhagalpur.ac.in,+91-80-291-0037,Agricultural Engineering,Diploma,60,360,1992,Urban,Yes,Yes
1-44641082754,1-44641082754,U-0698,GOVT. POLYTECHNIC BHAGALPUR,Active,Bihar,Bhagalpur,Bhagalpur,"GOVT. POLYTECHNIC, BHAGALPUR  AT+PO-BARARI BHAGALPUR",800675,25.10688,85.326527,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.govtbhagalpur.ac.in,info@govtbhagalpur.ac.in,admissions@govtbhagalpur.ac.in,placement@govtbhagalpur.ac.in,+91-80-291-0037,Civil Engineering,Diploma,60,360,1992,Urban,Yes,Yes
