College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638504656,1-44638504656,U-0426,MANOHARBHAI PATEL INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Bhandara,Bhandara,"N.H.6,SHAHAPUR, BHANDARA",400126,19.751343,75.723087,Private-Self Financing,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Approved,Approved,A+,No,,Tier 3,http://www.manoharbhaipatel.ac.in,info@manoharbhaipatel.ac.in,admissions@manoharbhaipatel.ac.in,placement@manoharbhaipatel.ac.in,+91-80-832-3002,Computer Science Engineering (CSE),B.Tech,54,114,1990,Rural,Yes,Yes
1-44638504656,1-44638504656,U-0426,MANOHARBHAI PATEL INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Bhandara,Bhandara,"N.H.6,SHAHAPUR, BHANDARA",400126,19.751343,75.723087,Private-Self Financing,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Approved,Approved,A+,No,,Tier 3,http://www.manoharbhaipatel.ac.in,info@manoharbhaipatel.ac.in,admissions@manoharbhaipatel.ac.in,placement@manoharbhaipatel.ac.in,+91-80-832-3002,Mechanical Engineering,B.Tech,30,114,1990,Rural,Yes,Yes
1-44638504656,1-44638504656,U-0426,MANOHARBHAI PATEL INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Maharashtra,Bhandara,Bhandara,"N.H.6,SHAHAPUR, BHANDARA",400126,19.751343,75.723087,Private-Self Financing,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Approved,Approved,A+,No,,Tier 3,http://www.manoharbhaipatel.ac.in,info@manoharbhaipatel.ac.in,admissions@manoharbhaipatel.ac.in,placement@manoharbhaipatel.ac.in,+91-80-832-3002,Civil Engineering,B.Tech,30,114,1990,Rural,Yes,Yes
1-44639613419,1-44639613419,U-0767,"BRAHMANAND KARANJEKAR INSTITUTE OF TECHNOLOGY, SAKOLI",Active,Maharashtra,Bhandara,Bhandara,"NAGZIRA ROAD, SAKOLI",400126,19.764852,75.713981,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,Yes,,Tier 3,http://www.brahmanandkaranjekarsakoli.ac.in,info@brahmanandkaranjekarsakoli.ac.in,admissions@brahmanandkaranjekarsakoli.ac.in,placement@brahmanandkaranjekarsakoli.ac.in,+91-80-398-8736,Civil Engineering,Diploma,60,180,1998,Urban,Yes,No
1-44639613419,1-44639613419,U-0767,"BRAHMANAND KARANJEKAR INSTITUTE OF TECHNOLOGY, SAKOLI",Active,Maharashtra,Bhandara,Bhandara,"NAGZIRA ROAD, SAKOLI",400126,19.764852,75.713981,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,Yes,,Tier 3,http://www.brahmanandkaranjekarsakoli.ac.in,info@brahmanandkaranjekarsakoli.ac.in,admissions@brahmanandkaranjekarsakoli.ac.in,placement@brahmanandkaranjekarsakoli.ac.in,+91-80-398-8736,Computer Science Engineering (CSE),Diploma,60,180,1998,Urban,Yes,No
1-44639613419,1-44639613419,U-0767,"BRAHMANAND KARANJEKAR INSTITUTE OF TECHNOLOGY, SAKOLI",Active,Maharashtra,Bhandara,Bhandara,"NAGZIRA ROAD, SAKOLI",400126,19.764852,75.713981,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,Yes,,Tier 3,http://www.brahmanandkaranjekarsakoli.ac.in,info@brahmanandkaranjekarsakoli.ac.in,admissions@brahmanandkaranjekarsakoli.ac.in,placement@brahmanandkaranjekarsakoli.ac.in,+91-80-398-8736,Electrical Engineering,Diploma,60,180,1998,Urban,Yes,No
1-44640782817,1-44640782817,U-0767,"GOVERNMENT POLYTECHNIC, SAKOLI",Active,Maharashtra,Bhandara,Bhandara,"SHENDURWAFA, TALUKA-SAKOLI, DISTRICT- BHANDARA STATE-MAHARASHTRA",400126,19.755354,75.707699,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.sakoli.ac.in,info@sakoli.ac.in,admissions@sakoli.ac.in,placement@sakoli.ac.in,+91-80-000-4824,Civil Engineering,Diploma,60,270,2014,Urban,Yes,Yes
1-44640782817,1-44640782817,U-0767,"GOVERNMENT POLYTECHNIC, SAKOLI",Active,Maharashtra,Bhandara,Bhandara,"SHENDURWAFA, TALUKA-SAKOLI, DISTRICT- BHANDARA STATE-MAHARASHTRA",400126,19.755354,75.707699,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.sakoli.ac.in,info@sakoli.ac.in,admissions@sakoli.ac.in,placement@sakoli.ac.in,+91-80-000-4824,Other Engineering Branches,Diploma,60,270,2014,Urban,Yes,Yes
1-44640782817,1-44640782817,U-0767,"GOVERNMENT POLYTECHNIC, SAKOLI",Active,Maharashtra,Bhandara,Bhandara,"SHENDURWAFA, TALUKA-SAKOLI, DISTRICT- BHANDARA STATE-MAHARASHTRA",400126,19.755354,75.707699,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.sakoli.ac.in,info@sakoli.ac.in,admissions@sakoli.ac.in,placement@sakoli.ac.in,+91-80-000-4824,Electronics & Communication Engineering (ECE),Diploma,30,270,2014,Urban,Yes,Yes
1-44640782817,1-44640782817,U-0767,"GOVERNMENT POLYTECHNIC, SAKOLI",Active,Maharashtra,Bhandara,Bhandara,"SHENDURWAFA, TALUKA-SAKOLI, DISTRICT- BHANDARA STATE-MAHARASHTRA",400126,19.755354,75.707699,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.sakoli.ac.in,info@sakoli.ac.in,admissions@sakoli.ac.in,placement@sakoli.ac.in,+91-80-000-4824,Mechanical Engineering,Diploma,60,270,2014,Urban,Yes,Yes
