College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Civil Engineering,B.Tech,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Computer Science Engineering (CSE),B.Tech,120,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Information Technology (IT),B.Tech,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Mechanical Engineering,B.Tech,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Civil Engineering,Diploma,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Other Engineering Branches,Diploma,120,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Mechanical Engineering,Diploma,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Electrical Engineering,Diploma,60,600,2014,Urban,No,Yes
1-44638669874,1-44638669874,U-0183,SHREE PAREKH  ENGINEERING COLLEGE,Active,Gujarat,Bhavnagar,Bhavnagar,PAREKH COLLEGE GAYATRINAGAR ROAD,380631,22.273328,71.182702,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shreeparekh.ac.in,info@shreeparekh.ac.in,admissions@shreeparekh.ac.in,placement@shreeparekh.ac.in,+91-80-452-3969,Computer Science Engineering (CSE),B.Tech,30,120,1999,Urban,Yes,Yes
1-44638669874,1-44638669874,U-0183,SHREE PAREKH  ENGINEERING COLLEGE,Active,Gujarat,Bhavnagar,Bhavnagar,PAREKH COLLEGE GAYATRINAGAR ROAD,380631,22.273328,71.182702,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shreeparekh.ac.in,info@shreeparekh.ac.in,admissions@shreeparekh.ac.in,placement@shreeparekh.ac.in,+91-80-452-3969,Information Technology (IT),B.Tech,30,120,1999,Urban,Yes,Yes
1-44638669874,1-44638669874,U-0183,SHREE PAREKH  ENGINEERING COLLEGE,Active,Gujarat,Bhavnagar,Bhavnagar,PAREKH COLLEGE GAYATRINAGAR ROAD,380631,22.273328,71.182702,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shreeparekh.ac.in,info@shreeparekh.ac.in,admissions@shreeparekh.ac.in,placement@shreeparekh.ac.in,+91-80-452-3969,Other Engineering Branches,B.Tech,60,120,1999,Urban,Yes,Yes
