College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639812970,1-44639812970,U-0197,"GOVT. POLYTECHNIC COLLEGE, BHILWARA(RAJ.)",Active,Rajasthan,Bhilwara,Bhilwara,"GOVT. POLYTECHNIC COLLEGE,TILAK NAGAR,BHILWARA PIN-311001",311001,27.029515,74.204575,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.govtbhilwararaj.ac.in,info@govtbhilwararaj.ac.in,admissions@govtbhilwararaj.ac.in,placement@govtbhilwararaj.ac.in,+91-80-078-5578,Electrical Engineering,Diploma,60,270,1990,Rural,No,Yes
1-44639812970,1-44639812970,U-0197,"GOVT. POLYTECHNIC COLLEGE, BHILWARA(RAJ.)",Active,Rajasthan,Bhilwara,Bhilwara,"GOVT. POLYTECHNIC COLLEGE,TILAK NAGAR,BHILWARA PIN-311001",311001,27.029515,74.204575,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.govtbhilwararaj.ac.in,info@govtbhilwararaj.ac.in,admissions@govtbhilwararaj.ac.in,placement@govtbhilwararaj.ac.in,+91-80-078-5578,Other Engineering Branches,Diploma,30,270,1990,Rural,No,Yes
1-44639812970,1-44639812970,U-0197,"GOVT. POLYTECHNIC COLLEGE, BHILWARA(RAJ.)",Active,Rajasthan,Bhilwara,Bhilwara,"GOVT. POLYTECHNIC COLLEGE,TILAK NAGAR,BHILWARA PIN-311001",311001,27.029515,74.204575,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.govtbhilwararaj.ac.in,info@govtbhilwararaj.ac.in,admissions@govtbhilwararaj.ac.in,placement@govtbhilwararaj.ac.in,+91-80-078-5578,Mechanical Engineering,Diploma,60,270,1990,Rural,No,Yes
1-44639812970,1-44639812970,U-0197,"GOVT. POLYTECHNIC COLLEGE, BHILWARA(RAJ.)",Active,Rajasthan,Bhilwara,Bhilwara,"GOVT. POLYTECHNIC COLLEGE,TILAK NAGAR,BHILWARA PIN-311001",311001,27.029515,74.204575,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.govtbhilwararaj.ac.in,info@govtbhilwararaj.ac.in,admissions@govtbhilwararaj.ac.in,placement@govtbhilwararaj.ac.in,+91-80-078-5578,Civil Engineering,Diploma,60,270,1990,Rural,No,Yes
1-44639812970,1-44639812970,U-0197,"GOVT. POLYTECHNIC COLLEGE, BHILWARA(RAJ.)",Active,Rajasthan,Bhilwara,Bhilwara,"GOVT. POLYTECHNIC COLLEGE,TILAK NAGAR,BHILWARA PIN-311001",311001,27.029515,74.204575,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.govtbhilwararaj.ac.in,info@govtbhilwararaj.ac.in,admissions@govtbhilwararaj.ac.in,placement@govtbhilwararaj.ac.in,+91-80-078-5578,Computer Science Engineering (CSE),Diploma,30,270,1990,Rural,No,Yes
1-44639812970,1-44639812970,U-0197,"GOVT. POLYTECHNIC COLLEGE, BHILWARA(RAJ.)",Active,Rajasthan,Bhilwara,Bhilwara,"GOVT. POLYTECHNIC COLLEGE,TILAK NAGAR,BHILWARA PIN-311001",311001,27.029515,74.204575,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.govtbhilwararaj.ac.in,info@govtbhilwararaj.ac.in,admissions@govtbhilwararaj.ac.in,placement@govtbhilwararaj.ac.in,+91-80-078-5578,Mining Engineering,Diploma,30,270,1990,Rural,No,Yes
1-44639522795,1-44639522795,U-0755,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",Active,Rajasthan,Bhilwara,Bhilwara,"PUR ROAD, BHILWARA",302393,27.021934,74.204803,Government,"Rajasthan Technical University, Kota",Approved,Approved,A+,Yes,,Tier 2,http://www.mlvtextilebhilwara.ac.in,info@mlvtextilebhilwara.ac.in,admissions@mlvtextilebhilwara.ac.in,placement@mlvtextilebhilwara.ac.in,+91-80-760-5804,Information Technology (IT),B.Tech,60,358,1987,Urban,Yes,Yes
1-44639522795,1-44639522795,U-0755,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",Active,Rajasthan,Bhilwara,Bhilwara,"PUR ROAD, BHILWARA",302393,27.021934,74.204803,Government,"Rajasthan Technical University, Kota",Approved,Approved,A+,Yes,,Tier 2,http://www.mlvtextilebhilwara.ac.in,info@mlvtextilebhilwara.ac.in,admissions@mlvtextilebhilwara.ac.in,placement@mlvtextilebhilwara.ac.in,+91-80-760-5804,Other Engineering Branches,B.Tech,160,358,1987,Urban,Yes,Yes
1-44639522795,1-44639522795,U-0755,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",Active,Rajasthan,Bhilwara,Bhilwara,"PUR ROAD, BHILWARA",302393,27.021934,74.204803,Government,"Rajasthan Technical University, Kota",Approved,Approved,A+,Yes,,Tier 2,http://www.mlvtextilebhilwara.ac.in,info@mlvtextilebhilwara.ac.in,admissions@mlvtextilebhilwara.ac.in,placement@mlvtextilebhilwara.ac.in,+91-80-760-5804,Other Engineering Branches,M.Tech,18,358,1987,Urban,Yes,Yes
1-44639522795,1-44639522795,U-0755,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",Active,Rajasthan,Bhilwara,Bhilwara,"PUR ROAD, BHILWARA",302393,27.021934,74.204803,Government,"Rajasthan Technical University, Kota",Approved,Approved,A+,Yes,,Tier 2,http://www.mlvtextilebhilwara.ac.in,info@mlvtextilebhilwara.ac.in,admissions@mlvtextilebhilwara.ac.in,placement@mlvtextilebhilwara.ac.in,+91-80-760-5804,Electronics & Communication Engineering (ECE),B.Tech,30,358,1987,Urban,Yes,Yes
1-44639522795,1-44639522795,U-0755,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",Active,Rajasthan,Bhilwara,Bhilwara,"PUR ROAD, BHILWARA",302393,27.021934,74.204803,Government,"Rajasthan Technical University, Kota",Approved,Approved,A+,Yes,,Tier 2,http://www.mlvtextilebhilwara.ac.in,info@mlvtextilebhilwara.ac.in,admissions@mlvtextilebhilwara.ac.in,placement@mlvtextilebhilwara.ac.in,+91-80-760-5804,Mechanical Engineering,B.Tech,60,358,1987,Urban,Yes,Yes
1-44639522795,1-44639522795,U-0755,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",Active,Rajasthan,Bhilwara,Bhilwara,"PUR ROAD, BHILWARA",302393,27.021934,74.204803,Government,"Rajasthan Technical University, Kota",Approved,Approved,A+,Yes,,Tier 2,http://www.mlvtextilebhilwara.ac.in,info@mlvtextilebhilwara.ac.in,admissions@mlvtextilebhilwara.ac.in,placement@mlvtextilebhilwara.ac.in,+91-80-760-5804,IoT,B.Tech,30,358,1987,Urban,Yes,Yes
