College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638443076,1-44638443076,U-0294,GIRIJA DEVI POLYTECHNIC COLLEGE,Active,Bihar,Bhojpur,Bhojpur,"PLOT NO-A-4(P) & A-5(P) INDUSTRIAL AREA, DISTRICT- BHOJPUR, BIHIYA, BIHAR- 802152",802152,25.108038,85.330588,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.girijadevi.ac.in,info@girijadevi.ac.in,admissions@girijadevi.ac.in,placement@girijadevi.ac.in,+91-80-339-5695,Mechanical Engineering,Diploma,120,300,1982,Urban,No,Yes
1-44638443076,1-44638443076,U-0294,GIRIJA DEVI POLYTECHNIC COLLEGE,Active,Bihar,Bhojpur,Bhojpur,"PLOT NO-A-4(P) & A-5(P) INDUSTRIAL AREA, DISTRICT- BHOJPUR, BIHIYA, BIHAR- 802152",802152,25.108038,85.330588,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.girijadevi.ac.in,info@girijadevi.ac.in,admissions@girijadevi.ac.in,placement@girijadevi.ac.in,+91-80-339-5695,Civil Engineering,Diploma,60,300,1982,Urban,No,Yes
1-44638443076,1-44638443076,U-0294,GIRIJA DEVI POLYTECHNIC COLLEGE,Active,Bihar,Bhojpur,Bhojpur,"PLOT NO-A-4(P) & A-5(P) INDUSTRIAL AREA, DISTRICT- BHOJPUR, BIHIYA, BIHAR- 802152",802152,25.108038,85.330588,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.girijadevi.ac.in,info@girijadevi.ac.in,admissions@girijadevi.ac.in,placement@girijadevi.ac.in,+91-80-339-5695,Electrical Engineering,Diploma,60,300,1982,Urban,No,Yes
1-44638443076,1-44638443076,U-0294,GIRIJA DEVI POLYTECHNIC COLLEGE,Active,Bihar,Bhojpur,Bhojpur,"PLOT NO-A-4(P) & A-5(P) INDUSTRIAL AREA, DISTRICT- BHOJPUR, BIHIYA, BIHAR- 802152",802152,25.108038,85.330588,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.girijadevi.ac.in,info@girijadevi.ac.in,admissions@girijadevi.ac.in,placement@girijadevi.ac.in,+91-80-339-5695,Computer Science Engineering (CSE),Diploma,60,300,1982,Urban,No,Yes
1-44638137526,1-44638137526,U-0831,GOVERNMENT ENGINEERING COLLEGE BHOJPUR,Active,Bihar,Bhojpur,Bhojpur,"GOVERNMENT ENGINEERING COLLEGE BHOJPUR, SOUTH EAST RAMNA ROAD, NEAR MAHARAJA COLLEGE, ARA - 802301",802301,25.083321,85.324073,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-302-8934,Civil Engineering,B.Tech,60,360,1988,Urban,No,Yes
1-44638137526,1-44638137526,U-0831,GOVERNMENT ENGINEERING COLLEGE BHOJPUR,Active,Bihar,Bhojpur,Bhojpur,"GOVERNMENT ENGINEERING COLLEGE BHOJPUR, SOUTH EAST RAMNA ROAD, NEAR MAHARAJA COLLEGE, ARA - 802301",802301,25.083321,85.324073,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-302-8934,Mechanical Engineering,B.Tech,60,360,1988,Urban,No,Yes
1-44638137526,1-44638137526,U-0831,GOVERNMENT ENGINEERING COLLEGE BHOJPUR,Active,Bihar,Bhojpur,Bhojpur,"GOVERNMENT ENGINEERING COLLEGE BHOJPUR, SOUTH EAST RAMNA ROAD, NEAR MAHARAJA COLLEGE, ARA - 802301",802301,25.083321,85.324073,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-302-8934,Electrical Engineering,B.Tech,60,360,1988,Urban,No,Yes
1-44638137526,1-44638137526,U-0831,GOVERNMENT ENGINEERING COLLEGE BHOJPUR,Active,Bihar,Bhojpur,Bhojpur,"GOVERNMENT ENGINEERING COLLEGE BHOJPUR, SOUTH EAST RAMNA ROAD, NEAR MAHARAJA COLLEGE, ARA - 802301",802301,25.083321,85.324073,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-302-8934,Other Engineering Branches,B.Tech,30,360,1988,Urban,No,Yes
1-44638137526,1-44638137526,U-0831,GOVERNMENT ENGINEERING COLLEGE BHOJPUR,Active,Bihar,Bhojpur,Bhojpur,"GOVERNMENT ENGINEERING COLLEGE BHOJPUR, SOUTH EAST RAMNA ROAD, NEAR MAHARAJA COLLEGE, ARA - 802301",802301,25.083321,85.324073,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-302-8934,Electronics & Communication Engineering (ECE),B.Tech,60,360,1988,Urban,No,Yes
1-44638137526,1-44638137526,U-0831,GOVERNMENT ENGINEERING COLLEGE BHOJPUR,Active,Bihar,Bhojpur,Bhojpur,"GOVERNMENT ENGINEERING COLLEGE BHOJPUR, SOUTH EAST RAMNA ROAD, NEAR MAHARAJA COLLEGE, ARA - 802301",802301,25.083321,85.324073,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-302-8934,Computer Science Engineering (CSE),B.Tech,90,360,1988,Urban,No,Yes
