College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638780204,1-44638780204,U-0375,LINGARAJAPPA ENGINEERING COLLEGE,Active,Karnataka,Bidar,Bidar,"SURVEY NO. 25/1, GORNALLI ,BIDAR,KARNATAKA",560019,15.313343,75.700557,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.lingarajappa.ac.in,info@lingarajappa.ac.in,admissions@lingarajappa.ac.in,placement@lingarajappa.ac.in,+91-80-672-9002,Other Engineering Branches,M.Tech,32,408,1988,Urban,No,Yes
1-44638780204,1-44638780204,U-0375,LINGARAJAPPA ENGINEERING COLLEGE,Active,Karnataka,Bidar,Bidar,"SURVEY NO. 25/1, GORNALLI ,BIDAR,KARNATAKA",560019,15.313343,75.700557,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.lingarajappa.ac.in,info@lingarajappa.ac.in,admissions@lingarajappa.ac.in,placement@lingarajappa.ac.in,+91-80-672-9002,Electrical & Electronics Engineering (EEE),B.Tech,60,408,1988,Urban,No,Yes
1-44638780204,1-44638780204,U-0375,LINGARAJAPPA ENGINEERING COLLEGE,Active,Karnataka,Bidar,Bidar,"SURVEY NO. 25/1, GORNALLI ,BIDAR,KARNATAKA",560019,15.313343,75.700557,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.lingarajappa.ac.in,info@lingarajappa.ac.in,admissions@lingarajappa.ac.in,placement@lingarajappa.ac.in,+91-80-672-9002,Computer Science Engineering (CSE),B.Tech,120,408,1988,Urban,No,Yes
1-44638780204,1-44638780204,U-0375,LINGARAJAPPA ENGINEERING COLLEGE,Active,Karnataka,Bidar,Bidar,"SURVEY NO. 25/1, GORNALLI ,BIDAR,KARNATAKA",560019,15.313343,75.700557,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.lingarajappa.ac.in,info@lingarajappa.ac.in,admissions@lingarajappa.ac.in,placement@lingarajappa.ac.in,+91-80-672-9002,Electronics & Communication Engineering (ECE),B.Tech,60,408,1988,Urban,No,Yes
1-44638780204,1-44638780204,U-0375,LINGARAJAPPA ENGINEERING COLLEGE,Active,Karnataka,Bidar,Bidar,"SURVEY NO. 25/1, GORNALLI ,BIDAR,KARNATAKA",560019,15.313343,75.700557,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.lingarajappa.ac.in,info@lingarajappa.ac.in,admissions@lingarajappa.ac.in,placement@lingarajappa.ac.in,+91-80-672-9002,Civil Engineering,B.Tech,30,408,1988,Urban,No,Yes
1-44638780204,1-44638780204,U-0375,LINGARAJAPPA ENGINEERING COLLEGE,Active,Karnataka,Bidar,Bidar,"SURVEY NO. 25/1, GORNALLI ,BIDAR,KARNATAKA",560019,15.313343,75.700557,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.lingarajappa.ac.in,info@lingarajappa.ac.in,admissions@lingarajappa.ac.in,placement@lingarajappa.ac.in,+91-80-672-9002,Mechanical Engineering,B.Tech,30,408,1988,Urban,No,Yes
1-44638780204,1-44638780204,U-0375,LINGARAJAPPA ENGINEERING COLLEGE,Active,Karnataka,Bidar,Bidar,"SURVEY NO. 25/1, GORNALLI ,BIDAR,KARNATAKA",560019,15.313343,75.700557,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.lingarajappa.ac.in,info@lingarajappa.ac.in,admissions@lingarajappa.ac.in,placement@lingarajappa.ac.in,+91-80-672-9002,Computer Science Engineering (CSE),M.Tech,16,408,1988,Urban,No,Yes
1-44638780204,1-44638780204,U-0375,LINGARAJAPPA ENGINEERING COLLEGE,Active,Karnataka,Bidar,Bidar,"SURVEY NO. 25/1, GORNALLI ,BIDAR,KARNATAKA",560019,15.313343,75.700557,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.lingarajappa.ac.in,info@lingarajappa.ac.in,admissions@lingarajappa.ac.in,placement@lingarajappa.ac.in,+91-80-672-9002,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,408,1988,Urban,No,Yes
1-44638916223,1-44638916223,U-0375,GOVERNMENT ENGINEERING COLLEGE BIDAR,Active,Karnataka,Bidar,Bidar,GANDHI NAGAR ITI CAMPUS MAILUR,560019,15.32,75.71855,Government,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 2,http://www.bidar.ac.in,info@bidar.ac.in,admissions@bidar.ac.in,placement@bidar.ac.in,+91-80-952-1053,Computer Science Engineering (CSE),B.Tech,60,210,1982,Urban,Yes,Yes
1-44638916223,1-44638916223,U-0375,GOVERNMENT ENGINEERING COLLEGE BIDAR,Active,Karnataka,Bidar,Bidar,GANDHI NAGAR ITI CAMPUS MAILUR,560019,15.32,75.71855,Government,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 2,http://www.bidar.ac.in,info@bidar.ac.in,admissions@bidar.ac.in,placement@bidar.ac.in,+91-80-952-1053,Data Science,B.Tech,60,210,1982,Urban,Yes,Yes
