College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Other Engineering Branches,M.Tech,72,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Data Science,M.Tech,18,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Data Science,B.Tech,30,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Cyber Security,B.Tech,30,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Information Technology (IT),B.Tech,30,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Computer Science Engineering (CSE),B.Tech,120,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Other Engineering Branches,B.Tech,30,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Electronics & Communication Engineering (ECE),B.Tech,30,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Civil Engineering,B.Tech,90,570,2007,Urban,No,Yes
1-44638667366,1-44638667366,U-0353,BIKANER TECHNICAL UNIVERSITY,Active,Rajasthan,Bikaner,Bikaner,"BIKANER TECHNICAL UNIVERSITY, UCET CAMPUS, RIICO KARNI INDUSTRIAL AREA, PUGAL ROAD, BIKANER, RAJASTHAN 334004",334004,27.038499,74.215606,State Government University,Bikaner Technical University,Approved,Approved,A,No,,Tier 3,http://www.bikanertechnical.ac.in,info@bikanertechnical.ac.in,admissions@bikanertechnical.ac.in,placement@bikanertechnical.ac.in,+91-80-455-3713,Mechanical Engineering,B.Tech,60,570,2007,Urban,No,Yes
