College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Mechanical Engineering,B.Tech,60,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Civil Engineering,B.Tech,60,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Electrical Engineering,B.Tech,60,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Computer Science Engineering (CSE),B.Tech,60,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Electronics & Communication Engineering (ECE),B.Tech,60,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Information Technology (IT),B.Tech,60,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Data Science,B.Tech,60,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Other Engineering Branches,M.Tech,30,600,2021,Urban,Yes,Yes
1-44638197080,1-44638197080,U-0992,SEACOM SKILLS UNIVERSITY SCHOOL OF ENGINEERING,Active,West Bengal,Birbhum,Birbhum,"VILL-KENDRADANGAL, PO- SATTORE, PS- PANRUI, DIST- BIRBHUM",700013,22.99198,87.836257,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.seacomskillsschool.ac.in,info@seacomskillsschool.ac.in,admissions@seacomskillsschool.ac.in,placement@seacomskillsschool.ac.in,+91-80-056-1032,Information Technology (IT),M.Tech,30,600,2021,Urban,Yes,Yes
