College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Mechanical Engineering,B.Tech,60,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Civil Engineering,B.Tech,60,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Electrical & Electronics Engineering (EEE),B.Tech,30,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Electronics & Communication Engineering (ECE),B.Tech,30,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Computer Science Engineering (CSE),B.Tech,60,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Data Science,B.Tech,60,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Cyber Security,B.Tech,30,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Other Engineering Branches,B.Tech,30,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Mechanical Engineering,Diploma,60,540,2019,Rural,Yes,No
1-44639749832,1-44639749832,U-0871,GURU GOBIND SINGH EDUCATIONAL SOCIETY'S TECHNICAL CAMPUS,Active,Jharkhand,Bokaro,Bokaro,KANDRA(V),834700,23.618716,85.279693,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-196-0446,Civil Engineering,Diploma,60,540,2019,Rural,Yes,No
