College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638440615,1-44638440615,U-0449,GOVERNMENT POLYTECHNIC DEBAI BULANDSHAHR,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,DORAYA CHORAYA BEHIND DEBAI TEHSIL DEBAI,201654,26.84477,80.959033,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.debaibulandshahr.ac.in,info@debaibulandshahr.ac.in,admissions@debaibulandshahr.ac.in,placement@debaibulandshahr.ac.in,+91-80-757-9346,Civil Engineering,Diploma,60,180,1981,Rural,Yes,Yes
1-44638440615,1-44638440615,U-0449,GOVERNMENT POLYTECHNIC DEBAI BULANDSHAHR,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,DORAYA CHORAYA BEHIND DEBAI TEHSIL DEBAI,201654,26.84477,80.959033,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.debaibulandshahr.ac.in,info@debaibulandshahr.ac.in,admissions@debaibulandshahr.ac.in,placement@debaibulandshahr.ac.in,+91-80-757-9346,Other Engineering Branches,Diploma,120,180,1981,Rural,Yes,Yes
1-44638330337,1-44638330337,U-0449,GOVERNMENT GIRLS POLYTECHNIC. ARNIA,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,"THHENGORA MADKAULA,  TAH. KHURJA ",201654,26.859486,80.95564,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girlsarnia.ac.in,info@girlsarnia.ac.in,admissions@girlsarnia.ac.in,placement@girlsarnia.ac.in,+91-80-375-1484,Civil Engineering,Diploma,60,180,1983,Rural,Yes,Yes
1-44638330337,1-44638330337,U-0449,GOVERNMENT GIRLS POLYTECHNIC. ARNIA,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,"THHENGORA MADKAULA,  TAH. KHURJA ",201654,26.859486,80.95564,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girlsarnia.ac.in,info@girlsarnia.ac.in,admissions@girlsarnia.ac.in,placement@girlsarnia.ac.in,+91-80-375-1484,Mechanical Engineering,Diploma,60,180,1983,Rural,Yes,Yes
1-44638330337,1-44638330337,U-0449,GOVERNMENT GIRLS POLYTECHNIC. ARNIA,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,"THHENGORA MADKAULA,  TAH. KHURJA ",201654,26.859486,80.95564,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girlsarnia.ac.in,info@girlsarnia.ac.in,admissions@girlsarnia.ac.in,placement@girlsarnia.ac.in,+91-80-375-1484,Electrical Engineering,Diploma,60,180,1983,Rural,Yes,Yes
1-44639690773,1-44639690773,U-0449,VIIT POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,"VIIT CAMPUS, G.T. ROAD, SUNHERA, BULANDSHAHR U.P.",201654,26.858124,80.934186,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.viit.ac.in,info@viit.ac.in,admissions@viit.ac.in,placement@viit.ac.in,+91-80-317-9955,Civil Engineering,Diploma,60,240,2015,Rural,Yes,Yes
1-44639690773,1-44639690773,U-0449,VIIT POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,"VIIT CAMPUS, G.T. ROAD, SUNHERA, BULANDSHAHR U.P.",201654,26.858124,80.934186,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.viit.ac.in,info@viit.ac.in,admissions@viit.ac.in,placement@viit.ac.in,+91-80-317-9955,Mechanical Engineering,Diploma,60,240,2015,Rural,Yes,Yes
1-44639690773,1-44639690773,U-0449,VIIT POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,"VIIT CAMPUS, G.T. ROAD, SUNHERA, BULANDSHAHR U.P.",201654,26.858124,80.934186,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.viit.ac.in,info@viit.ac.in,admissions@viit.ac.in,placement@viit.ac.in,+91-80-317-9955,Electrical Engineering,Diploma,60,240,2015,Rural,Yes,Yes
1-44639690773,1-44639690773,U-0449,VIIT POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,"VIIT CAMPUS, G.T. ROAD, SUNHERA, BULANDSHAHR U.P.",201654,26.858124,80.934186,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.viit.ac.in,info@viit.ac.in,admissions@viit.ac.in,placement@viit.ac.in,+91-80-317-9955,Computer Science Engineering (CSE),Diploma,30,240,2015,Rural,Yes,Yes
1-44639690773,1-44639690773,U-0449,VIIT POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Bulandshahar,Bulandshahar,"VIIT CAMPUS, G.T. ROAD, SUNHERA, BULANDSHAHR U.P.",201654,26.858124,80.934186,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.viit.ac.in,info@viit.ac.in,admissions@viit.ac.in,placement@viit.ac.in,+91-80-317-9955,Electronics & Communication Engineering (ECE),Diploma,30,240,2015,Rural,Yes,Yes
