College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Mechanical Engineering,B.Tech,60,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Civil Engineering,B.Tech,60,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Computer Science Engineering (CSE),B.Tech,180,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Electrical Engineering,B.Tech,60,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Mechanical Engineering,Diploma,60,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Computer Science Engineering (CSE),Diploma,180,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Computer Science Engineering (CSE),M.Tech,18,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Mechanical Engineering,M.Tech,18,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Electrical Engineering,Diploma,60,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Electrical & Electronics Engineering (EEE),M.Tech,18,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Civil Engineering,Diploma,60,792,2010,Urban,Yes,Yes
1-44638520255,1-44638520255,U-0792,PADMASHRI DR. V.B.  KOLTE   COLLEGE  OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"MALKAPUR-443 101,  DISTT. BULDANA.",400561,19.757837,75.710212,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B,Yes,,Tier 3,http://www.padmashridrvb.ac.in,info@padmashridrvb.ac.in,admissions@padmashridrvb.ac.in,placement@padmashridrvb.ac.in,+91-80-104-6504,Other Engineering Branches,M.Tech,18,792,2010,Urban,Yes,Yes
1-44639910380,1-44639910380,U-0767,"BHIWSAN PATIL SHINDE SHIKSHAN GRAMIN VIKAS & BAHU. SANSTHA,SHINDE POLYTECHNIC,",Active,Maharashtra,Buldhana,Buldhana,"SR.NO.643,647, ANJANI (BK) MEHKAR DOGON HIGHWAY ROAD, TQ-MEHKAR DIST-BULDHANA",400561,19.754767,75.711864,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.bhiwsanpatilshinde.ac.in,info@bhiwsanpatilshinde.ac.in,admissions@bhiwsanpatilshinde.ac.in,placement@bhiwsanpatilshinde.ac.in,+91-80-975-8834,Electrical Engineering,Diploma,60,300,1997,Urban,Yes,Yes
1-44639910380,1-44639910380,U-0767,"BHIWSAN PATIL SHINDE SHIKSHAN GRAMIN VIKAS & BAHU. SANSTHA,SHINDE POLYTECHNIC,",Active,Maharashtra,Buldhana,Buldhana,"SR.NO.643,647, ANJANI (BK) MEHKAR DOGON HIGHWAY ROAD, TQ-MEHKAR DIST-BULDHANA",400561,19.754767,75.711864,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.bhiwsanpatilshinde.ac.in,info@bhiwsanpatilshinde.ac.in,admissions@bhiwsanpatilshinde.ac.in,placement@bhiwsanpatilshinde.ac.in,+91-80-975-8834,Mechanical Engineering,Diploma,60,300,1997,Urban,Yes,Yes
1-44639910380,1-44639910380,U-0767,"BHIWSAN PATIL SHINDE SHIKSHAN GRAMIN VIKAS & BAHU. SANSTHA,SHINDE POLYTECHNIC,",Active,Maharashtra,Buldhana,Buldhana,"SR.NO.643,647, ANJANI (BK) MEHKAR DOGON HIGHWAY ROAD, TQ-MEHKAR DIST-BULDHANA",400561,19.754767,75.711864,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.bhiwsanpatilshinde.ac.in,info@bhiwsanpatilshinde.ac.in,admissions@bhiwsanpatilshinde.ac.in,placement@bhiwsanpatilshinde.ac.in,+91-80-975-8834,Electronics & Communication Engineering (ECE),Diploma,60,300,1997,Urban,Yes,Yes
1-44639910380,1-44639910380,U-0767,"BHIWSAN PATIL SHINDE SHIKSHAN GRAMIN VIKAS & BAHU. SANSTHA,SHINDE POLYTECHNIC,",Active,Maharashtra,Buldhana,Buldhana,"SR.NO.643,647, ANJANI (BK) MEHKAR DOGON HIGHWAY ROAD, TQ-MEHKAR DIST-BULDHANA",400561,19.754767,75.711864,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.bhiwsanpatilshinde.ac.in,info@bhiwsanpatilshinde.ac.in,admissions@bhiwsanpatilshinde.ac.in,placement@bhiwsanpatilshinde.ac.in,+91-80-975-8834,Computer Science Engineering (CSE),Diploma,60,300,1997,Urban,Yes,Yes
1-44639910380,1-44639910380,U-0767,"BHIWSAN PATIL SHINDE SHIKSHAN GRAMIN VIKAS & BAHU. SANSTHA,SHINDE POLYTECHNIC,",Active,Maharashtra,Buldhana,Buldhana,"SR.NO.643,647, ANJANI (BK) MEHKAR DOGON HIGHWAY ROAD, TQ-MEHKAR DIST-BULDHANA",400561,19.754767,75.711864,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.bhiwsanpatilshinde.ac.in,info@bhiwsanpatilshinde.ac.in,admissions@bhiwsanpatilshinde.ac.in,placement@bhiwsanpatilshinde.ac.in,+91-80-975-8834,Civil Engineering,Diploma,60,300,1997,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Civil Engineering,B.Tech,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Computer Science Engineering (CSE),B.Tech,60,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Computer Science Engineering (CSE),Diploma,60,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Electronics & Communication Engineering (ECE),B.Tech,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Mechanical Engineering,B.Tech,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Electrical & Electronics Engineering (EEE),B.Tech,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Civil Engineering,Diploma,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Electronics & Communication Engineering (ECE),Diploma,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Mechanical Engineering,Diploma,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Electrical Engineering,Diploma,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Other Engineering Branches,Diploma,30,420,1988,Urban,Yes,Yes
1-44639612612,1-44639612612,U-0792,SIDDHIVINAYAK TECHNICAL CAMPUS,Active,Maharashtra,Buldhana,Buldhana,"GAT NO.133,134,140                                                   SHEGAON-KHAMGAON ROAD,                                                    SHIRASGAON NILE, TQ:- SHEGAON",400561,19.749222,75.727748,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,B++,Yes,,Tier 3,http://www.siddhivinayaktechnicalcampus.ac.in,info@siddhivinayaktechnicalcampus.ac.in,admissions@siddhivinayaktechnicalcampus.ac.in,placement@siddhivinayaktechnicalcampus.ac.in,+91-80-743-3176,Data Science,B.Tech,30,420,1988,Urban,Yes,Yes
1-44640791421,1-44640791421,U-0767,"GOVERNMENT POLYTECHNIC,KHAMGAON",Active,Maharashtra,Buldhana,Buldhana,"JALAMB ROAD, OPP. I.T.I.",400561,19.759201,75.715308,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 2,http://www.polytechnickhamgaon.ac.in,info@polytechnickhamgaon.ac.in,admissions@polytechnickhamgaon.ac.in,placement@polytechnickhamgaon.ac.in,+91-80-161-8441,Mechanical Engineering,Diploma,120,360,2021,Urban,No,Yes
1-44640791421,1-44640791421,U-0767,"GOVERNMENT POLYTECHNIC,KHAMGAON",Active,Maharashtra,Buldhana,Buldhana,"JALAMB ROAD, OPP. I.T.I.",400561,19.759201,75.715308,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 2,http://www.polytechnickhamgaon.ac.in,info@polytechnickhamgaon.ac.in,admissions@polytechnickhamgaon.ac.in,placement@polytechnickhamgaon.ac.in,+91-80-161-8441,Electrical Engineering,Diploma,60,360,2021,Urban,No,Yes
1-44640791421,1-44640791421,U-0767,"GOVERNMENT POLYTECHNIC,KHAMGAON",Active,Maharashtra,Buldhana,Buldhana,"JALAMB ROAD, OPP. I.T.I.",400561,19.759201,75.715308,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 2,http://www.polytechnickhamgaon.ac.in,info@polytechnickhamgaon.ac.in,admissions@polytechnickhamgaon.ac.in,placement@polytechnickhamgaon.ac.in,+91-80-161-8441,Electronics & Communication Engineering (ECE),Diploma,60,360,2021,Urban,No,Yes
1-44640791421,1-44640791421,U-0767,"GOVERNMENT POLYTECHNIC,KHAMGAON",Active,Maharashtra,Buldhana,Buldhana,"JALAMB ROAD, OPP. I.T.I.",400561,19.759201,75.715308,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 2,http://www.polytechnickhamgaon.ac.in,info@polytechnickhamgaon.ac.in,admissions@polytechnickhamgaon.ac.in,placement@polytechnickhamgaon.ac.in,+91-80-161-8441,Computer Science Engineering (CSE),Diploma,60,360,2021,Urban,No,Yes
1-44640791421,1-44640791421,U-0767,"GOVERNMENT POLYTECHNIC,KHAMGAON",Active,Maharashtra,Buldhana,Buldhana,"JALAMB ROAD, OPP. I.T.I.",400561,19.759201,75.715308,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 2,http://www.polytechnickhamgaon.ac.in,info@polytechnickhamgaon.ac.in,admissions@polytechnickhamgaon.ac.in,placement@polytechnickhamgaon.ac.in,+91-80-161-8441,Civil Engineering,Diploma,60,360,2021,Urban,No,Yes
1-44640386632,1-44640386632,U-0792,RAJARSHI SHAHU COLLEGE OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"NEAR PALNA GHAR, SHAHU NAGAR, SAGWAN, BULDANA",400561,19.762036,75.697363,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,A+,No,,Tier 3,http://www.rajarshishahu.ac.in,info@rajarshishahu.ac.in,admissions@rajarshishahu.ac.in,placement@rajarshishahu.ac.in,+91-80-280-7702,Other Engineering Branches,M.Tech,12,474,2010,Rural,Yes,Yes
1-44640386632,1-44640386632,U-0792,RAJARSHI SHAHU COLLEGE OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"NEAR PALNA GHAR, SHAHU NAGAR, SAGWAN, BULDANA",400561,19.762036,75.697363,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,A+,No,,Tier 3,http://www.rajarshishahu.ac.in,info@rajarshishahu.ac.in,admissions@rajarshishahu.ac.in,placement@rajarshishahu.ac.in,+91-80-280-7702,Computer Science Engineering (CSE),M.Tech,12,474,2010,Rural,Yes,Yes
1-44640386632,1-44640386632,U-0792,RAJARSHI SHAHU COLLEGE OF ENGINEERING,Active,Maharashtra,Buldhana,Buldhana,"NEAR PALNA GHAR, SHAHU NAGAR, SAGWAN, BULDANA",400561,19.762036,75.697363,Private-Self Financing,"Sant Gadge Baba Amravati University, Amravati",Approved,Approved,A+,No,,Tier 3,http://www.rajarshishahu.ac.in,info@rajarshishahu.ac.in,admissions@rajarshishahu.ac.in,placement@rajarshishahu.ac.in,+91-80-280-7702,Mechanical Engineering,B.Tech,30,474,2010,Rural,Yes,Yes
