College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Other Engineering Branches,M.Tech,18,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Electrical & Electronics Engineering (EEE),B.Tech,60,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Electronics & Communication Engineering (ECE),B.Tech,15,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Mechanical Engineering,B.Tech,30,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Computer Science Engineering (CSE),B.Tech,30,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Electrical Engineering,B.Tech,60,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Civil Engineering,B.Tech,30,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Computer Science Engineering (CSE),M.Tech,9,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Civil Engineering,Diploma,60,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Electrical Engineering,Diploma,120,462,1986,Urban,Yes,Yes
1-44643477354,1-44643477354,U-0755,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Bundi,Bundi,"VILLAGE: TULSI,  P.O:- JAKHMUND, DISTT:- BUNDI",302819,27.042919,74.22591,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vedant.ac.in,info@vedant.ac.in,admissions@vedant.ac.in,placement@vedant.ac.in,+91-80-640-7731,Mechanical Engineering,Diploma,30,462,1986,Urban,Yes,Yes
1-44924490135,1-44924490135,U-0197,GOVT POLYTECHNIC COLLEGE INDERGARH,Active,Rajasthan,Bundi,Bundi,GOVT POLYTECHNIC CILLEGE INDERGARH(CAMP BUNDI),302819,27.007172,74.232297,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtindergarh.ac.in,info@govtindergarh.ac.in,admissions@govtindergarh.ac.in,placement@govtindergarh.ac.in,+91-80-141-4364,Civil Engineering,Diploma,30,120,1981,Urban,Yes,Yes
1-44924490135,1-44924490135,U-0197,GOVT POLYTECHNIC COLLEGE INDERGARH,Active,Rajasthan,Bundi,Bundi,GOVT POLYTECHNIC CILLEGE INDERGARH(CAMP BUNDI),302819,27.007172,74.232297,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtindergarh.ac.in,info@govtindergarh.ac.in,admissions@govtindergarh.ac.in,placement@govtindergarh.ac.in,+91-80-141-4364,Mechanical Engineering,Diploma,30,120,1981,Urban,Yes,Yes
1-44924490135,1-44924490135,U-0197,GOVT POLYTECHNIC COLLEGE INDERGARH,Active,Rajasthan,Bundi,Bundi,GOVT POLYTECHNIC CILLEGE INDERGARH(CAMP BUNDI),302819,27.007172,74.232297,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtindergarh.ac.in,info@govtindergarh.ac.in,admissions@govtindergarh.ac.in,placement@govtindergarh.ac.in,+91-80-141-4364,Electrical Engineering,Diploma,30,120,1981,Urban,Yes,Yes
1-44924490135,1-44924490135,U-0197,GOVT POLYTECHNIC COLLEGE INDERGARH,Active,Rajasthan,Bundi,Bundi,GOVT POLYTECHNIC CILLEGE INDERGARH(CAMP BUNDI),302819,27.007172,74.232297,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtindergarh.ac.in,info@govtindergarh.ac.in,admissions@govtindergarh.ac.in,placement@govtindergarh.ac.in,+91-80-141-4364,Other Engineering Branches,Diploma,30,120,1981,Urban,Yes,Yes
