College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640146155,1-44640146155,U-0992,TRIGUNA SEN SCHOOL OF TECHNOLOGY,Active,Assam,Cachar,Cachar,"ASSAM UNIVERSITY (CENTRAL UNIVERSITY), SILCHAR",781525,26.187414,92.955116,Central University,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.trigunasenschool.ac.in,info@trigunasenschool.ac.in,admissions@trigunasenschool.ac.in,placement@trigunasenschool.ac.in,+91-80-285-8224,Agricultural Engineering,B.Tech,60,234,1989,Rural,Yes,Yes
1-44640146155,1-44640146155,U-0992,TRIGUNA SEN SCHOOL OF TECHNOLOGY,Active,Assam,Cachar,Cachar,"ASSAM UNIVERSITY (CENTRAL UNIVERSITY), SILCHAR",781525,26.187414,92.955116,Central University,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.trigunasenschool.ac.in,info@trigunasenschool.ac.in,admissions@trigunasenschool.ac.in,placement@trigunasenschool.ac.in,+91-80-285-8224,Other Engineering Branches,B.Tech,60,234,1989,Rural,Yes,Yes
1-44640146155,1-44640146155,U-0992,TRIGUNA SEN SCHOOL OF TECHNOLOGY,Active,Assam,Cachar,Cachar,"ASSAM UNIVERSITY (CENTRAL UNIVERSITY), SILCHAR",781525,26.187414,92.955116,Central University,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.trigunasenschool.ac.in,info@trigunasenschool.ac.in,admissions@trigunasenschool.ac.in,placement@trigunasenschool.ac.in,+91-80-285-8224,Electronics & Communication Engineering (ECE),B.Tech,60,234,1989,Rural,Yes,Yes
1-44640146155,1-44640146155,U-0992,TRIGUNA SEN SCHOOL OF TECHNOLOGY,Active,Assam,Cachar,Cachar,"ASSAM UNIVERSITY (CENTRAL UNIVERSITY), SILCHAR",781525,26.187414,92.955116,Central University,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.trigunasenschool.ac.in,info@trigunasenschool.ac.in,admissions@trigunasenschool.ac.in,placement@trigunasenschool.ac.in,+91-80-285-8224,Computer Science Engineering (CSE),M.Tech,18,234,1989,Rural,Yes,Yes
1-44640146155,1-44640146155,U-0992,TRIGUNA SEN SCHOOL OF TECHNOLOGY,Active,Assam,Cachar,Cachar,"ASSAM UNIVERSITY (CENTRAL UNIVERSITY), SILCHAR",781525,26.187414,92.955116,Central University,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.trigunasenschool.ac.in,info@trigunasenschool.ac.in,admissions@trigunasenschool.ac.in,placement@trigunasenschool.ac.in,+91-80-285-8224,Agricultural Engineering,M.Tech,18,234,1989,Rural,Yes,Yes
1-44640146155,1-44640146155,U-0992,TRIGUNA SEN SCHOOL OF TECHNOLOGY,Active,Assam,Cachar,Cachar,"ASSAM UNIVERSITY (CENTRAL UNIVERSITY), SILCHAR",781525,26.187414,92.955116,Central University,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.trigunasenschool.ac.in,info@trigunasenschool.ac.in,admissions@trigunasenschool.ac.in,placement@trigunasenschool.ac.in,+91-80-285-8224,Electronics & Communication Engineering (ECE),M.Tech,18,234,1989,Rural,Yes,Yes
1-44641401309,1-44641401309,U-0584,SILCHAR POLYTECHNIC,Active,Assam,Cachar,Cachar,P.O.- MEHERPUR,781525,26.212729,92.935592,Government,"Directorate of Technical Education, Assam",Approved,Approved,B,No,,Tier 3,http://www.silchar.ac.in,info@silchar.ac.in,admissions@silchar.ac.in,placement@silchar.ac.in,+91-80-347-5699,Civil Engineering,Diploma,90,220,2001,Urban,No,No
1-44641401309,1-44641401309,U-0584,SILCHAR POLYTECHNIC,Active,Assam,Cachar,Cachar,P.O.- MEHERPUR,781525,26.212729,92.935592,Government,"Directorate of Technical Education, Assam",Approved,Approved,B,No,,Tier 3,http://www.silchar.ac.in,info@silchar.ac.in,admissions@silchar.ac.in,placement@silchar.ac.in,+91-80-347-5699,Electronics & Communication Engineering (ECE),Diploma,40,220,2001,Urban,No,No
1-44641401309,1-44641401309,U-0584,SILCHAR POLYTECHNIC,Active,Assam,Cachar,Cachar,P.O.- MEHERPUR,781525,26.212729,92.935592,Government,"Directorate of Technical Education, Assam",Approved,Approved,B,No,,Tier 3,http://www.silchar.ac.in,info@silchar.ac.in,admissions@silchar.ac.in,placement@silchar.ac.in,+91-80-347-5699,Electrical Engineering,Diploma,40,220,2001,Urban,No,No
1-44641401309,1-44641401309,U-0584,SILCHAR POLYTECHNIC,Active,Assam,Cachar,Cachar,P.O.- MEHERPUR,781525,26.212729,92.935592,Government,"Directorate of Technical Education, Assam",Approved,Approved,B,No,,Tier 3,http://www.silchar.ac.in,info@silchar.ac.in,admissions@silchar.ac.in,placement@silchar.ac.in,+91-80-347-5699,Mechanical Engineering,Diploma,50,220,2001,Urban,No,No
