College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Electronics & Communication Engineering (ECE),B.Tech,240,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Electronics & Communication Engineering (ECE),M.Tech,30,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Computer Science Engineering (CSE),B.Tech,466,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Computer Science Engineering (CSE),M.Tech,30,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Information Technology (IT),B.Tech,150,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Mechanical Engineering,B.Tech,90,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Robotics,M.Tech,27,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Information Technology (IT),M.Tech,30,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,90,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Data Science,M.Tech,30,1183,2012,Rural,Yes,Yes
