College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638371498,1-44638371498,U-0957,GOVERNMENT POLYTECHNIC KOLLEGAL,Active,Karnataka,Chamarajnagar,Chamarajnagar,T-NARASIPURA KOLLEGAL MAIN ROAD CHILAKAVADI VILLAGE,560457,15.325094,75.695756,Government,"Department of Technical Education, Bangalore",Approved,Approved,B,No,,Tier 3,http://www.kollegal.ac.in,info@kollegal.ac.in,admissions@kollegal.ac.in,placement@kollegal.ac.in,+91-80-165-7483,Computer Science Engineering (CSE),Diploma,60,180,1988,Rural,Yes,Yes
1-44638371498,1-44638371498,U-0957,GOVERNMENT POLYTECHNIC KOLLEGAL,Active,Karnataka,Chamarajnagar,Chamarajnagar,T-NARASIPURA KOLLEGAL MAIN ROAD CHILAKAVADI VILLAGE,560457,15.325094,75.695756,Government,"Department of Technical Education, Bangalore",Approved,Approved,B,No,,Tier 3,http://www.kollegal.ac.in,info@kollegal.ac.in,admissions@kollegal.ac.in,placement@kollegal.ac.in,+91-80-165-7483,Electronics & Communication Engineering (ECE),Diploma,60,180,1988,Rural,Yes,Yes
1-44638371498,1-44638371498,U-0957,GOVERNMENT POLYTECHNIC KOLLEGAL,Active,Karnataka,Chamarajnagar,Chamarajnagar,T-NARASIPURA KOLLEGAL MAIN ROAD CHILAKAVADI VILLAGE,560457,15.325094,75.695756,Government,"Department of Technical Education, Bangalore",Approved,Approved,B,No,,Tier 3,http://www.kollegal.ac.in,info@kollegal.ac.in,admissions@kollegal.ac.in,placement@kollegal.ac.in,+91-80-165-7483,Electrical & Electronics Engineering (EEE),Diploma,60,180,1988,Rural,Yes,Yes
1-44639940315,1-44639940315,U-0359,GOVERNEMENT TOOL ROOM & TRAINING CENTRE -GUNDLUPET,Active,Karnataka,Chamarajnagar,Chamarajnagar,"GOVERNMENT TOOL ROOM AND TRAINING CENTRE, DUNDASANAPURA, HOSUR ROAD, GUNDLUPET - 571111",571111,15.29917,75.714729,Government,None,Approved,Approved,A,No,,Tier 2,http://www.governementtoolroom.ac.in,info@governementtoolroom.ac.in,admissions@governementtoolroom.ac.in,placement@governementtoolroom.ac.in,+91-80-078-4261,Other Engineering Branches,Diploma,60,180,1999,Urban,No,No
1-44639940315,1-44639940315,U-0359,GOVERNEMENT TOOL ROOM & TRAINING CENTRE -GUNDLUPET,Active,Karnataka,Chamarajnagar,Chamarajnagar,"GOVERNMENT TOOL ROOM AND TRAINING CENTRE, DUNDASANAPURA, HOSUR ROAD, GUNDLUPET - 571111",571111,15.29917,75.714729,Government,None,Approved,Approved,A,No,,Tier 2,http://www.governementtoolroom.ac.in,info@governementtoolroom.ac.in,admissions@governementtoolroom.ac.in,placement@governementtoolroom.ac.in,+91-80-078-4261,Mechanical Engineering,Diploma,60,180,1999,Urban,No,No
1-44639940315,1-44639940315,U-0359,GOVERNEMENT TOOL ROOM & TRAINING CENTRE -GUNDLUPET,Active,Karnataka,Chamarajnagar,Chamarajnagar,"GOVERNMENT TOOL ROOM AND TRAINING CENTRE, DUNDASANAPURA, HOSUR ROAD, GUNDLUPET - 571111",571111,15.29917,75.714729,Government,None,Approved,Approved,A,No,,Tier 2,http://www.governementtoolroom.ac.in,info@governementtoolroom.ac.in,admissions@governementtoolroom.ac.in,placement@governementtoolroom.ac.in,+91-80-078-4261,Electrical & Electronics Engineering (EEE),Diploma,60,180,1999,Urban,No,No
1-44640514017,1-44640514017,U-0957,"GOVT. POLYTECHNIC, CHAMARAJANAGAR",Active,Karnataka,Chamarajnagar,Chamarajnagar,GOVT. POLYTECHNIC CHAMARAJANAGAR CHAMARAJANAGAR DISTRICT KARNATAKA,560457,15.320779,75.729851,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.govtchamarajanagar.ac.in,info@govtchamarajanagar.ac.in,admissions@govtchamarajanagar.ac.in,placement@govtchamarajanagar.ac.in,+91-80-984-8038,Civil Engineering,Diploma,60,300,2019,Rural,Yes,Yes
1-44640514017,1-44640514017,U-0957,"GOVT. POLYTECHNIC, CHAMARAJANAGAR",Active,Karnataka,Chamarajnagar,Chamarajnagar,GOVT. POLYTECHNIC CHAMARAJANAGAR CHAMARAJANAGAR DISTRICT KARNATAKA,560457,15.320779,75.729851,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.govtchamarajanagar.ac.in,info@govtchamarajanagar.ac.in,admissions@govtchamarajanagar.ac.in,placement@govtchamarajanagar.ac.in,+91-80-984-8038,Computer Science Engineering (CSE),Diploma,60,300,2019,Rural,Yes,Yes
1-44640514017,1-44640514017,U-0957,"GOVT. POLYTECHNIC, CHAMARAJANAGAR",Active,Karnataka,Chamarajnagar,Chamarajnagar,GOVT. POLYTECHNIC CHAMARAJANAGAR CHAMARAJANAGAR DISTRICT KARNATAKA,560457,15.320779,75.729851,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.govtchamarajanagar.ac.in,info@govtchamarajanagar.ac.in,admissions@govtchamarajanagar.ac.in,placement@govtchamarajanagar.ac.in,+91-80-984-8038,Electronics & Communication Engineering (ECE),Diploma,60,300,2019,Rural,Yes,Yes
1-44640514017,1-44640514017,U-0957,"GOVT. POLYTECHNIC, CHAMARAJANAGAR",Active,Karnataka,Chamarajnagar,Chamarajnagar,GOVT. POLYTECHNIC CHAMARAJANAGAR CHAMARAJANAGAR DISTRICT KARNATAKA,560457,15.320779,75.729851,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.govtchamarajanagar.ac.in,info@govtchamarajanagar.ac.in,admissions@govtchamarajanagar.ac.in,placement@govtchamarajanagar.ac.in,+91-80-984-8038,Mechanical Engineering,Diploma,60,300,2019,Rural,Yes,Yes
