College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Civil Engineering,B.Tech,60,300,1981,Urban,Yes,Yes
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Mechanical Engineering,B.Tech,60,300,1981,Urban,Yes,Yes
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Computer Science Engineering (CSE),B.Tech,60,300,1981,Urban,Yes,Yes
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,300,1981,Urban,Yes,Yes
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Robotics,B.Tech,60,300,1981,Urban,Yes,Yes
1-44638494240,1-44638494240,U-0678,GOVERNMENT POLYTECHNIC CHAMPAWAT,Active,Uttarakhand,Champawat,Champawat,FIRST FLOOR NAGAR PALIKA SHOPPING COMPLEX GORAL CHAUR ROAD CHAMPAWAT,248070,30.071729,79.021015,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.champawat.ac.in,info@champawat.ac.in,admissions@champawat.ac.in,placement@champawat.ac.in,+91-80-045-5946,Electrical Engineering,Diploma,30,60,1995,Urban,Yes,No
1-44638494240,1-44638494240,U-0678,GOVERNMENT POLYTECHNIC CHAMPAWAT,Active,Uttarakhand,Champawat,Champawat,FIRST FLOOR NAGAR PALIKA SHOPPING COMPLEX GORAL CHAUR ROAD CHAMPAWAT,248070,30.071729,79.021015,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.champawat.ac.in,info@champawat.ac.in,admissions@champawat.ac.in,placement@champawat.ac.in,+91-80-045-5946,Computer Science Engineering (CSE),Diploma,30,60,1995,Urban,Yes,No
1-44638780761,1-44638780761,U-0678,GOVERNMENT POLYTECHNIC TANAKPUR,Active,Uttarakhand,Champawat,Champawat,"VILL- NAIK KHERA,  GOVT. POLYTECHNIC TANAKPUR",248070,30.0829,79.008913,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.tanakpur.ac.in,info@tanakpur.ac.in,admissions@tanakpur.ac.in,placement@tanakpur.ac.in,+91-80-514-1181,Civil Engineering,Diploma,30,60,2021,Urban,No,Yes
1-44638780761,1-44638780761,U-0678,GOVERNMENT POLYTECHNIC TANAKPUR,Active,Uttarakhand,Champawat,Champawat,"VILL- NAIK KHERA,  GOVT. POLYTECHNIC TANAKPUR",248070,30.0829,79.008913,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.tanakpur.ac.in,info@tanakpur.ac.in,admissions@tanakpur.ac.in,placement@tanakpur.ac.in,+91-80-514-1181,Computer Science Engineering (CSE),Diploma,30,60,2021,Urban,No,Yes
1-44640658287,1-44640658287,U-0343,BHAGIRATHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT COLLEGE (POLYTECHNIC),Active,Uttarakhand,Champawat,Champawat,"DEVIDHAR, LOHAGHAT, CHAMPAWAT PIN-262524 UTTARAKHAND",262524,30.059289,79.032176,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B,No,,Tier 3,http://www.bhagirathimanagement.ac.in,info@bhagirathimanagement.ac.in,admissions@bhagirathimanagement.ac.in,placement@bhagirathimanagement.ac.in,+91-80-523-8226,Electrical Engineering,Diploma,30,120,2011,Urban,Yes,Yes
1-44640658287,1-44640658287,U-0343,BHAGIRATHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT COLLEGE (POLYTECHNIC),Active,Uttarakhand,Champawat,Champawat,"DEVIDHAR, LOHAGHAT, CHAMPAWAT PIN-262524 UTTARAKHAND",262524,30.059289,79.032176,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B,No,,Tier 3,http://www.bhagirathimanagement.ac.in,info@bhagirathimanagement.ac.in,admissions@bhagirathimanagement.ac.in,placement@bhagirathimanagement.ac.in,+91-80-523-8226,Civil Engineering,Diploma,60,120,2011,Urban,Yes,Yes
1-44640658287,1-44640658287,U-0343,BHAGIRATHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT COLLEGE (POLYTECHNIC),Active,Uttarakhand,Champawat,Champawat,"DEVIDHAR, LOHAGHAT, CHAMPAWAT PIN-262524 UTTARAKHAND",262524,30.059289,79.032176,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B,No,,Tier 3,http://www.bhagirathimanagement.ac.in,info@bhagirathimanagement.ac.in,admissions@bhagirathimanagement.ac.in,placement@bhagirathimanagement.ac.in,+91-80-523-8226,Mechanical Engineering,Diploma,30,120,2011,Urban,Yes,Yes
1-44640341669,1-44640341669,U-0343,GOVERNMENT POLYTECHNIC LOHAGHAT,Active,Uttarakhand,Champawat,Champawat,GOVERNMENT POLYTECHNIC LOHAGHAT  CHHAMMANIYA,248070,30.072954,79.01602,Government,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B,No,,Tier 3,http://www.lohaghat.ac.in,info@lohaghat.ac.in,admissions@lohaghat.ac.in,placement@lohaghat.ac.in,+91-80-096-9707,Civil Engineering,Diploma,40,130,1992,Urban,Yes,Yes
1-44640341669,1-44640341669,U-0343,GOVERNMENT POLYTECHNIC LOHAGHAT,Active,Uttarakhand,Champawat,Champawat,GOVERNMENT POLYTECHNIC LOHAGHAT  CHHAMMANIYA,248070,30.072954,79.01602,Government,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B,No,,Tier 3,http://www.lohaghat.ac.in,info@lohaghat.ac.in,admissions@lohaghat.ac.in,placement@lohaghat.ac.in,+91-80-096-9707,Other Engineering Branches,Diploma,30,130,1992,Urban,Yes,Yes
1-44640341669,1-44640341669,U-0343,GOVERNMENT POLYTECHNIC LOHAGHAT,Active,Uttarakhand,Champawat,Champawat,GOVERNMENT POLYTECHNIC LOHAGHAT  CHHAMMANIYA,248070,30.072954,79.01602,Government,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B,No,,Tier 3,http://www.lohaghat.ac.in,info@lohaghat.ac.in,admissions@lohaghat.ac.in,placement@lohaghat.ac.in,+91-80-096-9707,Information Technology (IT),Diploma,30,130,1992,Urban,Yes,Yes
1-44640341669,1-44640341669,U-0343,GOVERNMENT POLYTECHNIC LOHAGHAT,Active,Uttarakhand,Champawat,Champawat,GOVERNMENT POLYTECHNIC LOHAGHAT  CHHAMMANIYA,248070,30.072954,79.01602,Government,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B,No,,Tier 3,http://www.lohaghat.ac.in,info@lohaghat.ac.in,admissions@lohaghat.ac.in,placement@lohaghat.ac.in,+91-80-096-9707,Mechanical Engineering,Diploma,30,130,1992,Urban,Yes,Yes
