College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638372371,1-44638372371,U-0992,SVKMS NMIMS DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PLOT NO5 OPP BOTANICAL GARDEN SARANGPUR CHANDIGARH,500829,30.73911,76.793539,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.svkmsnmimsdeemed.ac.in,info@svkmsnmimsdeemed.ac.in,admissions@svkmsnmimsdeemed.ac.in,placement@svkmsnmimsdeemed.ac.in,+91-80-082-5690,Data Science,B.Tech,120,300,1999,Urban,Yes,Yes
1-44638372371,1-44638372371,U-0992,SVKMS NMIMS DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PLOT NO5 OPP BOTANICAL GARDEN SARANGPUR CHANDIGARH,500829,30.73911,76.793539,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.svkmsnmimsdeemed.ac.in,info@svkmsnmimsdeemed.ac.in,admissions@svkmsnmimsdeemed.ac.in,placement@svkmsnmimsdeemed.ac.in,+91-80-082-5690,Computer Science Engineering (CSE),B.Tech,180,300,1999,Urban,Yes,Yes
1-44638390907,1-44638390907,U-0992,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,500829,30.74072,76.79481,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.punjabdeemedto.ac.in,info@punjabdeemedto.ac.in,admissions@punjabdeemedto.ac.in,placement@punjabdeemedto.ac.in,+91-80-150-1026,Other Engineering Branches,B.Tech,190,1055,1992,Urban,Yes,Yes
1-44638390907,1-44638390907,U-0992,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,500829,30.74072,76.79481,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.punjabdeemedto.ac.in,info@punjabdeemedto.ac.in,admissions@punjabdeemedto.ac.in,placement@punjabdeemedto.ac.in,+91-80-150-1026,Civil Engineering,B.Tech,120,1055,1992,Urban,Yes,Yes
1-44638390907,1-44638390907,U-0992,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,500829,30.74072,76.79481,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.punjabdeemedto.ac.in,info@punjabdeemedto.ac.in,admissions@punjabdeemedto.ac.in,placement@punjabdeemedto.ac.in,+91-80-150-1026,Computer Science Engineering (CSE),B.Tech,150,1055,1992,Urban,Yes,Yes
1-44638390907,1-44638390907,U-0992,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,500829,30.74072,76.79481,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.punjabdeemedto.ac.in,info@punjabdeemedto.ac.in,admissions@punjabdeemedto.ac.in,placement@punjabdeemedto.ac.in,+91-80-150-1026,Electrical Engineering,B.Tech,120,1055,1992,Urban,Yes,Yes
1-44638390907,1-44638390907,U-0992,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,500829,30.74072,76.79481,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.punjabdeemedto.ac.in,info@punjabdeemedto.ac.in,admissions@punjabdeemedto.ac.in,placement@punjabdeemedto.ac.in,+91-80-150-1026,Electronics & Communication Engineering (ECE),B.Tech,120,1055,1992,Urban,Yes,Yes
1-44638390907,1-44638390907,U-0992,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,500829,30.74072,76.79481,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.punjabdeemedto.ac.in,info@punjabdeemedto.ac.in,admissions@punjabdeemedto.ac.in,placement@punjabdeemedto.ac.in,+91-80-150-1026,Mechanical Engineering,B.Tech,120,1055,1992,Urban,Yes,Yes
1-44638390907,1-44638390907,U-0992,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,500829,30.74072,76.79481,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.punjabdeemedto.ac.in,info@punjabdeemedto.ac.in,admissions@punjabdeemedto.ac.in,placement@punjabdeemedto.ac.in,+91-80-150-1026,Other Engineering Branches,M.Tech,108,1055,1992,Urban,Yes,Yes
1-44638390907,1-44638390907,U-0992,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,Active,Chandigarh,Chandigarh,Chandigarh,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,500829,30.74072,76.79481,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.punjabdeemedto.ac.in,info@punjabdeemedto.ac.in,admissions@punjabdeemedto.ac.in,placement@punjabdeemedto.ac.in,+91-80-150-1026,Computer Science Engineering (CSE),M.Tech,25,1055,1992,Urban,Yes,Yes
