College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638257257,1-44638257257,U-0339,CENTRAL INSTITUE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,Active,Maharashtra,Chandrapur,Chandrapur,C-10/1 MIDC TADALI CHANDRAPUR,400563,19.758019,75.696454,Government,NONE,Approved,Approved,A+,Yes,,Tier 2,http://www.instituepetrochemicals.ac.in,info@instituepetrochemicals.ac.in,admissions@instituepetrochemicals.ac.in,placement@instituepetrochemicals.ac.in,+91-80-112-2704,Other Engineering Branches,Diploma,120,120,1986,Rural,Yes,Yes
1-44639422731,1-44639422731,U-0767,V J POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"AT- KHAMONA, TAH.- RAJURA, DIST.- CHANDRAPUR",400563,19.757706,75.727542,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.vj.ac.in,info@vj.ac.in,admissions@vj.ac.in,placement@vj.ac.in,+91-80-099-1831,Mechanical Engineering,Diploma,30,330,1997,Urban,Yes,Yes
1-44639422731,1-44639422731,U-0767,V J POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"AT- KHAMONA, TAH.- RAJURA, DIST.- CHANDRAPUR",400563,19.757706,75.727542,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.vj.ac.in,info@vj.ac.in,admissions@vj.ac.in,placement@vj.ac.in,+91-80-099-1831,Civil Engineering,Diploma,30,330,1997,Urban,Yes,Yes
1-44639422731,1-44639422731,U-0767,V J POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"AT- KHAMONA, TAH.- RAJURA, DIST.- CHANDRAPUR",400563,19.757706,75.727542,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.vj.ac.in,info@vj.ac.in,admissions@vj.ac.in,placement@vj.ac.in,+91-80-099-1831,Electrical Engineering,Diploma,30,330,1997,Urban,Yes,Yes
1-44639422731,1-44639422731,U-0767,V J POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"AT- KHAMONA, TAH.- RAJURA, DIST.- CHANDRAPUR",400563,19.757706,75.727542,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.vj.ac.in,info@vj.ac.in,admissions@vj.ac.in,placement@vj.ac.in,+91-80-099-1831,Mining Engineering,Diploma,60,330,1997,Urban,Yes,Yes
1-44639422731,1-44639422731,U-0767,V J POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"AT- KHAMONA, TAH.- RAJURA, DIST.- CHANDRAPUR",400563,19.757706,75.727542,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.vj.ac.in,info@vj.ac.in,admissions@vj.ac.in,placement@vj.ac.in,+91-80-099-1831,Other Engineering Branches,Diploma,60,330,1997,Urban,Yes,Yes
1-44639422731,1-44639422731,U-0767,V J POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"AT- KHAMONA, TAH.- RAJURA, DIST.- CHANDRAPUR",400563,19.757706,75.727542,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.vj.ac.in,info@vj.ac.in,admissions@vj.ac.in,placement@vj.ac.in,+91-80-099-1831,Computer Science Engineering (CSE),Diploma,60,330,1997,Urban,Yes,Yes
1-44639422731,1-44639422731,U-0767,V J POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"AT- KHAMONA, TAH.- RAJURA, DIST.- CHANDRAPUR",400563,19.757706,75.727542,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.vj.ac.in,info@vj.ac.in,admissions@vj.ac.in,placement@vj.ac.in,+91-80-099-1831,Information Technology (IT),Diploma,60,330,1997,Urban,Yes,Yes
1-44639327790,1-44639327790,U-0767,MATA MAHAKALI POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"BYE PASS ROAD,WARORA",400563,19.757779,75.727964,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.matamahakali.ac.in,info@matamahakali.ac.in,admissions@matamahakali.ac.in,placement@matamahakali.ac.in,+91-80-102-2298,Civil Engineering,Diploma,60,300,2004,Urban,Yes,Yes
1-44639327790,1-44639327790,U-0767,MATA MAHAKALI POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"BYE PASS ROAD,WARORA",400563,19.757779,75.727964,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.matamahakali.ac.in,info@matamahakali.ac.in,admissions@matamahakali.ac.in,placement@matamahakali.ac.in,+91-80-102-2298,Mechanical Engineering,Diploma,60,300,2004,Urban,Yes,Yes
1-44639327790,1-44639327790,U-0767,MATA MAHAKALI POLYTECHNIC,Active,Maharashtra,Chandrapur,Chandrapur,"BYE PASS ROAD,WARORA",400563,19.757779,75.727964,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.matamahakali.ac.in,info@matamahakali.ac.in,admissions@matamahakali.ac.in,placement@matamahakali.ac.in,+91-80-102-2298,Electrical Engineering,Diploma,60,300,2004,Urban,Yes,Yes
