College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638493681,1-44638493681,U-0294,"GOVERNMENT POLYTECHNIC COLLEGE,RK NAGAR",Active,Tamil Nadu,Chennai,Chennai,"KAMARAJ SALAI ,  TONDIARPET,  CHENNAI -81",600865,13.072685,80.282547,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.collegerknagar.ac.in,info@collegerknagar.ac.in,admissions@collegerknagar.ac.in,placement@collegerknagar.ac.in,+91-80-418-8107,Civil Engineering,Diploma,60,300,2013,Rural,No,No
1-44638493681,1-44638493681,U-0294,"GOVERNMENT POLYTECHNIC COLLEGE,RK NAGAR",Active,Tamil Nadu,Chennai,Chennai,"KAMARAJ SALAI ,  TONDIARPET,  CHENNAI -81",600865,13.072685,80.282547,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.collegerknagar.ac.in,info@collegerknagar.ac.in,admissions@collegerknagar.ac.in,placement@collegerknagar.ac.in,+91-80-418-8107,Mechanical Engineering,Diploma,60,300,2013,Rural,No,No
1-44638493681,1-44638493681,U-0294,"GOVERNMENT POLYTECHNIC COLLEGE,RK NAGAR",Active,Tamil Nadu,Chennai,Chennai,"KAMARAJ SALAI ,  TONDIARPET,  CHENNAI -81",600865,13.072685,80.282547,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.collegerknagar.ac.in,info@collegerknagar.ac.in,admissions@collegerknagar.ac.in,placement@collegerknagar.ac.in,+91-80-418-8107,Electrical & Electronics Engineering (EEE),Diploma,60,300,2013,Rural,No,No
1-44638493681,1-44638493681,U-0294,"GOVERNMENT POLYTECHNIC COLLEGE,RK NAGAR",Active,Tamil Nadu,Chennai,Chennai,"KAMARAJ SALAI ,  TONDIARPET,  CHENNAI -81",600865,13.072685,80.282547,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.collegerknagar.ac.in,info@collegerknagar.ac.in,admissions@collegerknagar.ac.in,placement@collegerknagar.ac.in,+91-80-418-8107,Electronics & Communication Engineering (ECE),Diploma,60,300,2013,Rural,No,No
1-44638493681,1-44638493681,U-0294,"GOVERNMENT POLYTECHNIC COLLEGE,RK NAGAR",Active,Tamil Nadu,Chennai,Chennai,"KAMARAJ SALAI ,  TONDIARPET,  CHENNAI -81",600865,13.072685,80.282547,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.collegerknagar.ac.in,info@collegerknagar.ac.in,admissions@collegerknagar.ac.in,placement@collegerknagar.ac.in,+91-80-418-8107,Computer Science Engineering (CSE),Diploma,60,300,2013,Rural,No,No
1-44638393909,1-44638393909,U-0992,NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING AND RESEARCH,Active,Tamil Nadu,Chennai,Chennai,TARAMANI CHENNAI,600865,13.088518,80.274094,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.nationaltechnicalteachers.ac.in,info@nationaltechnicalteachers.ac.in,admissions@nationaltechnicalteachers.ac.in,placement@nationaltechnicalteachers.ac.in,+91-80-082-8693,Other Engineering Branches,M.Tech,120,210,2000,Urban,No,Yes
1-44638393909,1-44638393909,U-0992,NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING AND RESEARCH,Active,Tamil Nadu,Chennai,Chennai,TARAMANI CHENNAI,600865,13.088518,80.274094,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.nationaltechnicalteachers.ac.in,info@nationaltechnicalteachers.ac.in,admissions@nationaltechnicalteachers.ac.in,placement@nationaltechnicalteachers.ac.in,+91-80-082-8693,Mechanical Engineering,M.Tech,30,210,2000,Urban,No,Yes
1-44638393909,1-44638393909,U-0992,NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING AND RESEARCH,Active,Tamil Nadu,Chennai,Chennai,TARAMANI CHENNAI,600865,13.088518,80.274094,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.nationaltechnicalteachers.ac.in,info@nationaltechnicalteachers.ac.in,admissions@nationaltechnicalteachers.ac.in,placement@nationaltechnicalteachers.ac.in,+91-80-082-8693,Artificial Intelligence & Machine Learning (AI & ML),M.Tech,30,210,2000,Urban,No,Yes
1-44638393909,1-44638393909,U-0992,NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING AND RESEARCH,Active,Tamil Nadu,Chennai,Chennai,TARAMANI CHENNAI,600865,13.088518,80.274094,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.nationaltechnicalteachers.ac.in,info@nationaltechnicalteachers.ac.in,admissions@nationaltechnicalteachers.ac.in,placement@nationaltechnicalteachers.ac.in,+91-80-082-8693,Information Technology (IT),M.Tech,30,210,2000,Urban,No,Yes
1-44638177879,1-44638177879,U-0992,ANNA UNIVERSITY,Active,Tamil Nadu,Chennai,Chennai,SARDAR PATEL ROAD CHENNAI-25 TAMIL NADU,600865,13.100324,80.270998,State Government University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.anna.ac.in,info@anna.ac.in,admissions@anna.ac.in,placement@anna.ac.in,+91-80-578-0737,Robotics,M.Tech,12,3751,2005,Urban,No,Yes
