College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638205539,1-44638205539,U-0441,PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"VILLAGE GATHEORA,PANNA ROAD",452807,22.980357,78.650486,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,No,,Tier 3,http://www.ptdevprabhakarshastri.ac.in,info@ptdevprabhakarshastri.ac.in,admissions@ptdevprabhakarshastri.ac.in,placement@ptdevprabhakarshastri.ac.in,+91-80-130-6582,Mechanical Engineering,B.Tech,42,228,1988,Urban,Yes,Yes
1-44638205539,1-44638205539,U-0441,PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"VILLAGE GATHEORA,PANNA ROAD",452807,22.980357,78.650486,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,No,,Tier 3,http://www.ptdevprabhakarshastri.ac.in,info@ptdevprabhakarshastri.ac.in,admissions@ptdevprabhakarshastri.ac.in,placement@ptdevprabhakarshastri.ac.in,+91-80-130-6582,Civil Engineering,B.Tech,42,228,1988,Urban,Yes,Yes
1-44638205539,1-44638205539,U-0441,PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"VILLAGE GATHEORA,PANNA ROAD",452807,22.980357,78.650486,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,No,,Tier 3,http://www.ptdevprabhakarshastri.ac.in,info@ptdevprabhakarshastri.ac.in,admissions@ptdevprabhakarshastri.ac.in,placement@ptdevprabhakarshastri.ac.in,+91-80-130-6582,Computer Science Engineering (CSE),B.Tech,42,228,1988,Urban,Yes,Yes
1-44638205539,1-44638205539,U-0441,PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"VILLAGE GATHEORA,PANNA ROAD",452807,22.980357,78.650486,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,No,,Tier 3,http://www.ptdevprabhakarshastri.ac.in,info@ptdevprabhakarshastri.ac.in,admissions@ptdevprabhakarshastri.ac.in,placement@ptdevprabhakarshastri.ac.in,+91-80-130-6582,Information Technology (IT),B.Tech,42,228,1988,Urban,Yes,Yes
1-44638205539,1-44638205539,U-0441,PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"VILLAGE GATHEORA,PANNA ROAD",452807,22.980357,78.650486,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,No,,Tier 3,http://www.ptdevprabhakarshastri.ac.in,info@ptdevprabhakarshastri.ac.in,admissions@ptdevprabhakarshastri.ac.in,placement@ptdevprabhakarshastri.ac.in,+91-80-130-6582,Electronics & Communication Engineering (ECE),B.Tech,30,228,1988,Urban,Yes,Yes
1-44638205539,1-44638205539,U-0441,PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"VILLAGE GATHEORA,PANNA ROAD",452807,22.980357,78.650486,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,No,,Tier 3,http://www.ptdevprabhakarshastri.ac.in,info@ptdevprabhakarshastri.ac.in,admissions@ptdevprabhakarshastri.ac.in,placement@ptdevprabhakarshastri.ac.in,+91-80-130-6582,Electrical Engineering,B.Tech,30,228,1988,Urban,Yes,Yes
1-44639660991,1-44639660991,U-0441,POLYTECHINC COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,NH 75 JHANSI RAOAD NOWGONG,452807,22.992144,78.644111,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechincnowgong.ac.in,info@polytechincnowgong.ac.in,admissions@polytechincnowgong.ac.in,placement@polytechincnowgong.ac.in,+91-80-625-0414,Civil Engineering,Diploma,54,270,1991,Urban,Yes,No
1-44639660991,1-44639660991,U-0441,POLYTECHINC COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,NH 75 JHANSI RAOAD NOWGONG,452807,22.992144,78.644111,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechincnowgong.ac.in,info@polytechincnowgong.ac.in,admissions@polytechincnowgong.ac.in,placement@polytechincnowgong.ac.in,+91-80-625-0414,Electronics & Communication Engineering (ECE),Diploma,54,270,1991,Urban,Yes,No
1-44639660991,1-44639660991,U-0441,POLYTECHINC COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,NH 75 JHANSI RAOAD NOWGONG,452807,22.992144,78.644111,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechincnowgong.ac.in,info@polytechincnowgong.ac.in,admissions@polytechincnowgong.ac.in,placement@polytechincnowgong.ac.in,+91-80-625-0414,Electrical Engineering,Diploma,54,270,1991,Urban,Yes,No
1-44639660991,1-44639660991,U-0441,POLYTECHINC COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,NH 75 JHANSI RAOAD NOWGONG,452807,22.992144,78.644111,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechincnowgong.ac.in,info@polytechincnowgong.ac.in,admissions@polytechincnowgong.ac.in,placement@polytechincnowgong.ac.in,+91-80-625-0414,Mechanical Engineering,Diploma,54,270,1991,Urban,Yes,No
1-44639660991,1-44639660991,U-0441,POLYTECHINC COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,NH 75 JHANSI RAOAD NOWGONG,452807,22.992144,78.644111,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechincnowgong.ac.in,info@polytechincnowgong.ac.in,admissions@polytechincnowgong.ac.in,placement@polytechincnowgong.ac.in,+91-80-625-0414,Computer Science Engineering (CSE),Diploma,54,270,1991,Urban,Yes,No
1-44641014149,1-44641014149,U-0441,ENGINEERING COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"NH-75, JHANSI ROAD, NOWGONG, CHHATARPUR,MP",452807,22.970674,78.669973,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-724-5523,Civil Engineering,B.Tech,60,300,1985,Rural,No,Yes
1-44641014149,1-44641014149,U-0441,ENGINEERING COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"NH-75, JHANSI ROAD, NOWGONG, CHHATARPUR,MP",452807,22.970674,78.669973,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-724-5523,Mechanical Engineering,B.Tech,60,300,1985,Rural,No,Yes
1-44641014149,1-44641014149,U-0441,ENGINEERING COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"NH-75, JHANSI ROAD, NOWGONG, CHHATARPUR,MP",452807,22.970674,78.669973,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-724-5523,Electrical Engineering,B.Tech,60,300,1985,Rural,No,Yes
1-44641014149,1-44641014149,U-0441,ENGINEERING COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"NH-75, JHANSI ROAD, NOWGONG, CHHATARPUR,MP",452807,22.970674,78.669973,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-724-5523,Computer Science Engineering (CSE),B.Tech,60,300,1985,Rural,No,Yes
1-44641014149,1-44641014149,U-0441,ENGINEERING COLLEGE NOWGONG,Active,Madhya Pradesh,Chhatarpur,Chhatarpur,"NH-75, JHANSI ROAD, NOWGONG, CHHATARPUR,MP",452807,22.970674,78.669973,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.nowgong.ac.in,info@nowgong.ac.in,admissions@nowgong.ac.in,placement@nowgong.ac.in,+91-80-724-5523,Other Engineering Branches,B.Tech,60,300,1985,Rural,No,Yes
