College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638805641,1-44638805641,U-0339,GOVERNMENT TOOL ROOM AND TRAINING CENTRE GOWRIBIDANUR,Active,Karnataka,Chikaballapur,Chikaballapur,"PLOT NO 1P-1A, KUDUMALAKUNTE INDUSTRIAL AREA, HINDUPUR ROAD, GOWRIBIDANUR,",560124,15.326896,75.704,Government,NONE,Approved,Approved,A+,Yes,,Tier 2,http://www.toolroomtraining.ac.in,info@toolroomtraining.ac.in,admissions@toolroomtraining.ac.in,placement@toolroomtraining.ac.in,+91-80-241-3248,Mechanical Engineering,Diploma,120,150,2000,Urban,Yes,Yes
1-44638805641,1-44638805641,U-0339,GOVERNMENT TOOL ROOM AND TRAINING CENTRE GOWRIBIDANUR,Active,Karnataka,Chikaballapur,Chikaballapur,"PLOT NO 1P-1A, KUDUMALAKUNTE INDUSTRIAL AREA, HINDUPUR ROAD, GOWRIBIDANUR,",560124,15.326896,75.704,Government,NONE,Approved,Approved,A+,Yes,,Tier 2,http://www.toolroomtraining.ac.in,info@toolroomtraining.ac.in,admissions@toolroomtraining.ac.in,placement@toolroomtraining.ac.in,+91-80-241-3248,Other Engineering Branches,Diploma,30,150,2000,Urban,Yes,Yes
1-44638887291,1-44638887291,U-0957,GOVERNMENT POLYTECHNIC GAURIBIDANURU,Active,Karnataka,Chikaballapur,Chikaballapur,IDAGURU ROAD GAURIBIDANURU THALUK,560124,15.332924,75.701533,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.gauribidanuru.ac.in,info@gauribidanuru.ac.in,admissions@gauribidanuru.ac.in,placement@gauribidanuru.ac.in,+91-80-494-1744,Other Engineering Branches,Diploma,60,120,2015,Urban,Yes,Yes
1-44638887291,1-44638887291,U-0957,GOVERNMENT POLYTECHNIC GAURIBIDANURU,Active,Karnataka,Chikaballapur,Chikaballapur,IDAGURU ROAD GAURIBIDANURU THALUK,560124,15.332924,75.701533,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.gauribidanuru.ac.in,info@gauribidanuru.ac.in,admissions@gauribidanuru.ac.in,placement@gauribidanuru.ac.in,+91-80-494-1744,Automobile Engineering,Diploma,60,120,2015,Urban,Yes,Yes
1-44641452793,1-44641452793,U-0294,K.V.T. POLYTECHNIC,Active,Karnataka,Chikaballapur,Chikaballapur,"C.V.V CAMPUS,CHICKBALLAPUR.",560124,15.299527,75.702866,Govt aided,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.kvt.ac.in,info@kvt.ac.in,admissions@kvt.ac.in,placement@kvt.ac.in,+91-80-093-4201,Mechanical Engineering,Diploma,100,250,1993,Urban,Yes,Yes
1-44641452793,1-44641452793,U-0294,K.V.T. POLYTECHNIC,Active,Karnataka,Chikaballapur,Chikaballapur,"C.V.V CAMPUS,CHICKBALLAPUR.",560124,15.299527,75.702866,Govt aided,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.kvt.ac.in,info@kvt.ac.in,admissions@kvt.ac.in,placement@kvt.ac.in,+91-80-093-4201,Electronics & Communication Engineering (ECE),Diploma,60,250,1993,Urban,Yes,Yes
1-44641452793,1-44641452793,U-0294,K.V.T. POLYTECHNIC,Active,Karnataka,Chikaballapur,Chikaballapur,"C.V.V CAMPUS,CHICKBALLAPUR.",560124,15.299527,75.702866,Govt aided,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.kvt.ac.in,info@kvt.ac.in,admissions@kvt.ac.in,placement@kvt.ac.in,+91-80-093-4201,Computer Science Engineering (CSE),Diploma,45,250,1993,Urban,Yes,Yes
1-44641452793,1-44641452793,U-0294,K.V.T. POLYTECHNIC,Active,Karnataka,Chikaballapur,Chikaballapur,"C.V.V CAMPUS,CHICKBALLAPUR.",560124,15.299527,75.702866,Govt aided,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.kvt.ac.in,info@kvt.ac.in,admissions@kvt.ac.in,placement@kvt.ac.in,+91-80-093-4201,Automobile Engineering,Diploma,45,250,1993,Urban,Yes,Yes
1-44641432522,1-44641432522,U-0957,GOVT POLYTECHNIC BAGEPALLI,Active,Karnataka,Chikaballapur,Chikaballapur,"NH-7, GOVT POLYTECHNIC BAGEPALLI",560124,15.332065,75.707144,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbagepalli.ac.in,info@govtbagepalli.ac.in,admissions@govtbagepalli.ac.in,placement@govtbagepalli.ac.in,+91-80-458-1332,Automobile Engineering,Diploma,30,210,2013,Urban,Yes,No
1-44641432522,1-44641432522,U-0957,GOVT POLYTECHNIC BAGEPALLI,Active,Karnataka,Chikaballapur,Chikaballapur,"NH-7, GOVT POLYTECHNIC BAGEPALLI",560124,15.332065,75.707144,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.govtbagepalli.ac.in,info@govtbagepalli.ac.in,admissions@govtbagepalli.ac.in,placement@govtbagepalli.ac.in,+91-80-458-1332,Mechanical Engineering,Diploma,60,210,2013,Urban,Yes,No
