College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638371925,1-44638371925,U-0957,GOVERNMENT POLYTECHNIC KADUR,Active,Karnataka,Chikmagalur,Chikmagalur,HARUVANAHALLI VILLAGE,560296,15.305133,75.71355,Government,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 2,http://www.kadur.ac.in,info@kadur.ac.in,admissions@kadur.ac.in,placement@kadur.ac.in,+91-80-328-5629,Electronics & Communication Engineering (ECE),Diploma,60,150,2008,Urban,Yes,No
1-44638371925,1-44638371925,U-0957,GOVERNMENT POLYTECHNIC KADUR,Active,Karnataka,Chikmagalur,Chikmagalur,HARUVANAHALLI VILLAGE,560296,15.305133,75.71355,Government,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 2,http://www.kadur.ac.in,info@kadur.ac.in,admissions@kadur.ac.in,placement@kadur.ac.in,+91-80-328-5629,Computer Science Engineering (CSE),Diploma,60,150,2008,Urban,Yes,No
1-44638371925,1-44638371925,U-0957,GOVERNMENT POLYTECHNIC KADUR,Active,Karnataka,Chikmagalur,Chikmagalur,HARUVANAHALLI VILLAGE,560296,15.305133,75.71355,Government,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 2,http://www.kadur.ac.in,info@kadur.ac.in,admissions@kadur.ac.in,placement@kadur.ac.in,+91-80-328-5629,Electrical & Electronics Engineering (EEE),Diploma,30,150,2008,Urban,Yes,No
1-44638892653,1-44638892653,U-0957,GOVERNMENT POLYTECHNIC KOPPA,Active,Karnataka,Chikmagalur,Chikmagalur,GOVERNMENT POLYTECHNIC BALAGADI KOPPA,560296,15.309183,75.701275,Government,"Department of Technical Education, Bangalore",Approved,Approved,B,No,,Tier 3,http://www.koppa.ac.in,info@koppa.ac.in,admissions@koppa.ac.in,placement@koppa.ac.in,+91-80-498-4111,Other Engineering Branches,Diploma,120,120,1992,Rural,No,Yes
1-44640077577,1-44640077577,U-0957,ADICHUNCHANAGIRI POLYTECHNIC,Active,Karnataka,Chikmagalur,Chikmagalur,"ADICHUNCHANAGIRI EXTENSION, JYOTHINAGAR POST, CHIKMAGALUR TALUK, CHIKMAGALUR DIST.",560296,15.308211,75.71651,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,B,Yes,,Tier 3,http://www.adichunchanagiri.ac.in,info@adichunchanagiri.ac.in,admissions@adichunchanagiri.ac.in,placement@adichunchanagiri.ac.in,+91-80-457-6400,Electronics & Communication Engineering (ECE),Diploma,60,280,2022,Urban,Yes,Yes
1-44640077577,1-44640077577,U-0957,ADICHUNCHANAGIRI POLYTECHNIC,Active,Karnataka,Chikmagalur,Chikmagalur,"ADICHUNCHANAGIRI EXTENSION, JYOTHINAGAR POST, CHIKMAGALUR TALUK, CHIKMAGALUR DIST.",560296,15.308211,75.71651,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,B,Yes,,Tier 3,http://www.adichunchanagiri.ac.in,info@adichunchanagiri.ac.in,admissions@adichunchanagiri.ac.in,placement@adichunchanagiri.ac.in,+91-80-457-6400,Computer Science Engineering (CSE),Diploma,60,280,2022,Urban,Yes,Yes
1-44640077577,1-44640077577,U-0957,ADICHUNCHANAGIRI POLYTECHNIC,Active,Karnataka,Chikmagalur,Chikmagalur,"ADICHUNCHANAGIRI EXTENSION, JYOTHINAGAR POST, CHIKMAGALUR TALUK, CHIKMAGALUR DIST.",560296,15.308211,75.71651,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,B,Yes,,Tier 3,http://www.adichunchanagiri.ac.in,info@adichunchanagiri.ac.in,admissions@adichunchanagiri.ac.in,placement@adichunchanagiri.ac.in,+91-80-457-6400,Civil Engineering,Diploma,60,280,2022,Urban,Yes,Yes
1-44640077577,1-44640077577,U-0957,ADICHUNCHANAGIRI POLYTECHNIC,Active,Karnataka,Chikmagalur,Chikmagalur,"ADICHUNCHANAGIRI EXTENSION, JYOTHINAGAR POST, CHIKMAGALUR TALUK, CHIKMAGALUR DIST.",560296,15.308211,75.71651,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,B,Yes,,Tier 3,http://www.adichunchanagiri.ac.in,info@adichunchanagiri.ac.in,admissions@adichunchanagiri.ac.in,placement@adichunchanagiri.ac.in,+91-80-457-6400,Mechanical Engineering,Diploma,60,280,2022,Urban,Yes,Yes
1-44640077577,1-44640077577,U-0957,ADICHUNCHANAGIRI POLYTECHNIC,Active,Karnataka,Chikmagalur,Chikmagalur,"ADICHUNCHANAGIRI EXTENSION, JYOTHINAGAR POST, CHIKMAGALUR TALUK, CHIKMAGALUR DIST.",560296,15.308211,75.71651,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,B,Yes,,Tier 3,http://www.adichunchanagiri.ac.in,info@adichunchanagiri.ac.in,admissions@adichunchanagiri.ac.in,placement@adichunchanagiri.ac.in,+91-80-457-6400,Electrical & Electronics Engineering (EEE),Diploma,40,280,2022,Urban,Yes,Yes
1-44640078776,1-44640078776,U-0294,DACG GOVERNMENT POLYTECHNIC,Active,Karnataka,Chikmagalur,Chikmagalur,"RATHNAGIRI ROAD,",560296,15.332882,75.710297,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.dacg.ac.in,info@dacg.ac.in,admissions@dacg.ac.in,placement@dacg.ac.in,+91-80-492-4136,Automobile Engineering,Diploma,50,350,2011,Urban,Yes,No
