College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638844676,1-44638844676,U-0853,JNTUA COLLEGE OF ENGINEERING KALIKIRI,Active,Andhra Pradesh,Chittoor,Chittoor,MADANAPALLE ROAD,500241,13.237017,79.089024,Government,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B,No,,Tier 3,http://www.jntuakalikiri.ac.in,info@jntuakalikiri.ac.in,admissions@jntuakalikiri.ac.in,placement@jntuakalikiri.ac.in,+91-80-670-0215,Civil Engineering,B.Tech,60,360,2015,Urban,Yes,Yes
1-44638844676,1-44638844676,U-0853,JNTUA COLLEGE OF ENGINEERING KALIKIRI,Active,Andhra Pradesh,Chittoor,Chittoor,MADANAPALLE ROAD,500241,13.237017,79.089024,Government,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B,No,,Tier 3,http://www.jntuakalikiri.ac.in,info@jntuakalikiri.ac.in,admissions@jntuakalikiri.ac.in,placement@jntuakalikiri.ac.in,+91-80-670-0215,Electrical & Electronics Engineering (EEE),B.Tech,60,360,2015,Urban,Yes,Yes
1-44638844676,1-44638844676,U-0853,JNTUA COLLEGE OF ENGINEERING KALIKIRI,Active,Andhra Pradesh,Chittoor,Chittoor,MADANAPALLE ROAD,500241,13.237017,79.089024,Government,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B,No,,Tier 3,http://www.jntuakalikiri.ac.in,info@jntuakalikiri.ac.in,admissions@jntuakalikiri.ac.in,placement@jntuakalikiri.ac.in,+91-80-670-0215,Mechanical Engineering,B.Tech,60,360,2015,Urban,Yes,Yes
1-44638844676,1-44638844676,U-0853,JNTUA COLLEGE OF ENGINEERING KALIKIRI,Active,Andhra Pradesh,Chittoor,Chittoor,MADANAPALLE ROAD,500241,13.237017,79.089024,Government,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B,No,,Tier 3,http://www.jntuakalikiri.ac.in,info@jntuakalikiri.ac.in,admissions@jntuakalikiri.ac.in,placement@jntuakalikiri.ac.in,+91-80-670-0215,Electronics & Communication Engineering (ECE),B.Tech,60,360,2015,Urban,Yes,Yes
1-44638844676,1-44638844676,U-0853,JNTUA COLLEGE OF ENGINEERING KALIKIRI,Active,Andhra Pradesh,Chittoor,Chittoor,MADANAPALLE ROAD,500241,13.237017,79.089024,Government,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B,No,,Tier 3,http://www.jntuakalikiri.ac.in,info@jntuakalikiri.ac.in,admissions@jntuakalikiri.ac.in,placement@jntuakalikiri.ac.in,+91-80-670-0215,Computer Science Engineering (CSE),B.Tech,60,360,2015,Urban,Yes,Yes
1-44638844676,1-44638844676,U-0853,JNTUA COLLEGE OF ENGINEERING KALIKIRI,Active,Andhra Pradesh,Chittoor,Chittoor,MADANAPALLE ROAD,500241,13.237017,79.089024,Government,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B,No,,Tier 3,http://www.jntuakalikiri.ac.in,info@jntuakalikiri.ac.in,admissions@jntuakalikiri.ac.in,placement@jntuakalikiri.ac.in,+91-80-670-0215,Other Engineering Branches,B.Tech,60,360,2015,Urban,Yes,Yes
1-44638847332,1-44638847332,U-0853,MOTHER THERESA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Andhra Pradesh,Chittoor,Chittoor,"MELUMOI VILLAGE AND POST, PALAMANER, CHITTOOR DIST, ANDHRA PRADESH 517408",517408,13.211374,79.11927,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,A,No,,Tier 3,http://www.mothertheresa.ac.in,info@mothertheresa.ac.in,admissions@mothertheresa.ac.in,placement@mothertheresa.ac.in,+91-80-594-5337,Civil Engineering,B.Tech,60,858,2012,Urban,Yes,Yes
1-44638847332,1-44638847332,U-0853,MOTHER THERESA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Andhra Pradesh,Chittoor,Chittoor,"MELUMOI VILLAGE AND POST, PALAMANER, CHITTOOR DIST, ANDHRA PRADESH 517408",517408,13.211374,79.11927,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,A,No,,Tier 3,http://www.mothertheresa.ac.in,info@mothertheresa.ac.in,admissions@mothertheresa.ac.in,placement@mothertheresa.ac.in,+91-80-594-5337,Electrical & Electronics Engineering (EEE),B.Tech,60,858,2012,Urban,Yes,Yes
1-44638847332,1-44638847332,U-0853,MOTHER THERESA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Andhra Pradesh,Chittoor,Chittoor,"MELUMOI VILLAGE AND POST, PALAMANER, CHITTOOR DIST, ANDHRA PRADESH 517408",517408,13.211374,79.11927,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,A,No,,Tier 3,http://www.mothertheresa.ac.in,info@mothertheresa.ac.in,admissions@mothertheresa.ac.in,placement@mothertheresa.ac.in,+91-80-594-5337,Electronics & Communication Engineering (ECE),B.Tech,180,858,2012,Urban,Yes,Yes
1-44638847332,1-44638847332,U-0853,MOTHER THERESA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Andhra Pradesh,Chittoor,Chittoor,"MELUMOI VILLAGE AND POST, PALAMANER, CHITTOOR DIST, ANDHRA PRADESH 517408",517408,13.211374,79.11927,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,A,No,,Tier 3,http://www.mothertheresa.ac.in,info@mothertheresa.ac.in,admissions@mothertheresa.ac.in,placement@mothertheresa.ac.in,+91-80-594-5337,Computer Science Engineering (CSE),B.Tech,360,858,2012,Urban,Yes,Yes
