College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638247371,1-44638247371,U-0992,MEWAR POLYTECHNIC COLLEGE,Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.037266,74.202171,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.mewar.ac.in,info@mewar.ac.in,admissions@mewar.ac.in,placement@mewar.ac.in,+91-80-403-6507,Civil Engineering,Diploma,60,300,2009,Urban,Yes,Yes
1-44638247371,1-44638247371,U-0992,MEWAR POLYTECHNIC COLLEGE,Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.037266,74.202171,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.mewar.ac.in,info@mewar.ac.in,admissions@mewar.ac.in,placement@mewar.ac.in,+91-80-403-6507,Mechanical Engineering,Diploma,60,300,2009,Urban,Yes,Yes
1-44638247371,1-44638247371,U-0992,MEWAR POLYTECHNIC COLLEGE,Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.037266,74.202171,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.mewar.ac.in,info@mewar.ac.in,admissions@mewar.ac.in,placement@mewar.ac.in,+91-80-403-6507,Mining Engineering,Diploma,60,300,2009,Urban,Yes,Yes
1-44638247371,1-44638247371,U-0992,MEWAR POLYTECHNIC COLLEGE,Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.037266,74.202171,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.mewar.ac.in,info@mewar.ac.in,admissions@mewar.ac.in,placement@mewar.ac.in,+91-80-403-6507,Electrical Engineering,Diploma,60,300,2009,Urban,Yes,Yes
1-44638247371,1-44638247371,U-0992,MEWAR POLYTECHNIC COLLEGE,Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.037266,74.202171,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.mewar.ac.in,info@mewar.ac.in,admissions@mewar.ac.in,placement@mewar.ac.in,+91-80-403-6507,Computer Science Engineering (CSE),Diploma,60,300,2009,Urban,Yes,Yes
1-44638841979,1-44638841979,U-0992,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.009253,74.209337,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.mewarschoolmewar.ac.in,info@mewarschoolmewar.ac.in,admissions@mewarschoolmewar.ac.in,placement@mewarschoolmewar.ac.in,+91-80-228-7177,Civil Engineering,B.Tech,60,540,2022,Urban,Yes,Yes
1-44638841979,1-44638841979,U-0992,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.009253,74.209337,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.mewarschoolmewar.ac.in,info@mewarschoolmewar.ac.in,admissions@mewarschoolmewar.ac.in,placement@mewarschoolmewar.ac.in,+91-80-228-7177,Computer Science Engineering (CSE),B.Tech,120,540,2022,Urban,Yes,Yes
1-44638841979,1-44638841979,U-0992,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.009253,74.209337,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.mewarschoolmewar.ac.in,info@mewarschoolmewar.ac.in,admissions@mewarschoolmewar.ac.in,placement@mewarschoolmewar.ac.in,+91-80-228-7177,Electronics & Communication Engineering (ECE),B.Tech,30,540,2022,Urban,Yes,Yes
1-44638841979,1-44638841979,U-0992,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.009253,74.209337,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.mewarschoolmewar.ac.in,info@mewarschoolmewar.ac.in,admissions@mewarschoolmewar.ac.in,placement@mewarschoolmewar.ac.in,+91-80-228-7177,Electrical Engineering,B.Tech,60,540,2022,Urban,Yes,Yes
1-44638841979,1-44638841979,U-0992,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",Active,Rajasthan,Chittorgarh,Chittorgarh,"MEWAR UNIVERSITY, NH-79, GANGRAR, CHITTORGARH",302196,27.009253,74.209337,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.mewarschoolmewar.ac.in,info@mewarschoolmewar.ac.in,admissions@mewarschoolmewar.ac.in,placement@mewarschoolmewar.ac.in,+91-80-228-7177,Mechanical Engineering,B.Tech,60,540,2022,Urban,Yes,Yes
