College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640146813,1-44640146813,U-0197,"GOVERMENT POLYTECHNIC COLLEGE, JAISALMER(RAJ)",Active,Rajasthan,Churu,Churu,"GOVERNMENT POLYTECHNIC COLLEGE JAISALMER NEAR CENTRAL JAIL, RAMGARH ROAD, JAISALMER 345001",345001,27.010195,74.231827,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.govermentjaisalmerraj.ac.in,info@govermentjaisalmerraj.ac.in,admissions@govermentjaisalmerraj.ac.in,placement@govermentjaisalmerraj.ac.in,+91-80-268-2329,Electrical Engineering,Diploma,60,240,1989,Urban,No,Yes
1-44640146813,1-44640146813,U-0197,"GOVERMENT POLYTECHNIC COLLEGE, JAISALMER(RAJ)",Active,Rajasthan,Churu,Churu,"GOVERNMENT POLYTECHNIC COLLEGE JAISALMER NEAR CENTRAL JAIL, RAMGARH ROAD, JAISALMER 345001",345001,27.010195,74.231827,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.govermentjaisalmerraj.ac.in,info@govermentjaisalmerraj.ac.in,admissions@govermentjaisalmerraj.ac.in,placement@govermentjaisalmerraj.ac.in,+91-80-268-2329,Other Engineering Branches,Diploma,30,240,1989,Urban,No,Yes
1-44640146813,1-44640146813,U-0197,"GOVERMENT POLYTECHNIC COLLEGE, JAISALMER(RAJ)",Active,Rajasthan,Churu,Churu,"GOVERNMENT POLYTECHNIC COLLEGE JAISALMER NEAR CENTRAL JAIL, RAMGARH ROAD, JAISALMER 345001",345001,27.010195,74.231827,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.govermentjaisalmerraj.ac.in,info@govermentjaisalmerraj.ac.in,admissions@govermentjaisalmerraj.ac.in,placement@govermentjaisalmerraj.ac.in,+91-80-268-2329,Computer Science Engineering (CSE),Diploma,60,240,1989,Urban,No,Yes
1-44640146813,1-44640146813,U-0197,"GOVERMENT POLYTECHNIC COLLEGE, JAISALMER(RAJ)",Active,Rajasthan,Churu,Churu,"GOVERNMENT POLYTECHNIC COLLEGE JAISALMER NEAR CENTRAL JAIL, RAMGARH ROAD, JAISALMER 345001",345001,27.010195,74.231827,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.govermentjaisalmerraj.ac.in,info@govermentjaisalmerraj.ac.in,admissions@govermentjaisalmerraj.ac.in,placement@govermentjaisalmerraj.ac.in,+91-80-268-2329,Civil Engineering,Diploma,60,240,1989,Urban,No,Yes
1-44640146813,1-44640146813,U-0197,"GOVERMENT POLYTECHNIC COLLEGE, JAISALMER(RAJ)",Active,Rajasthan,Churu,Churu,"GOVERNMENT POLYTECHNIC COLLEGE JAISALMER NEAR CENTRAL JAIL, RAMGARH ROAD, JAISALMER 345001",345001,27.010195,74.231827,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 2,http://www.govermentjaisalmerraj.ac.in,info@govermentjaisalmerraj.ac.in,admissions@govermentjaisalmerraj.ac.in,placement@govermentjaisalmerraj.ac.in,+91-80-268-2329,Chemical Engineering,Diploma,30,240,1989,Urban,No,Yes
1-44639859792,1-44639859792,U-0197,SHREE SHOYCHAND INSTITUTE OF ENGINEERING AND TECHNOLOGY COLLEGE TARANAGAR CHURU,Active,Rajasthan,Churu,Churu,TARA NAGAR SADULPUR CHURU,302519,27.037201,74.235221,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,No,,Tier 3,http://www.shreeshoychandtaranagar.ac.in,info@shreeshoychandtaranagar.ac.in,admissions@shreeshoychandtaranagar.ac.in,placement@shreeshoychandtaranagar.ac.in,+91-80-400-9582,Civil Engineering,Diploma,120,300,2003,Urban,Yes,Yes
1-44639859792,1-44639859792,U-0197,SHREE SHOYCHAND INSTITUTE OF ENGINEERING AND TECHNOLOGY COLLEGE TARANAGAR CHURU,Active,Rajasthan,Churu,Churu,TARA NAGAR SADULPUR CHURU,302519,27.037201,74.235221,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,No,,Tier 3,http://www.shreeshoychandtaranagar.ac.in,info@shreeshoychandtaranagar.ac.in,admissions@shreeshoychandtaranagar.ac.in,placement@shreeshoychandtaranagar.ac.in,+91-80-400-9582,Electrical Engineering,Diploma,120,300,2003,Urban,Yes,Yes
1-44639859792,1-44639859792,U-0197,SHREE SHOYCHAND INSTITUTE OF ENGINEERING AND TECHNOLOGY COLLEGE TARANAGAR CHURU,Active,Rajasthan,Churu,Churu,TARA NAGAR SADULPUR CHURU,302519,27.037201,74.235221,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,No,,Tier 3,http://www.shreeshoychandtaranagar.ac.in,info@shreeshoychandtaranagar.ac.in,admissions@shreeshoychandtaranagar.ac.in,placement@shreeshoychandtaranagar.ac.in,+91-80-400-9582,Mechanical Engineering,Diploma,60,300,2003,Urban,Yes,Yes
1-44640676353,1-44640676353,U-0197,MAHATAMA JYOTIRAO PHULE INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Churu,Churu,SADULPUR,302519,27.012241,74.237436,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 3,http://www.mahatamajyotiraophule.ac.in,info@mahatamajyotiraophule.ac.in,admissions@mahatamajyotiraophule.ac.in,placement@mahatamajyotiraophule.ac.in,+91-80-354-0733,Electrical Engineering,Diploma,30,150,1984,Urban,Yes,Yes
1-44640676353,1-44640676353,U-0197,MAHATAMA JYOTIRAO PHULE INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Churu,Churu,SADULPUR,302519,27.012241,74.237436,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 3,http://www.mahatamajyotiraophule.ac.in,info@mahatamajyotiraophule.ac.in,admissions@mahatamajyotiraophule.ac.in,placement@mahatamajyotiraophule.ac.in,+91-80-354-0733,Other Engineering Branches,Diploma,30,150,1984,Urban,Yes,Yes
1-44640676353,1-44640676353,U-0197,MAHATAMA JYOTIRAO PHULE INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Churu,Churu,SADULPUR,302519,27.012241,74.237436,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 3,http://www.mahatamajyotiraophule.ac.in,info@mahatamajyotiraophule.ac.in,admissions@mahatamajyotiraophule.ac.in,placement@mahatamajyotiraophule.ac.in,+91-80-354-0733,Civil Engineering,Diploma,30,150,1984,Urban,Yes,Yes
1-44640676353,1-44640676353,U-0197,MAHATAMA JYOTIRAO PHULE INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Churu,Churu,SADULPUR,302519,27.012241,74.237436,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 3,http://www.mahatamajyotiraophule.ac.in,info@mahatamajyotiraophule.ac.in,admissions@mahatamajyotiraophule.ac.in,placement@mahatamajyotiraophule.ac.in,+91-80-354-0733,Mechanical Engineering,Diploma,30,150,1984,Urban,Yes,Yes
1-44640676353,1-44640676353,U-0197,MAHATAMA JYOTIRAO PHULE INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Rajasthan,Churu,Churu,SADULPUR,302519,27.012241,74.237436,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A,No,,Tier 3,http://www.mahatamajyotiraophule.ac.in,info@mahatamajyotiraophule.ac.in,admissions@mahatamajyotiraophule.ac.in,placement@mahatamajyotiraophule.ac.in,+91-80-354-0733,Computer Science Engineering (CSE),Diploma,30,150,1984,Urban,Yes,Yes
1-44640513511,1-44640513511,U-0197,ASHA DEVI POLYTECHNIC COLLEGE,Active,Rajasthan,Churu,Churu,"KHEMANA ROAD, SADULPUR, DISTT-CHURU",302519,27.020454,74.226796,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.ashadevi.ac.in,info@ashadevi.ac.in,admissions@ashadevi.ac.in,placement@ashadevi.ac.in,+91-80-698-5144,Mechanical Engineering,Diploma,60,300,2008,Rural,Yes,Yes
