College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638460787,1-44638460787,U-0992,ANNA UNIVERSITY REGIONAL CAMPUS COIMBATORE,Active,Tamil Nadu,Coimbatore,Coimbatore,"NAVAVOOR, MARUDHAMALAI ROAD, SOMAYAMPALAYAM, COIMBATORE-641046",641046,11.016675,76.963743,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-833-6050,Computer Science Engineering (CSE),B.Tech,60,360,1994,Rural,No,Yes
1-44638460787,1-44638460787,U-0992,ANNA UNIVERSITY REGIONAL CAMPUS COIMBATORE,Active,Tamil Nadu,Coimbatore,Coimbatore,"NAVAVOOR, MARUDHAMALAI ROAD, SOMAYAMPALAYAM, COIMBATORE-641046",641046,11.016675,76.963743,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-833-6050,Electronics & Communication Engineering (ECE),B.Tech,60,360,1994,Rural,No,Yes
1-44638460787,1-44638460787,U-0992,ANNA UNIVERSITY REGIONAL CAMPUS COIMBATORE,Active,Tamil Nadu,Coimbatore,Coimbatore,"NAVAVOOR, MARUDHAMALAI ROAD, SOMAYAMPALAYAM, COIMBATORE-641046",641046,11.016675,76.963743,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-833-6050,Electrical & Electronics Engineering (EEE),B.Tech,60,360,1994,Rural,No,Yes
1-44638460787,1-44638460787,U-0992,ANNA UNIVERSITY REGIONAL CAMPUS COIMBATORE,Active,Tamil Nadu,Coimbatore,Coimbatore,"NAVAVOOR, MARUDHAMALAI ROAD, SOMAYAMPALAYAM, COIMBATORE-641046",641046,11.016675,76.963743,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-833-6050,Mechanical Engineering,B.Tech,60,360,1994,Rural,No,Yes
1-44638460787,1-44638460787,U-0992,ANNA UNIVERSITY REGIONAL CAMPUS COIMBATORE,Active,Tamil Nadu,Coimbatore,Coimbatore,"NAVAVOOR, MARUDHAMALAI ROAD, SOMAYAMPALAYAM, COIMBATORE-641046",641046,11.016675,76.963743,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-833-6050,Data Science,B.Tech,60,360,1994,Rural,No,Yes
1-44638460787,1-44638460787,U-0992,ANNA UNIVERSITY REGIONAL CAMPUS COIMBATORE,Active,Tamil Nadu,Coimbatore,Coimbatore,"NAVAVOOR, MARUDHAMALAI ROAD, SOMAYAMPALAYAM, COIMBATORE-641046",641046,11.016675,76.963743,State Government University,NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.annaregionalcampus.ac.in,info@annaregionalcampus.ac.in,admissions@annaregionalcampus.ac.in,placement@annaregionalcampus.ac.in,+91-80-833-6050,Other Engineering Branches,B.Tech,60,360,1994,Rural,No,Yes
1-44638283854,1-44638283854,U-0682,CHRIST THE KING ENGINEERING COLLEGE,Active,Tamil Nadu,Coimbatore,Coimbatore,"CECILIA GARDENS,CHIKKARAMPALAYAM VILLAGE",600081,11.029824,76.952589,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.christtheking.ac.in,info@christtheking.ac.in,admissions@christtheking.ac.in,placement@christtheking.ac.in,+91-80-385-0987,Electronics & Communication Engineering (ECE),B.Tech,60,480,2007,Urban,Yes,Yes
1-44638283854,1-44638283854,U-0682,CHRIST THE KING ENGINEERING COLLEGE,Active,Tamil Nadu,Coimbatore,Coimbatore,"CECILIA GARDENS,CHIKKARAMPALAYAM VILLAGE",600081,11.029824,76.952589,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.christtheking.ac.in,info@christtheking.ac.in,admissions@christtheking.ac.in,placement@christtheking.ac.in,+91-80-385-0987,Computer Science Engineering (CSE),B.Tech,120,480,2007,Urban,Yes,Yes
1-44638283854,1-44638283854,U-0682,CHRIST THE KING ENGINEERING COLLEGE,Active,Tamil Nadu,Coimbatore,Coimbatore,"CECILIA GARDENS,CHIKKARAMPALAYAM VILLAGE",600081,11.029824,76.952589,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.christtheking.ac.in,info@christtheking.ac.in,admissions@christtheking.ac.in,placement@christtheking.ac.in,+91-80-385-0987,Mechanical Engineering,B.Tech,60,480,2007,Urban,Yes,Yes
1-44638283854,1-44638283854,U-0682,CHRIST THE KING ENGINEERING COLLEGE,Active,Tamil Nadu,Coimbatore,Coimbatore,"CECILIA GARDENS,CHIKKARAMPALAYAM VILLAGE",600081,11.029824,76.952589,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.christtheking.ac.in,info@christtheking.ac.in,admissions@christtheking.ac.in,placement@christtheking.ac.in,+91-80-385-0987,Data Science,B.Tech,120,480,2007,Urban,Yes,Yes
1-44638283854,1-44638283854,U-0682,CHRIST THE KING ENGINEERING COLLEGE,Active,Tamil Nadu,Coimbatore,Coimbatore,"CECILIA GARDENS,CHIKKARAMPALAYAM VILLAGE",600081,11.029824,76.952589,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.christtheking.ac.in,info@christtheking.ac.in,admissions@christtheking.ac.in,placement@christtheking.ac.in,+91-80-385-0987,Information Technology (IT),B.Tech,60,480,2007,Urban,Yes,Yes
1-44638283854,1-44638283854,U-0682,CHRIST THE KING ENGINEERING COLLEGE,Active,Tamil Nadu,Coimbatore,Coimbatore,"CECILIA GARDENS,CHIKKARAMPALAYAM VILLAGE",600081,11.029824,76.952589,Private-Self Financing,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.christtheking.ac.in,info@christtheking.ac.in,admissions@christtheking.ac.in,placement@christtheking.ac.in,+91-80-385-0987,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,480,2007,Urban,Yes,Yes
