College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638430105,1-44638430105,U-0365,COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE,Active,West Bengal,Cooch Behar,Cooch Behar,"HARINCHAWRA,  P.O.-GHUGHUMARI DIST-COOCHBEHAR PIN-736170",736170,23.005181,87.838242,Government,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A+,Yes,,Tier 2,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-609-8068,Civil Engineering,B.Tech,60,300,1997,Urban,Yes,Yes
1-44638430105,1-44638430105,U-0365,COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE,Active,West Bengal,Cooch Behar,Cooch Behar,"HARINCHAWRA,  P.O.-GHUGHUMARI DIST-COOCHBEHAR PIN-736170",736170,23.005181,87.838242,Government,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A+,Yes,,Tier 2,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-609-8068,Computer Science Engineering (CSE),B.Tech,60,300,1997,Urban,Yes,Yes
1-44638430105,1-44638430105,U-0365,COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE,Active,West Bengal,Cooch Behar,Cooch Behar,"HARINCHAWRA,  P.O.-GHUGHUMARI DIST-COOCHBEHAR PIN-736170",736170,23.005181,87.838242,Government,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A+,Yes,,Tier 2,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-609-8068,Electrical Engineering,B.Tech,60,300,1997,Urban,Yes,Yes
1-44638430105,1-44638430105,U-0365,COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE,Active,West Bengal,Cooch Behar,Cooch Behar,"HARINCHAWRA,  P.O.-GHUGHUMARI DIST-COOCHBEHAR PIN-736170",736170,23.005181,87.838242,Government,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A+,Yes,,Tier 2,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-609-8068,Electronics & Communication Engineering (ECE),B.Tech,60,300,1997,Urban,Yes,Yes
1-44638430105,1-44638430105,U-0365,COOCH BEHAR GOVERNMENT ENGINEERING COLLEGE,Active,West Bengal,Cooch Behar,Cooch Behar,"HARINCHAWRA,  P.O.-GHUGHUMARI DIST-COOCHBEHAR PIN-736170",736170,23.005181,87.838242,Government,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,A+,Yes,,Tier 2,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-609-8068,Mechanical Engineering,B.Tech,60,300,1997,Urban,Yes,Yes
1-44638254341,1-44638254341,U-0339,MATHABHANGA GOVERNMENT POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,"SITAI MORE, MATHABHANGA, DIST- COOCH BEHAR, PIN-736146",736146,23.004761,87.861565,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.mathabhanga.ac.in,info@mathabhanga.ac.in,admissions@mathabhanga.ac.in,placement@mathabhanga.ac.in,+91-80-592-2090,Electrical Engineering,Diploma,60,180,1997,Urban,Yes,No
1-44638254341,1-44638254341,U-0339,MATHABHANGA GOVERNMENT POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,"SITAI MORE, MATHABHANGA, DIST- COOCH BEHAR, PIN-736146",736146,23.004761,87.861565,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.mathabhanga.ac.in,info@mathabhanga.ac.in,admissions@mathabhanga.ac.in,placement@mathabhanga.ac.in,+91-80-592-2090,Other Engineering Branches,Diploma,60,180,1997,Urban,Yes,No
1-44638254341,1-44638254341,U-0339,MATHABHANGA GOVERNMENT POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,"SITAI MORE, MATHABHANGA, DIST- COOCH BEHAR, PIN-736146",736146,23.004761,87.861565,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.mathabhanga.ac.in,info@mathabhanga.ac.in,admissions@mathabhanga.ac.in,placement@mathabhanga.ac.in,+91-80-592-2090,Electronics & Communication Engineering (ECE),Diploma,60,180,1997,Urban,Yes,No
1-44639928931,1-44639928931,U-0339,COOCH BEHAR POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,"KESHOB ROAD, GUNJBARI",700432,22.969622,87.865945,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-118-3686,Electrical Engineering,Diploma,60,240,2010,Rural,Yes,Yes
1-44639928931,1-44639928931,U-0339,COOCH BEHAR POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,"KESHOB ROAD, GUNJBARI",700432,22.969622,87.865945,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-118-3686,Automobile Engineering,Diploma,60,240,2010,Rural,Yes,Yes
1-44639928931,1-44639928931,U-0339,COOCH BEHAR POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,"KESHOB ROAD, GUNJBARI",700432,22.969622,87.865945,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-118-3686,Civil Engineering,Diploma,60,240,2010,Rural,Yes,Yes
1-44639928931,1-44639928931,U-0339,COOCH BEHAR POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,"KESHOB ROAD, GUNJBARI",700432,22.969622,87.865945,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.coochbehar.ac.in,info@coochbehar.ac.in,admissions@coochbehar.ac.in,placement@coochbehar.ac.in,+91-80-118-3686,Mechanical Engineering,Diploma,60,240,2010,Rural,Yes,Yes
1-44640206964,1-44640206964,U-0521,"FACULTY OF TECHNOLOGY, UTTAR BANGA KRISHI VISWAVIDYALAYA",Active,West Bengal,Cooch Behar,Cooch Behar,P.O. PUNDIBARI,700432,22.968469,87.835374,Government,"Uttar Banga Krishi Vishwavidyalaya, Cooch Behar",Approved,Approved,B++,Yes,,Tier 3,http://www.facultyuttarbanga.ac.in,info@facultyuttarbanga.ac.in,admissions@facultyuttarbanga.ac.in,placement@facultyuttarbanga.ac.in,+91-80-069-9906,Agricultural Engineering,B.Tech,30,30,2021,Urban,Yes,Yes
1-44641278840,1-44641278840,U-0339,TUFANGANJ GOVERNMENT POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,CHAMTA P.O.- TUFANGANJ DIST - COOCH BEHAR (WEST BENGAL) PIN - 736159,736159,23.002326,87.870179,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.tufanganj.ac.in,info@tufanganj.ac.in,admissions@tufanganj.ac.in,placement@tufanganj.ac.in,+91-80-490-0705,Mechanical Engineering,Diploma,60,180,2005,Urban,Yes,Yes
1-44641278840,1-44641278840,U-0339,TUFANGANJ GOVERNMENT POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,CHAMTA P.O.- TUFANGANJ DIST - COOCH BEHAR (WEST BENGAL) PIN - 736159,736159,23.002326,87.870179,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.tufanganj.ac.in,info@tufanganj.ac.in,admissions@tufanganj.ac.in,placement@tufanganj.ac.in,+91-80-490-0705,Other Engineering Branches,Diploma,60,180,2005,Urban,Yes,Yes
1-44641278840,1-44641278840,U-0339,TUFANGANJ GOVERNMENT POLYTECHNIC,Active,West Bengal,Cooch Behar,Cooch Behar,CHAMTA P.O.- TUFANGANJ DIST - COOCH BEHAR (WEST BENGAL) PIN - 736159,736159,23.002326,87.870179,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.tufanganj.ac.in,info@tufanganj.ac.in,admissions@tufanganj.ac.in,placement@tufanganj.ac.in,+91-80-490-0705,Civil Engineering,Diploma,60,180,2005,Urban,Yes,Yes
