College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640517259,1-44640517259,U-0957,CAUVERY POLYTECHNIC GONIKOPPAL,Active,Karnataka,Coorg,Coorg,VIRAJPET TALUK S.COORG PIN 571213 KARNATAKA STATE,571213,15.307516,75.719808,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,Not Accredited,No,,Tier 3,http://www.cauverygonikoppal.ac.in,info@cauverygonikoppal.ac.in,admissions@cauverygonikoppal.ac.in,placement@cauverygonikoppal.ac.in,+91-80-428-5093,Computer Science Engineering (CSE),Diploma,60,180,1994,Urban,Yes,Yes
1-44640517259,1-44640517259,U-0957,CAUVERY POLYTECHNIC GONIKOPPAL,Active,Karnataka,Coorg,Coorg,VIRAJPET TALUK S.COORG PIN 571213 KARNATAKA STATE,571213,15.307516,75.719808,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,Not Accredited,No,,Tier 3,http://www.cauverygonikoppal.ac.in,info@cauverygonikoppal.ac.in,admissions@cauverygonikoppal.ac.in,placement@cauverygonikoppal.ac.in,+91-80-428-5093,Electronics & Communication Engineering (ECE),Diploma,60,180,1994,Urban,Yes,Yes
1-44640517259,1-44640517259,U-0957,CAUVERY POLYTECHNIC GONIKOPPAL,Active,Karnataka,Coorg,Coorg,VIRAJPET TALUK S.COORG PIN 571213 KARNATAKA STATE,571213,15.307516,75.719808,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,Not Accredited,No,,Tier 3,http://www.cauverygonikoppal.ac.in,info@cauverygonikoppal.ac.in,admissions@cauverygonikoppal.ac.in,placement@cauverygonikoppal.ac.in,+91-80-428-5093,Mechanical Engineering,Diploma,60,180,1994,Urban,Yes,Yes
1-44642785151,1-44642785151,U-0375,COORG INSTITUTE OF TECHNOLOGY,Active,Karnataka,Coorg,Coorg,POST BOX NO.11,560000,15.335344,75.712629,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B+,No,,Tier 3,http://www.coorg.ac.in,info@coorg.ac.in,admissions@coorg.ac.in,placement@coorg.ac.in,+91-80-595-6599,Civil Engineering,B.Tech,30,420,2005,Rural,Yes,Yes
1-44642785151,1-44642785151,U-0375,COORG INSTITUTE OF TECHNOLOGY,Active,Karnataka,Coorg,Coorg,POST BOX NO.11,560000,15.335344,75.712629,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B+,No,,Tier 3,http://www.coorg.ac.in,info@coorg.ac.in,admissions@coorg.ac.in,placement@coorg.ac.in,+91-80-595-6599,Computer Science Engineering (CSE),B.Tech,120,420,2005,Rural,Yes,Yes
1-44642785151,1-44642785151,U-0375,COORG INSTITUTE OF TECHNOLOGY,Active,Karnataka,Coorg,Coorg,POST BOX NO.11,560000,15.335344,75.712629,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B+,No,,Tier 3,http://www.coorg.ac.in,info@coorg.ac.in,admissions@coorg.ac.in,placement@coorg.ac.in,+91-80-595-6599,Mechanical Engineering,B.Tech,30,420,2005,Rural,Yes,Yes
1-44642785151,1-44642785151,U-0375,COORG INSTITUTE OF TECHNOLOGY,Active,Karnataka,Coorg,Coorg,POST BOX NO.11,560000,15.335344,75.712629,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B+,No,,Tier 3,http://www.coorg.ac.in,info@coorg.ac.in,admissions@coorg.ac.in,placement@coorg.ac.in,+91-80-595-6599,Electronics & Communication Engineering (ECE),B.Tech,60,420,2005,Rural,Yes,Yes
1-44642785151,1-44642785151,U-0375,COORG INSTITUTE OF TECHNOLOGY,Active,Karnataka,Coorg,Coorg,POST BOX NO.11,560000,15.335344,75.712629,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B+,No,,Tier 3,http://www.coorg.ac.in,info@coorg.ac.in,admissions@coorg.ac.in,placement@coorg.ac.in,+91-80-595-6599,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,420,2005,Rural,Yes,Yes
1-44642785151,1-44642785151,U-0375,COORG INSTITUTE OF TECHNOLOGY,Active,Karnataka,Coorg,Coorg,POST BOX NO.11,560000,15.335344,75.712629,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B+,No,,Tier 3,http://www.coorg.ac.in,info@coorg.ac.in,admissions@coorg.ac.in,placement@coorg.ac.in,+91-80-595-6599,Data Science,B.Tech,60,420,2005,Rural,Yes,Yes
1-44642785151,1-44642785151,U-0375,COORG INSTITUTE OF TECHNOLOGY,Active,Karnataka,Coorg,Coorg,POST BOX NO.11,560000,15.335344,75.712629,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B+,No,,Tier 3,http://www.coorg.ac.in,info@coorg.ac.in,admissions@coorg.ac.in,placement@coorg.ac.in,+91-80-595-6599,Cyber Security,B.Tech,60,420,2005,Rural,Yes,Yes
