College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638566175,1-44638566175,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Cuddalore,Cuddalore,"KOODUVELI VILLAGE, KATTUMANNARKOIL TALUK.",600442,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Civil Engineering,Diploma,60,300,2005,Urban,Yes,Yes
1-44638566175,1-44638566175,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Cuddalore,Cuddalore,"KOODUVELI VILLAGE, KATTUMANNARKOIL TALUK.",600442,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Mechanical Engineering,Diploma,60,300,2005,Urban,Yes,Yes
1-44638566175,1-44638566175,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Cuddalore,Cuddalore,"KOODUVELI VILLAGE, KATTUMANNARKOIL TALUK.",600442,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electrical & Electronics Engineering (EEE),Diploma,60,300,2005,Urban,Yes,Yes
1-44638566175,1-44638566175,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Cuddalore,Cuddalore,"KOODUVELI VILLAGE, KATTUMANNARKOIL TALUK.",600442,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electronics & Communication Engineering (ECE),Diploma,60,300,2005,Urban,Yes,Yes
1-44638566175,1-44638566175,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Cuddalore,Cuddalore,"KOODUVELI VILLAGE, KATTUMANNARKOIL TALUK.",600442,11.117425,78.664392,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Computer Science Engineering (CSE),Diploma,60,300,2005,Urban,Yes,Yes
1-44638259247,1-44638259247,U-0682,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI,Active,Tamil Nadu,Cuddalore,Cuddalore,"CHENNAI KUMBAKONAM HIGHWAY, PANIKKANKUPPAM, PANRUTI -607106, CUDDALORE DISTRICT, TAMIL NADU.",607106,11.14684,78.660025,State Government University,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.panruti.ac.in,info@panruti.ac.in,admissions@panruti.ac.in,placement@panruti.ac.in,+91-80-666-8052,Civil Engineering,B.Tech,60,330,2007,Rural,Yes,No
1-44638259247,1-44638259247,U-0682,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI,Active,Tamil Nadu,Cuddalore,Cuddalore,"CHENNAI KUMBAKONAM HIGHWAY, PANIKKANKUPPAM, PANRUTI -607106, CUDDALORE DISTRICT, TAMIL NADU.",607106,11.14684,78.660025,State Government University,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.panruti.ac.in,info@panruti.ac.in,admissions@panruti.ac.in,placement@panruti.ac.in,+91-80-666-8052,Computer Science Engineering (CSE),B.Tech,60,330,2007,Rural,Yes,No
1-44638259247,1-44638259247,U-0682,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI,Active,Tamil Nadu,Cuddalore,Cuddalore,"CHENNAI KUMBAKONAM HIGHWAY, PANIKKANKUPPAM, PANRUTI -607106, CUDDALORE DISTRICT, TAMIL NADU.",607106,11.14684,78.660025,State Government University,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.panruti.ac.in,info@panruti.ac.in,admissions@panruti.ac.in,placement@panruti.ac.in,+91-80-666-8052,Electrical & Electronics Engineering (EEE),B.Tech,60,330,2007,Rural,Yes,No
1-44638259247,1-44638259247,U-0682,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI,Active,Tamil Nadu,Cuddalore,Cuddalore,"CHENNAI KUMBAKONAM HIGHWAY, PANIKKANKUPPAM, PANRUTI -607106, CUDDALORE DISTRICT, TAMIL NADU.",607106,11.14684,78.660025,State Government University,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.panruti.ac.in,info@panruti.ac.in,admissions@panruti.ac.in,placement@panruti.ac.in,+91-80-666-8052,Electronics & Communication Engineering (ECE),B.Tech,60,330,2007,Rural,Yes,No
1-44638259247,1-44638259247,U-0682,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI,Active,Tamil Nadu,Cuddalore,Cuddalore,"CHENNAI KUMBAKONAM HIGHWAY, PANIKKANKUPPAM, PANRUTI -607106, CUDDALORE DISTRICT, TAMIL NADU.",607106,11.14684,78.660025,State Government University,"Anna University, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.panruti.ac.in,info@panruti.ac.in,admissions@panruti.ac.in,placement@panruti.ac.in,+91-80-666-8052,Mechanical Engineering,B.Tech,60,330,2007,Rural,Yes,No
