College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639595266,1-44639595266,U-0183,"GOVERNMENT POLYTECHNIC, DAHOD",Active,Gujarat,Dahod,Dahod,"ZALOD ROAD, DAHOD-389151",389151,22.272299,71.17969,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,Yes,,Tier 3,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-409-2078,Civil Engineering,Diploma,120,420,1980,Urban,Yes,Yes
1-44639595266,1-44639595266,U-0183,"GOVERNMENT POLYTECHNIC, DAHOD",Active,Gujarat,Dahod,Dahod,"ZALOD ROAD, DAHOD-389151",389151,22.272299,71.17969,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,Yes,,Tier 3,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-409-2078,Mechanical Engineering,Diploma,60,420,1980,Urban,Yes,Yes
1-44639595266,1-44639595266,U-0183,"GOVERNMENT POLYTECHNIC, DAHOD",Active,Gujarat,Dahod,Dahod,"ZALOD ROAD, DAHOD-389151",389151,22.272299,71.17969,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,Yes,,Tier 3,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-409-2078,Electrical Engineering,Diploma,60,420,1980,Urban,Yes,Yes
1-44639595266,1-44639595266,U-0183,"GOVERNMENT POLYTECHNIC, DAHOD",Active,Gujarat,Dahod,Dahod,"ZALOD ROAD, DAHOD-389151",389151,22.272299,71.17969,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,Yes,,Tier 3,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-409-2078,Electronics & Communication Engineering (ECE),Diploma,30,420,1980,Urban,Yes,Yes
1-44639595266,1-44639595266,U-0183,"GOVERNMENT POLYTECHNIC, DAHOD",Active,Gujarat,Dahod,Dahod,"ZALOD ROAD, DAHOD-389151",389151,22.272299,71.17969,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,Yes,,Tier 3,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-409-2078,Computer Science Engineering (CSE),Diploma,120,420,1980,Urban,Yes,Yes
1-44639595266,1-44639595266,U-0183,"GOVERNMENT POLYTECHNIC, DAHOD",Active,Gujarat,Dahod,Dahod,"ZALOD ROAD, DAHOD-389151",389151,22.272299,71.17969,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,B++,Yes,,Tier 3,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-409-2078,Other Engineering Branches,Diploma,30,420,1980,Urban,Yes,Yes
1-44643467113,1-44643467113,U-0183,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",Active,Gujarat,Dahod,Dahod,"GOVERNEMNT ENGINEERING COLLEGE, ZALOD ROAD, DAHOD-389151",389151,22.257826,71.202084,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-802-1949,Civil Engineering,M.Tech,18,246,2003,Urban,Yes,No
1-44643467113,1-44643467113,U-0183,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",Active,Gujarat,Dahod,Dahod,"GOVERNEMNT ENGINEERING COLLEGE, ZALOD ROAD, DAHOD-389151",389151,22.257826,71.202084,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-802-1949,Other Engineering Branches,M.Tech,18,246,2003,Urban,Yes,No
1-44643467113,1-44643467113,U-0183,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",Active,Gujarat,Dahod,Dahod,"GOVERNEMNT ENGINEERING COLLEGE, ZALOD ROAD, DAHOD-389151",389151,22.257826,71.202084,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-802-1949,Civil Engineering,B.Tech,30,246,2003,Urban,Yes,No
1-44643467113,1-44643467113,U-0183,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",Active,Gujarat,Dahod,Dahod,"GOVERNEMNT ENGINEERING COLLEGE, ZALOD ROAD, DAHOD-389151",389151,22.257826,71.202084,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.dahod.ac.in,info@dahod.ac.in,admissions@dahod.ac.in,placement@dahod.ac.in,+91-80-802-1949,Mechanical Engineering,B.Tech,60,246,2003,Urban,Yes,No
