College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640674279,1-44640674279,U-0441,GOVT POLYTECHNIC COLLEGE DAMOH,Active,Madhya Pradesh,Damoh,Damoh,JABALPUR NAKA,452645,22.969609,78.636944,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdamoh.ac.in,info@govtdamoh.ac.in,admissions@govtdamoh.ac.in,placement@govtdamoh.ac.in,+91-80-679-8592,Civil Engineering,Diploma,44,220,2005,Urban,Yes,Yes
1-44640674279,1-44640674279,U-0441,GOVT POLYTECHNIC COLLEGE DAMOH,Active,Madhya Pradesh,Damoh,Damoh,JABALPUR NAKA,452645,22.969609,78.636944,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdamoh.ac.in,info@govtdamoh.ac.in,admissions@govtdamoh.ac.in,placement@govtdamoh.ac.in,+91-80-679-8592,Mechanical Engineering,Diploma,44,220,2005,Urban,Yes,Yes
1-44640674279,1-44640674279,U-0441,GOVT POLYTECHNIC COLLEGE DAMOH,Active,Madhya Pradesh,Damoh,Damoh,JABALPUR NAKA,452645,22.969609,78.636944,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdamoh.ac.in,info@govtdamoh.ac.in,admissions@govtdamoh.ac.in,placement@govtdamoh.ac.in,+91-80-679-8592,Electrical Engineering,Diploma,44,220,2005,Urban,Yes,Yes
1-44640674279,1-44640674279,U-0441,GOVT POLYTECHNIC COLLEGE DAMOH,Active,Madhya Pradesh,Damoh,Damoh,JABALPUR NAKA,452645,22.969609,78.636944,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdamoh.ac.in,info@govtdamoh.ac.in,admissions@govtdamoh.ac.in,placement@govtdamoh.ac.in,+91-80-679-8592,Electronics & Communication Engineering (ECE),Diploma,44,220,2005,Urban,Yes,Yes
1-44640674279,1-44640674279,U-0441,GOVT POLYTECHNIC COLLEGE DAMOH,Active,Madhya Pradesh,Damoh,Damoh,JABALPUR NAKA,452645,22.969609,78.636944,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdamoh.ac.in,info@govtdamoh.ac.in,admissions@govtdamoh.ac.in,placement@govtdamoh.ac.in,+91-80-679-8592,Computer Science Engineering (CSE),Diploma,44,220,2005,Urban,Yes,Yes
1-44641852932,1-44641852932,U-0992,EKLAVYA UNIVERSITY,Active,Madhya Pradesh,Damoh,Damoh,"OJASWINI NAGAR, VILL. HATHNA, SAGAR ROAD, DAMOH",452645,22.964322,78.639939,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.eklavya.ac.in,info@eklavya.ac.in,admissions@eklavya.ac.in,placement@eklavya.ac.in,+91-80-458-1139,Civil Engineering,B.Tech,60,723,1980,Urban,Yes,Yes
1-44641852932,1-44641852932,U-0992,EKLAVYA UNIVERSITY,Active,Madhya Pradesh,Damoh,Damoh,"OJASWINI NAGAR, VILL. HATHNA, SAGAR ROAD, DAMOH",452645,22.964322,78.639939,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.eklavya.ac.in,info@eklavya.ac.in,admissions@eklavya.ac.in,placement@eklavya.ac.in,+91-80-458-1139,Mechanical Engineering,B.Tech,60,723,1980,Urban,Yes,Yes
1-44641852932,1-44641852932,U-0992,EKLAVYA UNIVERSITY,Active,Madhya Pradesh,Damoh,Damoh,"OJASWINI NAGAR, VILL. HATHNA, SAGAR ROAD, DAMOH",452645,22.964322,78.639939,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.eklavya.ac.in,info@eklavya.ac.in,admissions@eklavya.ac.in,placement@eklavya.ac.in,+91-80-458-1139,Electrical & Electronics Engineering (EEE),B.Tech,60,723,1980,Urban,Yes,Yes
1-44641852932,1-44641852932,U-0992,EKLAVYA UNIVERSITY,Active,Madhya Pradesh,Damoh,Damoh,"OJASWINI NAGAR, VILL. HATHNA, SAGAR ROAD, DAMOH",452645,22.964322,78.639939,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.eklavya.ac.in,info@eklavya.ac.in,admissions@eklavya.ac.in,placement@eklavya.ac.in,+91-80-458-1139,Computer Science Engineering (CSE),B.Tech,90,723,1980,Urban,Yes,Yes
1-44641852932,1-44641852932,U-0992,EKLAVYA UNIVERSITY,Active,Madhya Pradesh,Damoh,Damoh,"OJASWINI NAGAR, VILL. HATHNA, SAGAR ROAD, DAMOH",452645,22.964322,78.639939,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.eklavya.ac.in,info@eklavya.ac.in,admissions@eklavya.ac.in,placement@eklavya.ac.in,+91-80-458-1139,Information Technology (IT),B.Tech,15,723,1980,Urban,Yes,Yes
1-44641852932,1-44641852932,U-0992,EKLAVYA UNIVERSITY,Active,Madhya Pradesh,Damoh,Damoh,"OJASWINI NAGAR, VILL. HATHNA, SAGAR ROAD, DAMOH",452645,22.964322,78.639939,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.eklavya.ac.in,info@eklavya.ac.in,admissions@eklavya.ac.in,placement@eklavya.ac.in,+91-80-458-1139,Electronics & Communication Engineering (ECE),B.Tech,30,723,1980,Urban,Yes,Yes
