College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640300951,1-44640300951,U-0698,GOVERNMENT POLYTECHNIC,Active,Bihar,Darbhanga,Darbhanga,"GOVERNMENT POLYTECHNIC, KADIRABAD,DARBHANGA",800350,25.111101,85.329604,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Computer Science Engineering (CSE),Diploma,60,360,1995,Rural,Yes,Yes
1-44640300951,1-44640300951,U-0698,GOVERNMENT POLYTECHNIC,Active,Bihar,Darbhanga,Darbhanga,"GOVERNMENT POLYTECHNIC, KADIRABAD,DARBHANGA",800350,25.111101,85.329604,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Mechanical Engineering,Diploma,60,360,1995,Rural,Yes,Yes
1-44640300951,1-44640300951,U-0698,GOVERNMENT POLYTECHNIC,Active,Bihar,Darbhanga,Darbhanga,"GOVERNMENT POLYTECHNIC, KADIRABAD,DARBHANGA",800350,25.111101,85.329604,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Electrical Engineering,Diploma,90,360,1995,Rural,Yes,Yes
1-44640300951,1-44640300951,U-0698,GOVERNMENT POLYTECHNIC,Active,Bihar,Darbhanga,Darbhanga,"GOVERNMENT POLYTECHNIC, KADIRABAD,DARBHANGA",800350,25.111101,85.329604,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Other Engineering Branches,Diploma,60,360,1995,Rural,Yes,Yes
1-44640300951,1-44640300951,U-0698,GOVERNMENT POLYTECHNIC,Active,Bihar,Darbhanga,Darbhanga,"GOVERNMENT POLYTECHNIC, KADIRABAD,DARBHANGA",800350,25.111101,85.329604,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Civil Engineering,Diploma,90,360,1995,Rural,Yes,Yes
1-44641972864,1-44641972864,U-0992,DR. APJ ABDUL KALAM WOMENS INSTITUTE OF TECHNOLOGY,Active,Bihar,Darbhanga,Darbhanga,"NAVODAYA COMPLEX, KAMESHWAR NAGAR, L.N.MITHILA UNIVERSITY, DARBHANGA",800350,25.093249,85.331959,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-719-2824,Information Technology (IT),B.Tech,30,120,2016,Urban,Yes,Yes
1-44641972864,1-44641972864,U-0992,DR. APJ ABDUL KALAM WOMENS INSTITUTE OF TECHNOLOGY,Active,Bihar,Darbhanga,Darbhanga,"NAVODAYA COMPLEX, KAMESHWAR NAGAR, L.N.MITHILA UNIVERSITY, DARBHANGA",800350,25.093249,85.331959,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-719-2824,Computer Science Engineering (CSE),B.Tech,60,120,2016,Urban,Yes,Yes
1-44641972864,1-44641972864,U-0992,DR. APJ ABDUL KALAM WOMENS INSTITUTE OF TECHNOLOGY,Active,Bihar,Darbhanga,Darbhanga,"NAVODAYA COMPLEX, KAMESHWAR NAGAR, L.N.MITHILA UNIVERSITY, DARBHANGA",800350,25.093249,85.331959,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-719-2824,Other Engineering Branches,B.Tech,30,120,2016,Urban,Yes,Yes
1-44643647687,1-44643647687,U-0440,DARBHANGA COLLEGE OF ENGINEERING,Active,Bihar,Darbhanga,Darbhanga,MABBI PO LALSAHPUR VIA PTC DARBHANGA,800350,25.115247,85.306007,Government,Bihar Engineering University,Approved,Approved,B++,Yes,,Tier 3,http://www.darbhanga.ac.in,info@darbhanga.ac.in,admissions@darbhanga.ac.in,placement@darbhanga.ac.in,+91-80-641-9154,Electrical & Electronics Engineering (EEE),B.Tech,60,390,1989,Urban,Yes,Yes
1-44643647687,1-44643647687,U-0440,DARBHANGA COLLEGE OF ENGINEERING,Active,Bihar,Darbhanga,Darbhanga,MABBI PO LALSAHPUR VIA PTC DARBHANGA,800350,25.115247,85.306007,Government,Bihar Engineering University,Approved,Approved,B++,Yes,,Tier 3,http://www.darbhanga.ac.in,info@darbhanga.ac.in,admissions@darbhanga.ac.in,placement@darbhanga.ac.in,+91-80-641-9154,Civil Engineering,B.Tech,90,390,1989,Urban,Yes,Yes
