College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638380971,1-44638380971,U-0339,SILIGURI INSTITUTE OF TECHNOLOGY  DIPLOMA COLLEGE,Active,West Bengal,Darjeeling,Darjeeling,"HILL CART ROAD, SUKNA, SILIGURI, DARJEELING, PIN: 734009",734009,27.054353,88.265201,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.siliguridiploma.ac.in,info@siliguridiploma.ac.in,admissions@siliguridiploma.ac.in,placement@siliguridiploma.ac.in,+91-80-398-9264,Civil Engineering,Diploma,60,300,1998,Urban,Yes,Yes
1-44638380971,1-44638380971,U-0339,SILIGURI INSTITUTE OF TECHNOLOGY  DIPLOMA COLLEGE,Active,West Bengal,Darjeeling,Darjeeling,"HILL CART ROAD, SUKNA, SILIGURI, DARJEELING, PIN: 734009",734009,27.054353,88.265201,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.siliguridiploma.ac.in,info@siliguridiploma.ac.in,admissions@siliguridiploma.ac.in,placement@siliguridiploma.ac.in,+91-80-398-9264,Electrical Engineering,Diploma,60,300,1998,Urban,Yes,Yes
1-44638380971,1-44638380971,U-0339,SILIGURI INSTITUTE OF TECHNOLOGY  DIPLOMA COLLEGE,Active,West Bengal,Darjeeling,Darjeeling,"HILL CART ROAD, SUKNA, SILIGURI, DARJEELING, PIN: 734009",734009,27.054353,88.265201,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.siliguridiploma.ac.in,info@siliguridiploma.ac.in,admissions@siliguridiploma.ac.in,placement@siliguridiploma.ac.in,+91-80-398-9264,Computer Science Engineering (CSE),Diploma,60,300,1998,Urban,Yes,Yes
1-44638380971,1-44638380971,U-0339,SILIGURI INSTITUTE OF TECHNOLOGY  DIPLOMA COLLEGE,Active,West Bengal,Darjeeling,Darjeeling,"HILL CART ROAD, SUKNA, SILIGURI, DARJEELING, PIN: 734009",734009,27.054353,88.265201,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.siliguridiploma.ac.in,info@siliguridiploma.ac.in,admissions@siliguridiploma.ac.in,placement@siliguridiploma.ac.in,+91-80-398-9264,Electronics & Communication Engineering (ECE),Diploma,60,300,1998,Urban,Yes,Yes
1-44638380971,1-44638380971,U-0339,SILIGURI INSTITUTE OF TECHNOLOGY  DIPLOMA COLLEGE,Active,West Bengal,Darjeeling,Darjeeling,"HILL CART ROAD, SUKNA, SILIGURI, DARJEELING, PIN: 734009",734009,27.054353,88.265201,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.siliguridiploma.ac.in,info@siliguridiploma.ac.in,admissions@siliguridiploma.ac.in,placement@siliguridiploma.ac.in,+91-80-398-9264,Other Engineering Branches,Diploma,60,300,1998,Urban,Yes,Yes
1-44638263921,1-44638263921,U-0339,KALIMPONG GOVERNMENT POLYTECHNIC,Active,West Bengal,Darjeeling,Darjeeling,"UPPER CART ROAD, GOURIPUR, WARD NO. 21, KALIMPONG - 734301",734301,27.05929,88.26262,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.kalimpong.ac.in,info@kalimpong.ac.in,admissions@kalimpong.ac.in,placement@kalimpong.ac.in,+91-80-605-9775,Civil Engineering,Diploma,60,180,1987,Urban,No,Yes
1-44638263921,1-44638263921,U-0339,KALIMPONG GOVERNMENT POLYTECHNIC,Active,West Bengal,Darjeeling,Darjeeling,"UPPER CART ROAD, GOURIPUR, WARD NO. 21, KALIMPONG - 734301",734301,27.05929,88.26262,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.kalimpong.ac.in,info@kalimpong.ac.in,admissions@kalimpong.ac.in,placement@kalimpong.ac.in,+91-80-605-9775,Mechanical Engineering,Diploma,60,180,1987,Urban,No,Yes
1-44638263921,1-44638263921,U-0339,KALIMPONG GOVERNMENT POLYTECHNIC,Active,West Bengal,Darjeeling,Darjeeling,"UPPER CART ROAD, GOURIPUR, WARD NO. 21, KALIMPONG - 734301",734301,27.05929,88.26262,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.kalimpong.ac.in,info@kalimpong.ac.in,admissions@kalimpong.ac.in,placement@kalimpong.ac.in,+91-80-605-9775,Electronics & Communication Engineering (ECE),Diploma,60,180,1987,Urban,No,Yes
1-44638640445,1-44638640445,U-0571,MIRIK GOVERNMENT POLYTECHNIC,Active,West Bengal,Darjeeling,Darjeeling,"NIJE GAON, WARD NO. 1, MIRIK",700795,27.060453,88.27108,Government,West Bengal State Council of Technical & Vocational Education and Skill Development,Approved,Approved,A,No,,Tier 2,http://www.mirik.ac.in,info@mirik.ac.in,admissions@mirik.ac.in,placement@mirik.ac.in,+91-80-654-7509,Other Engineering Branches,Diploma,60,180,2020,Rural,No,Yes
1-44638640445,1-44638640445,U-0571,MIRIK GOVERNMENT POLYTECHNIC,Active,West Bengal,Darjeeling,Darjeeling,"NIJE GAON, WARD NO. 1, MIRIK",700795,27.060453,88.27108,Government,West Bengal State Council of Technical & Vocational Education and Skill Development,Approved,Approved,A,No,,Tier 2,http://www.mirik.ac.in,info@mirik.ac.in,admissions@mirik.ac.in,placement@mirik.ac.in,+91-80-654-7509,Computer Science Engineering (CSE),Diploma,60,180,2020,Rural,No,Yes
