College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638819813,1-44638819813,U-0755,RAJASTHAN ENGINEERING COLLEGE,Active,Rajasthan,Dausa,Dausa,"SOMNATH NAGAR, GANESHPURA ROAD,",302657,27.029105,74.210117,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A+,No,,Tier 3,http://www.rajasthan.ac.in,info@rajasthan.ac.in,admissions@rajasthan.ac.in,placement@rajasthan.ac.in,+91-80-061-3582,Civil Engineering,B.Tech,90,420,1991,Rural,Yes,Yes
1-44638819813,1-44638819813,U-0755,RAJASTHAN ENGINEERING COLLEGE,Active,Rajasthan,Dausa,Dausa,"SOMNATH NAGAR, GANESHPURA ROAD,",302657,27.029105,74.210117,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A+,No,,Tier 3,http://www.rajasthan.ac.in,info@rajasthan.ac.in,admissions@rajasthan.ac.in,placement@rajasthan.ac.in,+91-80-061-3582,Electrical Engineering,B.Tech,120,420,1991,Rural,Yes,Yes
1-44638819813,1-44638819813,U-0755,RAJASTHAN ENGINEERING COLLEGE,Active,Rajasthan,Dausa,Dausa,"SOMNATH NAGAR, GANESHPURA ROAD,",302657,27.029105,74.210117,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A+,No,,Tier 3,http://www.rajasthan.ac.in,info@rajasthan.ac.in,admissions@rajasthan.ac.in,placement@rajasthan.ac.in,+91-80-061-3582,Mechanical Engineering,B.Tech,30,420,1991,Rural,Yes,Yes
1-44638819813,1-44638819813,U-0755,RAJASTHAN ENGINEERING COLLEGE,Active,Rajasthan,Dausa,Dausa,"SOMNATH NAGAR, GANESHPURA ROAD,",302657,27.029105,74.210117,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A+,No,,Tier 3,http://www.rajasthan.ac.in,info@rajasthan.ac.in,admissions@rajasthan.ac.in,placement@rajasthan.ac.in,+91-80-061-3582,Civil Engineering,Diploma,60,420,1991,Rural,Yes,Yes
1-44638819813,1-44638819813,U-0755,RAJASTHAN ENGINEERING COLLEGE,Active,Rajasthan,Dausa,Dausa,"SOMNATH NAGAR, GANESHPURA ROAD,",302657,27.029105,74.210117,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A+,No,,Tier 3,http://www.rajasthan.ac.in,info@rajasthan.ac.in,admissions@rajasthan.ac.in,placement@rajasthan.ac.in,+91-80-061-3582,Electrical Engineering,Diploma,120,420,1991,Rural,Yes,Yes
1-44639941383,1-44639941383,U-0197,SHRI BALAJI POLYTECHNIC COLLEGE,Active,Rajasthan,Dausa,Dausa,MEHANDIPUR MODE VILLAGE PADALI,302657,27.007926,74.217639,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,No,,Tier 3,http://www.shribalaji.ac.in,info@shribalaji.ac.in,admissions@shribalaji.ac.in,placement@shribalaji.ac.in,+91-80-173-0686,Civil Engineering,Diploma,90,210,2015,Urban,Yes,Yes
1-44639941383,1-44639941383,U-0197,SHRI BALAJI POLYTECHNIC COLLEGE,Active,Rajasthan,Dausa,Dausa,MEHANDIPUR MODE VILLAGE PADALI,302657,27.007926,74.217639,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,No,,Tier 3,http://www.shribalaji.ac.in,info@shribalaji.ac.in,admissions@shribalaji.ac.in,placement@shribalaji.ac.in,+91-80-173-0686,Other Engineering Branches,Diploma,60,210,2015,Urban,Yes,Yes
1-44639941383,1-44639941383,U-0197,SHRI BALAJI POLYTECHNIC COLLEGE,Active,Rajasthan,Dausa,Dausa,MEHANDIPUR MODE VILLAGE PADALI,302657,27.007926,74.217639,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,No,,Tier 3,http://www.shribalaji.ac.in,info@shribalaji.ac.in,admissions@shribalaji.ac.in,placement@shribalaji.ac.in,+91-80-173-0686,Electrical Engineering,Diploma,60,210,2015,Urban,Yes,Yes
1-44640896761,1-44640896761,U-0197,RAJESH PILOT GOVERNMENT POLYTECHNIC COLLEGE DAUSA,Active,Rajasthan,Dausa,Dausa,"JIROTA KHURD, JAIPUR ROAD, DAUSA",302657,27.015527,74.217937,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.rajeshpilotdausa.ac.in,info@rajeshpilotdausa.ac.in,admissions@rajeshpilotdausa.ac.in,placement@rajeshpilotdausa.ac.in,+91-80-491-8912,Computer Science Engineering (CSE),Diploma,30,240,2019,Urban,Yes,Yes
1-44640896761,1-44640896761,U-0197,RAJESH PILOT GOVERNMENT POLYTECHNIC COLLEGE DAUSA,Active,Rajasthan,Dausa,Dausa,"JIROTA KHURD, JAIPUR ROAD, DAUSA",302657,27.015527,74.217937,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.rajeshpilotdausa.ac.in,info@rajeshpilotdausa.ac.in,admissions@rajeshpilotdausa.ac.in,placement@rajeshpilotdausa.ac.in,+91-80-491-8912,Other Engineering Branches,Diploma,30,240,2019,Urban,Yes,Yes
