College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638476195,1-44638476195,U-0545,INDIAN INSTITUTE OF REMOTE SENSING,Active,Uttarakhand,Dehradun,Dehradun,"4 KALIDAS ROAD, DEHRADUN",248672,30.31934,78.04333,Government,"Andhra University, Visakhapatnam",Approved,Approved,B,No,,Tier 3,http://www.indianremotesensing.ac.in,info@indianremotesensing.ac.in,admissions@indianremotesensing.ac.in,placement@indianremotesensing.ac.in,+91-80-957-9719,Other Engineering Branches,M.Tech,60,60,1996,Urban,Yes,Yes
1-44638288981,1-44638288981,U-0992,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET),Active,Uttarakhand,Dehradun,Dehradun,"HARIDWAR ROAD, POST - BHANIYAWALA, DOIWALA, DEHRADUN-248140",248140,30.30958,78.014074,Government,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.petrochemicalscipet.ac.in,info@petrochemicalscipet.ac.in,admissions@petrochemicalscipet.ac.in,placement@petrochemicalscipet.ac.in,+91-80-548-6091,Other Engineering Branches,Diploma,180,180,1986,Urban,Yes,No
1-44638748152,1-44638748152,U-0678,GOVT. POLYTECHNIC QUANSI CHAKRATA DEHRADUN,Active,Uttarakhand,Dehradun,Dehradun,VILL- JOGIYO POST- JOGIYO,248672,30.332654,78.035855,Government,Uttrakhand Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtquansichakrata.ac.in,info@govtquansichakrata.ac.in,admissions@govtquansichakrata.ac.in,placement@govtquansichakrata.ac.in,+91-80-516-4055,Electrical Engineering,Diploma,30,60,1984,Rural,Yes,Yes
1-44638748152,1-44638748152,U-0678,GOVT. POLYTECHNIC QUANSI CHAKRATA DEHRADUN,Active,Uttarakhand,Dehradun,Dehradun,VILL- JOGIYO POST- JOGIYO,248672,30.332654,78.035855,Government,Uttrakhand Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtquansichakrata.ac.in,info@govtquansichakrata.ac.in,admissions@govtquansichakrata.ac.in,placement@govtquansichakrata.ac.in,+91-80-516-4055,Civil Engineering,Diploma,30,60,1984,Rural,Yes,Yes
1-44638942553,1-44638942553,U-0992,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Active,Uttarakhand,Dehradun,Dehradun,"566/6 BELL ROAD, CLEMENT TOWN DEHRADUN",248672,30.304934,78.014023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.graphiceradeemed.ac.in,info@graphiceradeemed.ac.in,admissions@graphiceradeemed.ac.in,placement@graphiceradeemed.ac.in,+91-80-353-7419,Computer Science Engineering (CSE),B.Tech,810,1716,1983,Rural,Yes,Yes
1-44638942553,1-44638942553,U-0992,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Active,Uttarakhand,Dehradun,Dehradun,"566/6 BELL ROAD, CLEMENT TOWN DEHRADUN",248672,30.304934,78.014023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.graphiceradeemed.ac.in,info@graphiceradeemed.ac.in,admissions@graphiceradeemed.ac.in,placement@graphiceradeemed.ac.in,+91-80-353-7419,Computer Science Engineering (CSE),M.Tech,42,1716,1983,Rural,Yes,Yes
1-44638942553,1-44638942553,U-0992,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Active,Uttarakhand,Dehradun,Dehradun,"566/6 BELL ROAD, CLEMENT TOWN DEHRADUN",248672,30.304934,78.014023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.graphiceradeemed.ac.in,info@graphiceradeemed.ac.in,admissions@graphiceradeemed.ac.in,placement@graphiceradeemed.ac.in,+91-80-353-7419,Mechanical Engineering,B.Tech,30,1716,1983,Rural,Yes,Yes
1-44638942553,1-44638942553,U-0992,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Active,Uttarakhand,Dehradun,Dehradun,"566/6 BELL ROAD, CLEMENT TOWN DEHRADUN",248672,30.304934,78.014023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.graphiceradeemed.ac.in,info@graphiceradeemed.ac.in,admissions@graphiceradeemed.ac.in,placement@graphiceradeemed.ac.in,+91-80-353-7419,Electronics & Communication Engineering (ECE),B.Tech,60,1716,1983,Rural,Yes,Yes
1-44638942553,1-44638942553,U-0992,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Active,Uttarakhand,Dehradun,Dehradun,"566/6 BELL ROAD, CLEMENT TOWN DEHRADUN",248672,30.304934,78.014023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.graphiceradeemed.ac.in,info@graphiceradeemed.ac.in,admissions@graphiceradeemed.ac.in,placement@graphiceradeemed.ac.in,+91-80-353-7419,Biotechnology,B.Tech,120,1716,1983,Rural,Yes,Yes
1-44638942553,1-44638942553,U-0992,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Active,Uttarakhand,Dehradun,Dehradun,"566/6 BELL ROAD, CLEMENT TOWN DEHRADUN",248672,30.304934,78.014023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.graphiceradeemed.ac.in,info@graphiceradeemed.ac.in,admissions@graphiceradeemed.ac.in,placement@graphiceradeemed.ac.in,+91-80-353-7419,Other Engineering Branches,M.Tech,54,1716,1983,Rural,Yes,Yes
